filters,kernel,reg_type,l1_value,l2_value,mapes_train,mapes_test
16,21,l1,0.1,,"{'Prévision globale': {'avg_mape': 7.741498744557184, 'max_mape': 547.9817369249132}}","{'Prévision globale': {'avg_mape': 9.853823018734001, 'max_mape': 37.539582144268344}, 'Prévision journalière': {'avg_mape': 12.781500680021178, 'max_mape': 25.33260863307093}, 'Prévision hebdomadaire': {'avg_mape': 56.68222600263234, 'max_mape': 100.0}}"
16,21,l1,0.01,,"{'Prévision globale': {'avg_mape': 6.335224273023796, 'max_mape': 1103.3841959635417}}","{'Prévision globale': {'avg_mape': 11.591692890635716, 'max_mape': 25.99619843134997}, 'Prévision journalière': {'avg_mape': 12.302448988198803, 'max_mape': 33.09299890961396}, 'Prévision hebdomadaire': {'avg_mape': 58.09002397458729, 'max_mape': 100.0}}"
16,21,l1,0.001,,"{'Prévision globale': {'avg_mape': 8.006681739388773, 'max_mape': 2165.8700900607637}}","{'Prévision globale': {'avg_mape': 10.762146121117663, 'max_mape': 24.32133337957275}, 'Prévision journalière': {'avg_mape': 14.570654738934383, 'max_mape': 40.934946714500235}, 'Prévision hebdomadaire': {'avg_mape': 60.275803812767435, 'max_mape': 100.0}}"
16,21,l1,0.0001,,"{'Prévision globale': {'avg_mape': 6.2261566046385965, 'max_mape': 1528.9317491319443}}","{'Prévision globale': {'avg_mape': 5.967118933646385, 'max_mape': 16.347820032269393}, 'Prévision journalière': {'avg_mape': 12.287097894753071, 'max_mape': 30.723969067505514}, 'Prévision hebdomadaire': {'avg_mape': 57.69727431441779, 'max_mape': 100.0}}"
16,21,l2,,0.0,"{'Prévision globale': {'avg_mape': 6.484021244640729, 'max_mape': 1835.9526909722224}}","{'Prévision globale': {'avg_mape': 14.678199409588123, 'max_mape': 37.48573979507837}, 'Prévision journalière': {'avg_mape': 12.136868613789375, 'max_mape': 26.760693695943278}, 'Prévision hebdomadaire': {'avg_mape': 58.04359960947001, 'max_mape': 100.0}}"
16,21,l2,,0.1,"{'Prévision globale': {'avg_mape': 6.2075708711507325, 'max_mape': 202.25837161508707}}","{'Prévision globale': {'avg_mape': 8.234022818242877, 'max_mape': 20.21298726511393}, 'Prévision journalière': {'avg_mape': 11.23156357433368, 'max_mape': 20.56745287296686}, 'Prévision hebdomadaire': {'avg_mape': 57.91942949041713, 'max_mape': 100.0}}"
16,21,l2,,0.01,"{'Prévision globale': {'avg_mape': 6.972780172758645, 'max_mape': 1418.7772623697917}}","{'Prévision globale': {'avg_mape': 9.571185600720408, 'max_mape': 29.944552413070202}, 'Prévision journalière': {'avg_mape': 14.249536220474642, 'max_mape': 35.8472122920463}, 'Prévision hebdomadaire': {'avg_mape': 60.256197155306026, 'max_mape': 100.0}}"
16,21,l2,,0.001,"{'Prévision globale': {'avg_mape': 8.461569741292202, 'max_mape': 2505.037434895833}}","{'Prévision globale': {'avg_mape': 10.537400499684193, 'max_mape': 27.300566360802563}, 'Prévision journalière': {'avg_mape': 13.063134502045926, 'max_mape': 34.15217893873205}, 'Prévision hebdomadaire': {'avg_mape': 55.56659344285762, 'max_mape': 100.0}}"
16,21,l2,,0.0001,"{'Prévision globale': {'avg_mape': 6.311926937961282, 'max_mape': 1174.0520562065972}}","{'Prévision globale': {'avg_mape': 15.653089520921133, 'max_mape': 25.812174149625427}, 'Prévision journalière': {'avg_mape': 15.29342171208786, 'max_mape': 38.46550309610583}, 'Prévision hebdomadaire': {'avg_mape': 62.515123592326844, 'max_mape': 100.0}}"
16,21,l1_l2,0.0,0.0,"{'Prévision globale': {'avg_mape': 7.403484712335351, 'max_mape': 301.63160536024304}}","{'Prévision globale': {'avg_mape': 8.493357328638055, 'max_mape': 21.590944949949513}, 'Prévision journalière': {'avg_mape': 15.692705768592788, 'max_mape': 39.93866974228947}, 'Prévision hebdomadaire': {'avg_mape': 60.42644012945463, 'max_mape': 100.0}}"
16,21,l1_l2,0.0,0.1,"{'Prévision globale': {'avg_mape': 6.956507548264208, 'max_mape': 1744.6036783854165}}","{'Prévision globale': {'avg_mape': 9.816394301283001, 'max_mape': 18.066469071646832}, 'Prévision journalière': {'avg_mape': 11.618239807544608, 'max_mape': 29.776047730225418}, 'Prévision hebdomadaire': {'avg_mape': 55.707682259950175, 'max_mape': 100.0}}"
16,21,l1_l2,0.0,0.01,"{'Prévision globale': {'avg_mape': 5.071714365992293, 'max_mape': 737.8827582465278}}","{'Prévision globale': {'avg_mape': 9.564151721696213, 'max_mape': 28.28333715206129}, 'Prévision journalière': {'avg_mape': 11.772543776074167, 'max_mape': 24.856479880771595}, 'Prévision hebdomadaire': {'avg_mape': 54.42892247421007, 'max_mape': 100.0}}"
16,21,l1_l2,0.0,0.001,"{'Prévision globale': {'avg_mape': 5.808846654199298, 'max_mape': 1313.6418999565972}}","{'Prévision globale': {'avg_mape': 13.229524583615932, 'max_mape': 24.80358828177639}, 'Prévision journalière': {'avg_mape': 14.030929172173913, 'max_mape': 44.15441300533172}, 'Prévision hebdomadaire': {'avg_mape': 62.503823564683195, 'max_mape': 100.0}}"
16,21,l1_l2,0.0,0.0001,"{'Prévision globale': {'avg_mape': 6.0751880256440245, 'max_mape': 296.4408196343316}}","{'Prévision globale': {'avg_mape': 16.627314254060856, 'max_mape': 30.636288114106335}, 'Prévision journalière': {'avg_mape': 16.19219019145495, 'max_mape': 47.87457436453904}, 'Prévision hebdomadaire': {'avg_mape': 60.21662531266507, 'max_mape': 100.0}}"
16,21,l1_l2,0.1,0.0,"{'Prévision globale': {'avg_mape': 7.353285861193067, 'max_mape': 846.4121500651041}}","{'Prévision globale': {'avg_mape': 10.989759481349125, 'max_mape': 28.18631189662653}, 'Prévision journalière': {'avg_mape': 15.293726844892959, 'max_mape': 25.5722031174614}, 'Prévision hebdomadaire': {'avg_mape': 57.13275318341537, 'max_mape': 100.0}}"
16,21,l1_l2,0.1,0.1,"{'Prévision globale': {'avg_mape': 10.60430820249984, 'max_mape': 546.6739230685764}}","{'Prévision globale': {'avg_mape': 13.744694445997178, 'max_mape': 45.81062104864556}, 'Prévision journalière': {'avg_mape': 11.984225271878545, 'max_mape': 32.94272810580752}, 'Prévision hebdomadaire': {'avg_mape': 57.51416483976387, 'max_mape': 100.0}}"
16,21,l1_l2,0.1,0.01,"{'Prévision globale': {'avg_mape': 8.645145899574558, 'max_mape': 975.9886338975693}}","{'Prévision globale': {'avg_mape': 10.335836271019714, 'max_mape': 21.20312556495643}, 'Prévision journalière': {'avg_mape': 10.278249414155377, 'max_mape': 24.838360023537152}, 'Prévision hebdomadaire': {'avg_mape': 55.256562725150516, 'max_mape': 100.0}}"
16,21,l1_l2,0.1,0.001,"{'Prévision globale': {'avg_mape': 9.292905571776489, 'max_mape': 2199.870334201389}}","{'Prévision globale': {'avg_mape': 9.183056830983324, 'max_mape': 16.964688245742487}, 'Prévision journalière': {'avg_mape': 19.0709211808792, 'max_mape': 32.925618401308895}, 'Prévision hebdomadaire': {'avg_mape': 61.55531687375198, 'max_mape': 100.0}}"
16,21,l1_l2,0.1,0.0001,"{'Prévision globale': {'avg_mape': 9.569708506837053, 'max_mape': 2007.0315212673613}}","{'Prévision globale': {'avg_mape': 7.422931590139477, 'max_mape': 17.22981823184706}, 'Prévision journalière': {'avg_mape': 13.368696236150203, 'max_mape': 23.585398106904233}, 'Prévision hebdomadaire': {'avg_mape': 57.92206894056162, 'max_mape': 100.0}}"
16,21,l1_l2,0.01,0.0,"{'Prévision globale': {'avg_mape': 6.418969716146689, 'max_mape': 1009.1771782769097}}","{'Prévision globale': {'avg_mape': 8.218543760713521, 'max_mape': 23.683800119109844}, 'Prévision journalière': {'avg_mape': 13.20170729340409, 'max_mape': 27.775264476614698}, 'Prévision hebdomadaire': {'avg_mape': 57.91762370823416, 'max_mape': 100.0}}"
16,21,l1_l2,0.01,0.1,"{'Prévision globale': {'avg_mape': 6.130398536639801, 'max_mape': 353.37232801649304}}","{'Prévision globale': {'avg_mape': 11.648429759743612, 'max_mape': 25.00282974601572}, 'Prévision journalière': {'avg_mape': 9.704797423677732, 'max_mape': 24.60297962377523}, 'Prévision hebdomadaire': {'avg_mape': 55.17558964679049, 'max_mape': 100.0}}"
16,21,l1_l2,0.01,0.01,"{'Prévision globale': {'avg_mape': 4.830625641143368, 'max_mape': 169.49077436495102}}","{'Prévision globale': {'avg_mape': 12.030910385206854, 'max_mape': 30.661371862176534}, 'Prévision journalière': {'avg_mape': 14.17882312868258, 'max_mape': 29.511849947315273}, 'Prévision hebdomadaire': {'avg_mape': 57.06471152909181, 'max_mape': 100.0}}"
16,21,l1_l2,0.01,0.001,"{'Prévision globale': {'avg_mape': 5.220393077357391, 'max_mape': 1015.2724880642362}}","{'Prévision globale': {'avg_mape': 8.221763753531269, 'max_mape': 18.352205479555323}, 'Prévision journalière': {'avg_mape': 15.276981178332075, 'max_mape': 44.85067761587197}, 'Prévision hebdomadaire': {'avg_mape': 55.9384283503368, 'max_mape': 100.0}}"
16,21,l1_l2,0.01,0.0001,"{'Prévision globale': {'avg_mape': 6.939418295441959, 'max_mape': 1174.762980143229}}","{'Prévision globale': {'avg_mape': 10.67633908816704, 'max_mape': 18.512487058740753}, 'Prévision journalière': {'avg_mape': 13.146580510068372, 'max_mape': 29.506000684727198}, 'Prévision hebdomadaire': {'avg_mape': 58.13527563014677, 'max_mape': 100.0}}"
16,21,l1_l2,0.001,0.0,"{'Prévision globale': {'avg_mape': 7.432730362397501, 'max_mape': 1315.809597439236}}","{'Prévision globale': {'avg_mape': 9.615320396874676, 'max_mape': 27.32039173288844}, 'Prévision journalière': {'avg_mape': 12.493553102417948, 'max_mape': 28.874367262903906}, 'Prévision hebdomadaire': {'avg_mape': 55.81315524077544, 'max_mape': 100.0}}"
16,21,l1_l2,0.001,0.1,"{'Prévision globale': {'avg_mape': 5.058796492276278, 'max_mape': 348.3474392361111}}","{'Prévision globale': {'avg_mape': 10.610806990353305, 'max_mape': 20.352167894147605}, 'Prévision journalière': {'avg_mape': 13.941169039184663, 'max_mape': 27.340756767649278}, 'Prévision hebdomadaire': {'avg_mape': 56.82061543448059, 'max_mape': 100.0}}"
16,21,l1_l2,0.001,0.01,"{'Prévision globale': {'avg_mape': 7.49393987364289, 'max_mape': 1712.392849392361}}","{'Prévision globale': {'avg_mape': 10.843449431202142, 'max_mape': 35.35630813401671}, 'Prévision journalière': {'avg_mape': 18.477960054454446, 'max_mape': 44.01344942713131}, 'Prévision hebdomadaire': {'avg_mape': 57.60200440844731, 'max_mape': 100.0}}"
16,21,l1_l2,0.001,0.001,"{'Prévision globale': {'avg_mape': 6.036175455424802, 'max_mape': 573.7555948893229}}","{'Prévision globale': {'avg_mape': 15.642410262082445, 'max_mape': 43.353321058523946}, 'Prévision journalière': {'avg_mape': 19.638492251088916, 'max_mape': 38.543228692127286}, 'Prévision hebdomadaire': {'avg_mape': 56.26341798631411, 'max_mape': 100.0}}"
16,21,l1_l2,0.001,0.0001,"{'Prévision globale': {'avg_mape': 6.237819015467826, 'max_mape': 314.32054307725696}}","{'Prévision globale': {'avg_mape': 8.135494170066838, 'max_mape': 16.827537272152565}, 'Prévision journalière': {'avg_mape': 15.136095361084092, 'max_mape': 45.87845922822432}, 'Prévision hebdomadaire': {'avg_mape': 54.762042247204036, 'max_mape': 100.0}}"
16,21,l1_l2,0.0001,0.0,"{'Prévision globale': {'avg_mape': 5.009670908525034, 'max_mape': 385.4352612327873}}","{'Prévision globale': {'avg_mape': 11.578418366881195, 'max_mape': 32.071209443737104}, 'Prévision journalière': {'avg_mape': 14.792712160194293, 'max_mape': 32.53312812141459}, 'Prévision hebdomadaire': {'avg_mape': 60.467974589022376, 'max_mape': 100.0}}"
16,21,l1_l2,0.0001,0.1,"{'Prévision globale': {'avg_mape': 10.204591392818037, 'max_mape': 1307.1067979600696}}","{'Prévision globale': {'avg_mape': 11.687475213078143, 'max_mape': 29.199554882061147}, 'Prévision journalière': {'avg_mape': 13.466409687155089, 'max_mape': 30.113834088378216}, 'Prévision hebdomadaire': {'avg_mape': 58.91584724450822, 'max_mape': 100.0}}"
16,21,l1_l2,0.0001,0.01,"{'Prévision globale': {'avg_mape': 9.389271439178962, 'max_mape': 2756.806640625}}","{'Prévision globale': {'avg_mape': 8.44944724462429, 'max_mape': 26.645908907560255}, 'Prévision journalière': {'avg_mape': 13.578652519214947, 'max_mape': 36.49823338124164}, 'Prévision hebdomadaire': {'avg_mape': 60.01906204079354, 'max_mape': 100.0}}"
16,21,l1_l2,0.0001,0.001,"{'Prévision globale': {'avg_mape': 8.691984945168974, 'max_mape': 1653.9109971788193}}","{'Prévision globale': {'avg_mape': 9.516380431757185, 'max_mape': 26.76660186262458}, 'Prévision journalière': {'avg_mape': 12.714504323304896, 'max_mape': 26.147136970296852}, 'Prévision hebdomadaire': {'avg_mape': 57.81990418406413, 'max_mape': 100.0}}"
16,21,l1_l2,0.0001,0.0001,"{'Prévision globale': {'avg_mape': 7.291516057475556, 'max_mape': 1003.8663736979167}}","{'Prévision globale': {'avg_mape': 7.520418406336813, 'max_mape': 18.468087216757052}, 'Prévision journalière': {'avg_mape': 15.87637934074012, 'max_mape': 37.1039231704451}, 'Prévision hebdomadaire': {'avg_mape': 55.54646396512045, 'max_mape': 100.0}}"
64,7,l1,0.0,,"{'Prévision globale': {'avg_mape': 5.11228900616356, 'max_mape': 727.7145046657986}}","{'Prévision globale': {'avg_mape': 8.341919042322553, 'max_mape': 18.40421408633397}, 'Prévision journalière': {'avg_mape': 10.66979179210774, 'max_mape': 25.187533057508045}, 'Prévision hebdomadaire': {'avg_mape': 56.6918394435735, 'max_mape': 100.0}}"
64,7,l1,0.1,,"{'Prévision globale': {'avg_mape': 11.300975445514785, 'max_mape': 1024.2298041449653}}","{'Prévision globale': {'avg_mape': 7.364723778250091, 'max_mape': 16.630474145333913}, 'Prévision journalière': {'avg_mape': 14.280378600225413, 'max_mape': 35.55519921163191}, 'Prévision hebdomadaire': {'avg_mape': 57.6382223227872, 'max_mape': 100.0}}"
64,7,l1,0.01,,"{'Prévision globale': {'avg_mape': 8.291890910281708, 'max_mape': 1027.8422715928818}}","{'Prévision globale': {'avg_mape': 9.669612158773145, 'max_mape': 23.45894197803608}, 'Prévision journalière': {'avg_mape': 12.96014538555993, 'max_mape': 33.14523119558615}, 'Prévision hebdomadaire': {'avg_mape': 57.96356645553228, 'max_mape': 100.0}}"
64,7,l1,0.001,,"{'Prévision globale': {'avg_mape': 4.203246279690805, 'max_mape': 458.88214111328125}}","{'Prévision globale': {'avg_mape': 8.500481920070047, 'max_mape': 14.893236996736581}, 'Prévision journalière': {'avg_mape': 12.792819203151126, 'max_mape': 34.86097446134508}, 'Prévision hebdomadaire': {'avg_mape': 58.46109292193637, 'max_mape': 100.0}}"
64,7,l1,0.0001,,"{'Prévision globale': {'avg_mape': 5.913753970432255, 'max_mape': 682.296888563368}}","{'Prévision globale': {'avg_mape': 7.296306272875879, 'max_mape': 19.91314064986182}, 'Prévision journalière': {'avg_mape': 11.74673434719853, 'max_mape': 22.763462945856112}, 'Prévision hebdomadaire': {'avg_mape': 54.962129945727256, 'max_mape': 100.0}}"
64,7,l2,,0.0,"{'Prévision globale': {'avg_mape': 5.74884861250762, 'max_mape': 345.106438530816}}","{'Prévision globale': {'avg_mape': 9.114798779219717, 'max_mape': 24.12451701837049}, 'Prévision journalière': {'avg_mape': 14.5450779210011, 'max_mape': 35.418433007693864}, 'Prévision hebdomadaire': {'avg_mape': 58.358241363216464, 'max_mape': 100.0}}"
64,7,l2,,0.1,"{'Prévision globale': {'avg_mape': 6.669320374587324, 'max_mape': 133.69592122073695}}","{'Prévision globale': {'avg_mape': 9.57575045458191, 'max_mape': 22.578889864146376}, 'Prévision journalière': {'avg_mape': 9.856666698106354, 'max_mape': 28.327186730191674}, 'Prévision hebdomadaire': {'avg_mape': 54.95414016981367, 'max_mape': 100.0}}"
64,7,l2,,0.01,"{'Prévision globale': {'avg_mape': 4.558089167979189, 'max_mape': 195.11103677486187}}","{'Prévision globale': {'avg_mape': 8.037931273758442, 'max_mape': 21.383524654407452}, 'Prévision journalière': {'avg_mape': 15.764105658369086, 'max_mape': 35.409937434619025}, 'Prévision hebdomadaire': {'avg_mape': 59.800038447516656, 'max_mape': 100.0}}"
64,7,l2,,0.001,"{'Prévision globale': {'avg_mape': 4.75065076450567, 'max_mape': 1207.5788031684028}}","{'Prévision globale': {'avg_mape': 6.779427771719535, 'max_mape': 18.343389889917166}, 'Prévision journalière': {'avg_mape': 12.456241743316488, 'max_mape': 20.52213436213471}, 'Prévision hebdomadaire': {'avg_mape': 56.23695337630678, 'max_mape': 100.0}}"
64,7,l2,,0.0001,"{'Prévision globale': {'avg_mape': 7.82889450255551, 'max_mape': 1740.8238389756946}}","{'Prévision globale': {'avg_mape': 7.456481524539879, 'max_mape': 17.653953552885017}, 'Prévision journalière': {'avg_mape': 13.975776738529742, 'max_mape': 31.6577347809948}, 'Prévision hebdomadaire': {'avg_mape': 56.50617550136133, 'max_mape': 100.0}}"
64,7,l1_l2,0.0,0.0,"{'Prévision globale': {'avg_mape': 6.539933327464321, 'max_mape': 657.9982503255209}}","{'Prévision globale': {'avg_mape': 5.279218074652931, 'max_mape': 18.931294518566727}, 'Prévision journalière': {'avg_mape': 13.449654044203802, 'max_mape': 29.32956338717444}, 'Prévision hebdomadaire': {'avg_mape': 55.74992218247176, 'max_mape': 100.0}}"
64,7,l1_l2,0.0,0.1,"{'Prévision globale': {'avg_mape': 9.461188303672145, 'max_mape': 2096.531304253472}}","{'Prévision globale': {'avg_mape': 7.162741371713158, 'max_mape': 10.358481282974626}, 'Prévision journalière': {'avg_mape': 11.347875064206843, 'max_mape': 26.95703732328163}, 'Prévision hebdomadaire': {'avg_mape': 55.88894901033935, 'max_mape': 100.0}}"
64,7,l1_l2,0.0,0.01,"{'Prévision globale': {'avg_mape': 6.1323897052181255, 'max_mape': 1532.703857421875}}","{'Prévision globale': {'avg_mape': 9.943672962173782, 'max_mape': 21.273851156864183}, 'Prévision journalière': {'avg_mape': 15.035670962594063, 'max_mape': 34.63964797614227}, 'Prévision hebdomadaire': {'avg_mape': 59.21335940242545, 'max_mape': 100.0}}"
64,7,l1_l2,0.0,0.001,"{'Prévision globale': {'avg_mape': 5.175824210424498, 'max_mape': 525.0963677300347}}","{'Prévision globale': {'avg_mape': 9.759060902028944, 'max_mape': 19.863466078008543}, 'Prévision journalière': {'avg_mape': 13.791181590956455, 'max_mape': 26.071318787119523}, 'Prévision hebdomadaire': {'avg_mape': 56.84146509474601, 'max_mape': 100.0}}"
64,7,l1_l2,0.0,0.0001,"{'Prévision globale': {'avg_mape': 7.947125480244914, 'max_mape': 439.9943372938368}}","{'Prévision globale': {'avg_mape': 8.91801081402827, 'max_mape': 15.552581769219495}, 'Prévision journalière': {'avg_mape': 16.9055643247691, 'max_mape': 27.620249829079306}, 'Prévision hebdomadaire': {'avg_mape': 56.84660464398286, 'max_mape': 100.0}}"
64,7,l1_l2,0.1,0.0,"{'Prévision globale': {'avg_mape': 14.024780996256935, 'max_mape': 1018.0772569444445}}","{'Prévision globale': {'avg_mape': 16.002977924845176, 'max_mape': 28.941959171501242}, 'Prévision journalière': {'avg_mape': 12.892281445519165, 'max_mape': 32.61700954773234}, 'Prévision hebdomadaire': {'avg_mape': 57.2511018728449, 'max_mape': 100.0}}"
64,7,l1_l2,0.1,0.1,"{'Prévision globale': {'avg_mape': 12.41660433511762, 'max_mape': 869.4397650824653}}","{'Prévision globale': {'avg_mape': 11.068157083528773, 'max_mape': 23.245774973334058}, 'Prévision journalière': {'avg_mape': 13.276024968587075, 'max_mape': 34.96992736920129}, 'Prévision hebdomadaire': {'avg_mape': 57.491207633355124, 'max_mape': 100.0}}"
64,7,l1_l2,0.1,0.01,"{'Prévision globale': {'avg_mape': 12.198314429120693, 'max_mape': 399.77718777126734}}","{'Prévision globale': {'avg_mape': 7.738262301857125, 'max_mape': 23.438114390118233}, 'Prévision journalière': {'avg_mape': 13.963579654426297, 'max_mape': 29.758812723560773}, 'Prévision hebdomadaire': {'avg_mape': 55.078781394868884, 'max_mape': 100.0}}"
64,7,l1_l2,0.1,0.001,"{'Prévision globale': {'avg_mape': 9.588713898252063, 'max_mape': 125.2450077443062}}","{'Prévision globale': {'avg_mape': 12.454847781526931, 'max_mape': 22.638059410750955}, 'Prévision journalière': {'avg_mape': 15.414169965975187, 'max_mape': 34.422152676085624}, 'Prévision hebdomadaire': {'avg_mape': 56.9026833585174, 'max_mape': 100.0}}"
64,7,l1_l2,0.1,0.0001,"{'Prévision globale': {'avg_mape': 12.609006696332061, 'max_mape': 2248.3238389756943}}","{'Prévision globale': {'avg_mape': 6.287300893151618, 'max_mape': 15.77185336216871}, 'Prévision journalière': {'avg_mape': 11.58696363150476, 'max_mape': 31.69298939915754}, 'Prévision hebdomadaire': {'avg_mape': 55.985744364766866, 'max_mape': 100.0}}"
64,7,l1_l2,0.01,0.0,"{'Prévision globale': {'avg_mape': 5.470324037769432, 'max_mape': 241.70789003145777}}","{'Prévision globale': {'avg_mape': 8.00027014470709, 'max_mape': 16.105489375550015}, 'Prévision journalière': {'avg_mape': 15.42681926078571, 'max_mape': 33.179706707972954}, 'Prévision hebdomadaire': {'avg_mape': 55.583045509497495, 'max_mape': 100.0}}"
64,7,l1,0.0,,"{'Prévision globale': {'avg_mape': 5.8849743321338215, 'max_mape': 589.4879150390625}}","{'Prévision globale': {'avg_mape': 9.174117084383512, 'max_mape': 16.08588439409553}, 'Prévision journalière': {'avg_mape': 10.900364870175085, 'max_mape': 34.00155068924209}, 'Prévision hebdomadaire': {'avg_mape': 55.791566038412796, 'max_mape': 100.0}}"
64,7,l1,0.1,,"{'Prévision globale': {'avg_mape': 12.86792726341433, 'max_mape': 348.07015313042535}}","{'Prévision globale': {'avg_mape': 8.066448610698574, 'max_mape': 15.542883582818092}, 'Prévision journalière': {'avg_mape': 10.65480538499624, 'max_mape': 30.146082993774044}, 'Prévision hebdomadaire': {'avg_mape': 56.40312585525943, 'max_mape': 100.0}}"
64,7,l1,0.01,,"{'Prévision globale': {'avg_mape': 7.634237098973938, 'max_mape': 1305.8232964409722}}","{'Prévision globale': {'avg_mape': 7.5041541535803855, 'max_mape': 15.22553036310135}, 'Prévision journalière': {'avg_mape': 14.012304437760198, 'max_mape': 34.1031814577205}, 'Prévision hebdomadaire': {'avg_mape': 58.36041590920223, 'max_mape': 100.0}}"
64,7,l1,0.001,,"{'Prévision globale': {'avg_mape': 4.95742336403471, 'max_mape': 263.0023083229463}}","{'Prévision globale': {'avg_mape': 7.765631266086752, 'max_mape': 18.981133149443092}, 'Prévision journalière': {'avg_mape': 10.42068794739556, 'max_mape': 31.909919507575758}, 'Prévision hebdomadaire': {'avg_mape': 59.364144489769444, 'max_mape': 100.0}}"
64,7,l1,0.0001,,"{'Prévision globale': {'avg_mape': 6.597080927931458, 'max_mape': 471.11463758680554}}","{'Prévision globale': {'avg_mape': 6.77809257751904, 'max_mape': 19.818625501888384}, 'Prévision journalière': {'avg_mape': 13.098034222625623, 'max_mape': 24.55485522676384}, 'Prévision hebdomadaire': {'avg_mape': 56.960623847930435, 'max_mape': 100.0}}"
64,7,l2,,0.0,"{'Prévision globale': {'avg_mape': 4.7037949102246275, 'max_mape': 1438.100314670139}}","{'Prévision globale': {'avg_mape': 8.733637236255028, 'max_mape': 27.05221244033163}, 'Prévision journalière': {'avg_mape': 12.924361462306617, 'max_mape': 38.14938077883512}, 'Prévision hebdomadaire': {'avg_mape': 61.83106418314693, 'max_mape': 100.0}}"
64,7,l2,,0.1,"{'Prévision globale': {'avg_mape': 8.02575307476531, 'max_mape': 2128.438178168403}}","{'Prévision globale': {'avg_mape': 9.645100348673553, 'max_mape': 24.831486391720446}, 'Prévision journalière': {'avg_mape': 15.095104726649215, 'max_mape': 47.983253768897214}, 'Prévision hebdomadaire': {'avg_mape': 60.75576859618259, 'max_mape': 100.0}}"
64,7,l2,,0.01,"{'Prévision globale': {'avg_mape': 5.83947104159769, 'max_mape': 1132.3682318793403}}","{'Prévision globale': {'avg_mape': 12.11450579438325, 'max_mape': 25.26487538633091}, 'Prévision journalière': {'avg_mape': 12.980011671197875, 'max_mape': 30.575409316578927}, 'Prévision hebdomadaire': {'avg_mape': 60.1452770446232, 'max_mape': 100.0}}"
64,7,l2,,0.001,"{'Prévision globale': {'avg_mape': 6.874704151607155, 'max_mape': 362.6723395453559}}","{'Prévision globale': {'avg_mape': 9.436369164337787, 'max_mape': 18.72792063517527}, 'Prévision journalière': {'avg_mape': 10.430057152473935, 'max_mape': 30.44584688406897}, 'Prévision hebdomadaire': {'avg_mape': 58.36015122721392, 'max_mape': 100.0}}"
64,7,l2,,0.0001,"{'Prévision globale': {'avg_mape': 6.262340427558482, 'max_mape': 622.3107697654739}}","{'Prévision globale': {'avg_mape': 14.914768699809787, 'max_mape': 27.369016298767967}, 'Prévision journalière': {'avg_mape': 16.23895732265038, 'max_mape': 28.966562637089154}, 'Prévision hebdomadaire': {'avg_mape': 59.69366272854971, 'max_mape': 100.0}}"
64,7,l1_l2,0.0,0.0,"{'Prévision globale': {'avg_mape': 6.302385221431912, 'max_mape': 556.0510932074653}}","{'Prévision globale': {'avg_mape': 6.915761934454802, 'max_mape': 25.310271294734527}, 'Prévision journalière': {'avg_mape': 12.887122367528487, 'max_mape': 25.244447977864038}, 'Prévision hebdomadaire': {'avg_mape': 57.16079317249957, 'max_mape': 100.0}}"
64,7,l1_l2,0.0,0.1,"{'Prévision globale': {'avg_mape': 7.732748010999726, 'max_mape': 341.28892686631946}}","{'Prévision globale': {'avg_mape': 8.113785753251472, 'max_mape': 14.232075329435784}, 'Prévision journalière': {'avg_mape': 12.423317454984373, 'max_mape': 36.12402033981238}, 'Prévision hebdomadaire': {'avg_mape': 58.0074603546298, 'max_mape': 100.0}}"
64,7,l1_l2,0.0,0.01,"{'Prévision globale': {'avg_mape': 6.433385358235695, 'max_mape': 847.6613362630209}}","{'Prévision globale': {'avg_mape': 7.623007818756138, 'max_mape': 15.325385239439719}, 'Prévision journalière': {'avg_mape': 12.153433341216742, 'max_mape': 32.79917335239927}, 'Prévision hebdomadaire': {'avg_mape': 55.8441036587991, 'max_mape': 100.0}}"
64,7,l1_l2,0.0,0.001,"{'Prévision globale': {'avg_mape': 7.0386130507289835, 'max_mape': 667.3404269748264}}","{'Prévision globale': {'avg_mape': 8.573675120950458, 'max_mape': 16.11491410604283}, 'Prévision journalière': {'avg_mape': 14.195901997749946, 'max_mape': 29.583602238982248}, 'Prévision hebdomadaire': {'avg_mape': 57.23263307894248, 'max_mape': 100.0}}"
64,7,l1_l2,0.0,0.0001,"{'Prévision globale': {'avg_mape': 7.751833093697823, 'max_mape': 1717.7266438802083}}","{'Prévision globale': {'avg_mape': 13.30069121478609, 'max_mape': 29.907502577778246}, 'Prévision journalière': {'avg_mape': 12.913607306015985, 'max_mape': 29.962748537450057}, 'Prévision hebdomadaire': {'avg_mape': 57.15138785124638, 'max_mape': 100.0}}"
64,7,l1_l2,0.1,0.0,"{'Prévision globale': {'avg_mape': 10.616313253778632, 'max_mape': 611.9115532769097}}","{'Prévision globale': {'avg_mape': 8.79693747768986, 'max_mape': 23.909337486893012}, 'Prévision journalière': {'avg_mape': 9.749796807987678, 'max_mape': 28.860621720405614}, 'Prévision hebdomadaire': {'avg_mape': 54.71689041663659, 'max_mape': 100.0}}"
