filters,kernel,reg_type,l1_value,l2_value,mapes_train,mapes_test
16,7,l1_l2,0.1,0.1,"{'Prévision globale': {'avg_mape': 8.138222798400953, 'max_mape': 827.54150390625}}","{'Prévision globale': {'avg_mape': 3.961365139396115, 'max_mape': 10.116476436709126}, 'Prévision journalière': {'avg_mape': 13.287133072199463, 'max_mape': 38.877409869153674}, 'Prévision hebdomadaire': {'avg_mape': 56.711622408042444, 'max_mape': 100.0}}"
16,7,l1_l2,0.1,0.01,"{'Prévision globale': {'avg_mape': 9.120301436986646, 'max_mape': 936.3077799479166}}","{'Prévision globale': {'avg_mape': 8.866163406544796, 'max_mape': 21.50533488357378}, 'Prévision journalière': {'avg_mape': 15.244938776824771, 'max_mape': 23.662128488391712}, 'Prévision hebdomadaire': {'avg_mape': 55.78014699728332, 'max_mape': 100.0}}"
16,7,l1_l2,0.1,0.001,"{'Prévision globale': {'avg_mape': 7.947383186348504, 'max_mape': 827.6297336154514}}","{'Prévision globale': {'avg_mape': 13.403419503831515, 'max_mape': 30.92658369797337}, 'Prévision journalière': {'avg_mape': 12.813460658624203, 'max_mape': 23.29506568679557}, 'Prévision hebdomadaire': {'avg_mape': 56.27060383877301, 'max_mape': 100.0}}"
16,7,l1_l2,0.1,0.0001,"{'Prévision globale': {'avg_mape': 6.9045183982230105, 'max_mape': 116.0717699262831}}","{'Prévision globale': {'avg_mape': 9.140473681843645, 'max_mape': 15.810940347236283}, 'Prévision journalière': {'avg_mape': 10.321693211280747, 'max_mape': 25.809392821590066}, 'Prévision hebdomadaire': {'avg_mape': 55.09751176376825, 'max_mape': 100.0}}"
16,7,l1_l2,0.01,0.0,"{'Prévision globale': {'avg_mape': 7.579512306046196, 'max_mape': 454.13926866319446}}","{'Prévision globale': {'avg_mape': 9.930899797826065, 'max_mape': 20.69875375926703}, 'Prévision journalière': {'avg_mape': 8.43134653717383, 'max_mape': 32.15808383107242}, 'Prévision hebdomadaire': {'avg_mape': 55.37987578575927, 'max_mape': 100.0}}"
16,7,l1_l2,0.01,0.1,"{'Prévision globale': {'avg_mape': 8.511120114367948, 'max_mape': 915.3870985243057}}","{'Prévision globale': {'avg_mape': 13.782554709776287, 'max_mape': 30.529964791205703}, 'Prévision journalière': {'avg_mape': 14.075084107360004, 'max_mape': 20.294019327461697}, 'Prévision hebdomadaire': {'avg_mape': 54.8733470666816, 'max_mape': 100.0}}"
16,7,l1_l2,0.01,0.01,"{'Prévision globale': {'avg_mape': 7.588612192013336, 'max_mape': 612.7444118923611}}","{'Prévision globale': {'avg_mape': 7.838138275890979, 'max_mape': 18.975985231812796}, 'Prévision journalière': {'avg_mape': 12.8447783156544, 'max_mape': 30.221936795572653}, 'Prévision hebdomadaire': {'avg_mape': 57.00159897237434, 'max_mape': 100.0}}"
16,7,l1_l2,0.01,0.001,"{'Prévision globale': {'avg_mape': 8.921113638553047, 'max_mape': 2285.280219184028}}","{'Prévision globale': {'avg_mape': 9.53199297132362, 'max_mape': 19.243432867801513}, 'Prévision journalière': {'avg_mape': 12.34978393506214, 'max_mape': 32.829181377387464}, 'Prévision hebdomadaire': {'avg_mape': 60.37957139803334, 'max_mape': 100.0}}"
16,7,l1_l2,0.01,0.0001,"{'Prévision globale': {'avg_mape': 5.489630750228393, 'max_mape': 361.83831108940973}}","{'Prévision globale': {'avg_mape': 9.811360954318385, 'max_mape': 20.840714606556173}, 'Prévision journalière': {'avg_mape': 14.187765708393233, 'max_mape': 31.529536649203614}, 'Prévision hebdomadaire': {'avg_mape': 57.999222724971574, 'max_mape': 100.0}}"
16,7,l1_l2,0.001,0.0,"{'Prévision globale': {'avg_mape': 6.119653170735651, 'max_mape': 1150.578138563368}}","{'Prévision globale': {'avg_mape': 10.838960872424817, 'max_mape': 20.663993748166618}, 'Prévision journalière': {'avg_mape': 13.862977976777074, 'max_mape': 40.21074030252413}, 'Prévision hebdomadaire': {'avg_mape': 58.674280595091545, 'max_mape': 100.0}}"
