filters,kernel,reg_type,l1_value,l2_value,mapes_train.Prévision globale.avg_mape,mapes_train.Prévision globale.max_mape,mapes_test.Prévision globale.avg_mape,mapes_test.Prévision globale.max_mape,mapes_test.Prévision journalière.avg_mape,mapes_test.Prévision journalière.max_mape,mapes_test.Prévision hebdomadaire.avg_mape,mapes_test.Prévision hebdomadaire.max_mape
16,7,l1,0.0,,5.136993765882171,416.4972262912326,11.353051826837229,28.55449542027045,8.194312446740998,23.303005059749793,53.69080849220684,100.0
16,7,l1,0.1,,9.692724484437296,1337.7242024739583,9.95568285847363,20.844555587749795,11.853798094860565,27.035998030134305,55.760284269018086,100.0
16,7,l1,0.01,,6.954629289926627,414.72784223132254,9.635186783111955,21.761702707905545,9.820297036298694,18.932697661469934,54.14770230969168,100.0
16,7,l1,0.001,,10.511226419168512,1418.662109375,14.820583065787932,39.811995246956585,12.919460906373981,35.80911732511642,57.365558277414166,100.0
16,7,l1,0.0001,,5.97072291619302,168.6522712688644,12.857595021333632,27.40093218742149,13.16482820700621,33.78766524515759,58.02619829849037,100.0
16,7,l2,,0.0,9.484332944676927,561.968321219173,11.894109063984594,26.73851425329951,16.43805595522998,35.21160633689343,58.50546599900882,100.0
16,7,l2,,0.1,10.681678043565228,930.9648980034723,19.95145139192996,39.60514194791056,11.243981243692874,29.321514570821478,58.34090433956034,100.0
16,7,l2,,0.01,6.59755282099078,933.0628119574653,13.385411797769944,32.64316468672075,11.233508959960691,39.34274186744955,58.229366708546785,100.0
16,7,l2,,0.001,5.8534358043897745,202.6129190964803,11.580500691807018,26.914206563889792,13.993903392980844,46.76474538853175,58.427290116953486,100.0
16,7,l2,,0.0001,8.787650976631985,596.5247260199652,9.009679399349462,32.61313393761073,15.382014484992308,36.57137256824931,60.04373377659948,100.0
16,7,l1_l2,0.0,0.0,10.973932727528835,1925.600857204861,9.86665318127536,35.08913416466978,15.320914981545803,34.83111143450091,58.74226535473865,100.0
16,7,l1_l2,0.0,0.1,7.520898387685662,848.5120307074652,6.604066705354138,15.472956264341633,8.475091147123173,20.635280794645116,55.11892794390552,100.0
16,7,l1_l2,0.0,0.01,5.780086093435646,203.34404183540863,8.823908555210146,20.101789953982106,14.12273355002505,40.53007235143754,59.984045641958765,100.0
16,7,l1_l2,0.0,0.001,6.624882366433837,268.592146794155,9.840241442569939,18.838353267545468,11.6361768326848,33.69337690659378,59.45279150692299,100.0
16,7,l1_l2,0.0,0.0001,5.819325162522701,708.8419596354167,10.178821971445636,24.0889992809309,12.06289598645862,31.146583369187418,56.92650207377183,100.0
16,7,l1_l2,0.1,0.0,8.516834103164493,1472.3200141059028,6.152316712360874,13.315892984255925,12.681857933379554,33.01026428679894,55.29303393661657,100.0
16,7,l1_l2,0.1,0.1,8.138222798400953,827.54150390625,3.961365139396115,10.116476436709126,13.287133072199463,38.877409869153674,56.711622408042444,100.0
