date,Point relais,isPartial
2021-06-27,34,False
2021-06-28,62,False
2021-06-29,61,False
2021-06-30,70,False
2021-07-01,72,False
2021-07-02,66,False
2021-07-03,66,False
2021-07-04,36,False
2021-07-05,76,False
2021-07-06,72,False
2021-07-07,78,False
2021-07-08,74,False
2021-07-09,73,False
2021-07-10,68,False
2021-07-11,34,False
2021-07-12,76,False
2021-07-13,76,False
2021-07-14,53,False
2021-07-15,85,False
2021-07-16,80,False
2021-07-17,74,False
2021-07-18,35,False
2021-07-19,78,False
2021-07-20,76,False
2021-07-21,73,False
2021-07-22,70,False
2021-07-23,77,False
2021-07-24,65,False
2021-07-25,34,False
2021-07-26,75,False
2021-07-27,80,False
2021-07-28,67,False
2021-07-29,76,False
2021-07-30,75,False
2021-07-31,63,False
2021-08-01,39,False
2021-08-02,78,False
2021-08-03,77,False
2021-08-04,84,False
2021-08-05,79,False
2021-08-06,80,False
2021-08-07,66,False
2021-08-08,33,False
2021-08-09,89,False
2021-08-10,89,False
2021-08-11,100,False
2021-08-12,74,False
2021-08-13,75,False
2021-08-14,69,False
2021-08-15,39,False
2021-08-16,71,False
2021-08-17,89,False
2021-08-18,90,False
2021-08-19,83,False
2021-08-20,91,False
2021-08-21,68,False
2021-08-22,41,False
2021-08-23,93,False
2021-08-24,79,False
2021-08-25,89,False
2021-08-26,87,False
2021-08-27,78,False
2021-08-28,73,False
2021-08-29,37,False
2021-08-30,98,False
2021-08-31,90,False
2021-09-01,73,False
2021-09-02,84,False
2021-09-03,69,False
2021-09-04,85,False
2021-09-05,42,False
2021-09-06,79,False
2021-09-07,76,False
2021-09-08,74,False
2021-09-09,75,False
2021-09-10,69,False
2021-09-11,63,False
2021-09-12,46,False
2021-09-13,78,False
2021-09-14,67,False
2021-09-15,77,False
2021-09-16,74,False
2021-09-17,60,False
2021-09-18,70,False
2021-09-19,44,False
2021-09-20,75,False
2021-09-21,82,False
2021-09-22,78,False
2021-09-23,69,False
2021-09-24,67,False
2021-09-25,56,False
