date,Livraison express,isPartial
2018-12-30,0,False
2018-12-31,33,False
2019-01-01,24,False
2019-01-02,63,False
2019-01-03,36,False
2019-01-04,81,False
2019-01-05,28,False
2019-01-06,46,False
2019-01-07,33,False
2019-01-08,34,False
2019-01-09,40,False
2019-01-10,36,False
2019-01-11,26,False
2019-01-12,20,False
2019-01-13,46,False
2019-01-14,27,False
2019-01-15,61,False
2019-01-16,0,False
2019-01-17,36,False
2019-01-18,41,False
2019-01-19,58,False
2019-01-20,48,False
2019-01-21,44,False
2019-01-22,35,False
2019-01-23,32,False
2019-01-24,62,False
2019-01-25,0,False
2019-01-26,52,False
2019-01-27,19,False
2019-01-28,53,False
2019-01-29,29,False
2019-01-30,63,False
2019-01-31,67,False
2019-02-01,44,False
2019-02-02,21,False
2019-02-03,25,False
2019-02-04,20,False
2019-02-05,28,False
2019-02-06,28,False
2019-02-07,40,False
2019-02-08,16,False
2019-02-09,0,False
2019-02-10,45,False
2019-02-11,51,False
2019-02-12,41,False
2019-02-13,48,False
2019-02-14,72,False
2019-02-15,73,False
2019-02-16,46,False
2019-02-17,65,False
2019-02-18,35,False
2019-02-19,41,False
2019-02-20,33,False
2019-02-21,40,False
2019-02-22,57,False
2019-02-23,77,False
2019-02-24,23,False
2019-02-25,0,False
2019-02-26,46,False
2019-02-27,51,False
2019-02-28,0,False
2019-03-01,0,False
2019-03-02,65,False
2019-03-03,21,False
2019-03-04,25,False
2019-03-05,42,False
2019-03-06,100,False
2019-03-07,31,False
2019-03-08,0,False
2019-03-09,0,False
2019-03-10,41,False
2019-03-11,62,False
2019-03-12,35,False
2019-03-13,24,False
2019-03-14,66,False
2019-03-15,48,False
2019-03-16,37,False
2019-03-17,22,False
2019-03-18,21,False
2019-03-19,48,False
2019-03-20,17,False
2019-03-21,32,False
2019-03-22,29,False
2019-03-23,55,False
2019-03-24,12,False
2019-03-25,19,False
2019-03-26,45,False
2019-03-27,47,False
2019-03-28,65,False
2019-03-29,36,False
2019-03-30,34,False
