date,Livraison,isPartial
2019-03-31,48,False
2019-04-01,41,False
2019-04-02,41,False
2019-04-03,81,False
2019-04-04,82,False
2019-04-05,93,False
2019-04-06,96,False
2019-04-07,52,False
2019-04-08,84,False
2019-04-09,87,False
2019-04-10,86,False
2019-04-11,79,False
2019-04-12,95,False
2019-04-13,90,False
2019-04-14,96,False
2019-04-15,82,False
2019-04-16,81,False
2019-04-17,83,False
2019-04-18,86,False
2019-04-19,82,False
2019-04-20,100,False
2019-04-21,92,False
2019-04-22,87,False
2019-04-23,81,False
2019-04-24,76,False
2019-04-25,86,False
2019-04-26,38,False
2019-04-27,43,False
2019-04-28,48,False
2019-04-29,38,False
2019-04-30,42,False
2019-05-01,50,False
2019-05-02,40,False
2019-05-03,47,False
2019-05-04,47,False
2019-05-05,45,False
2019-05-06,40,False
2019-05-07,44,False
2019-05-08,46,False
2019-05-09,42,False
2019-05-10,43,False
2019-05-11,43,False
2019-05-12,42,False
2019-05-13,44,False
2019-05-14,42,False
2019-05-15,43,False
2019-05-16,40,False
2019-05-17,44,False
2019-05-18,48,False
2019-05-19,47,False
2019-05-20,46,False
2019-05-21,48,False
2019-05-22,49,False
2019-05-23,55,False
2019-05-24,57,False
2019-05-25,70,False
2019-05-26,47,False
2019-05-27,38,False
2019-05-28,40,False
2019-05-29,40,False
2019-05-30,43,False
2019-05-31,40,False
2019-06-01,39,False
2019-06-02,40,False
2019-06-03,42,False
2019-06-04,45,False
2019-06-05,46,False
2019-06-06,43,False
2019-06-07,45,False
2019-06-08,44,False
2019-06-09,46,False
2019-06-10,46,False
2019-06-11,43,False
2019-06-12,42,False
2019-06-13,47,False
2019-06-14,46,False
2019-06-15,46,False
2019-06-16,43,False
2019-06-17,41,False
2019-06-18,38,False
2019-06-19,40,False
2019-06-20,40,False
2019-06-21,40,False
2019-06-22,43,False
2019-06-23,40,False
2019-06-24,44,False
2019-06-25,38,False
2019-06-26,47,False
2019-06-27,48,False
2019-06-28,48,False
2019-06-29,49,False
