date,Retard livraison,isPartial
2021-03-28,0,False
2021-03-29,66,False
2021-03-30,39,False
2021-03-31,20,False
2021-04-01,18,False
2021-04-02,0,False
2021-04-03,24,False
2021-04-04,29,False
2021-04-05,18,False
2021-04-06,51,False
2021-04-07,25,False
2021-04-08,18,False
2021-04-09,33,False
2021-04-10,59,False
2021-04-11,31,False
2021-04-12,20,False
2021-04-13,32,False
2021-04-14,28,False
2021-04-15,0,False
2021-04-16,37,False
2021-04-17,19,False
2021-04-18,69,False
2021-04-19,0,False
2021-04-20,30,False
2021-04-21,36,False
2021-04-22,0,False
2021-04-23,59,False
2021-04-24,0,False
2021-04-25,0,False
2021-04-26,36,False
2021-04-27,52,False
2021-04-28,64,False
2021-04-29,18,False
2021-04-30,40,False
2021-05-01,0,False
2021-05-02,35,False
2021-05-03,49,False
2021-05-04,42,False
2021-05-05,68,False
2021-05-06,48,False
2021-05-07,15,False
2021-05-08,63,False
2021-05-09,0,False
2021-05-10,64,False
2021-05-11,48,False
2021-05-12,99,False
2021-05-13,100,False
2021-05-14,0,False
2021-05-15,52,False
2021-05-16,36,False
2021-05-17,26,False
2021-05-18,72,False
2021-05-19,0,False
2021-05-20,0,False
2021-05-21,41,False
2021-05-22,20,False
2021-05-23,23,False
2021-05-24,53,False
2021-05-25,64,False
2021-05-26,31,False
2021-05-27,60,False
2021-05-28,32,False
2021-05-29,40,False
2021-05-30,52,False
2021-05-31,44,False
2021-06-01,80,False
2021-06-02,19,False
2021-06-03,25,False
2021-06-04,0,False
2021-06-05,70,False
2021-06-06,27,False
2021-06-07,43,False
2021-06-08,0,False
2021-06-09,43,False
2021-06-10,0,False
2021-06-11,19,False
2021-06-12,22,False
2021-06-13,21,False
2021-06-14,33,False
2021-06-15,47,False
2021-06-16,0,False
2021-06-17,19,False
2021-06-18,44,False
2021-06-19,0,False
2021-06-20,21,False
2021-06-21,15,False
2021-06-22,29,False
2021-06-23,55,False
2021-06-24,21,False
2021-06-25,60,False
2021-06-26,0,False
