date,Délai livraison,isPartial
2022-09-25,49,False
2022-09-26,66,False
2022-09-27,47,False
2022-09-28,44,False
2022-09-29,76,False
2022-09-30,30,False
2022-10-01,25,False
2022-10-02,0,False
2022-10-03,25,False
2022-10-04,32,False
2022-10-05,74,False
2022-10-06,51,False
2022-10-07,46,False
2022-10-08,0,False
2022-10-09,45,False
2022-10-10,37,False
2022-10-11,35,False
2022-10-12,93,False
2022-10-13,14,False
2022-10-14,39,False
2022-10-15,0,False
2022-10-16,17,False
2022-10-17,42,False
2022-10-18,48,False
2022-10-19,59,False
2022-10-20,74,False
2022-10-21,53,False
2022-10-22,25,False
2022-10-23,43,False
2022-10-24,50,False
2022-10-25,74,False
2022-10-26,73,False
2022-10-27,0,False
2022-10-28,77,False
2022-10-29,33,False
2022-10-30,30,False
2022-10-31,14,False
2022-11-01,28,False
2022-11-02,79,False
2022-11-03,32,False
2022-11-04,39,False
2022-11-05,23,False
2022-11-06,0,False
2022-11-07,84,False
2022-11-08,43,False
2022-11-09,40,False
2022-11-10,70,False
2022-11-11,29,False
2022-11-12,0,False
2022-11-13,36,False
2022-11-14,40,False
2022-11-15,94,False
2022-11-16,57,False
2022-11-17,19,False
2022-11-18,40,False
2022-11-19,0,False
2022-11-20,57,False
2022-11-21,32,False
2022-11-22,29,False
2022-11-23,40,False
2022-11-24,52,False
2022-11-25,46,False
2022-11-26,35,False
2022-11-27,49,False
2022-11-28,54,False
2022-11-29,46,False
2022-11-30,82,False
2022-12-01,40,False
2022-12-02,43,False
2022-12-03,30,False
2022-12-04,20,False
2022-12-05,60,False
2022-12-06,21,False
2022-12-07,82,False
2022-12-08,60,False
2022-12-09,34,False
2022-12-10,35,False
2022-12-11,67,False
2022-12-12,48,False
2022-12-13,90,False
2022-12-14,72,False
2022-12-15,86,False
2022-12-16,63,False
2022-12-17,37,False
2022-12-18,43,False
2022-12-19,100,False
2022-12-20,74,False
2022-12-21,33,False
2022-12-22,63,False
2022-12-23,53,False
2022-12-24,29,False
