date,Envoi colis,isPartial
2020-06-28,42,False
2020-06-29,75,False
2020-06-30,97,False
2020-07-01,72,False
2020-07-02,65,False
2020-07-03,70,False
2020-07-04,53,False
2020-07-05,76,False
2020-07-06,87,False
2020-07-07,72,False
2020-07-08,83,False
2020-07-09,55,False
2020-07-10,65,False
2020-07-11,53,False
2020-07-12,56,False
2020-07-13,68,False
2020-07-14,57,False
2020-07-15,64,False
2020-07-16,84,False
2020-07-17,24,False
2020-07-18,46,False
2020-07-19,72,False
2020-07-20,77,False
2020-07-21,69,False
2020-07-22,92,False
2020-07-23,70,False
2020-07-24,60,False
2020-07-25,71,False
2020-07-26,56,False
2020-07-27,89,False
2020-07-28,80,False
2020-07-29,77,False
2020-07-30,60,False
2020-07-31,51,False
2020-08-01,46,False
2020-08-02,34,False
2020-08-03,65,False
2020-08-04,75,False
2020-08-05,83,False
2020-08-06,69,False
2020-08-07,66,False
2020-08-08,68,False
2020-08-09,56,False
2020-08-10,88,False
2020-08-11,62,False
2020-08-12,73,False
2020-08-13,79,False
2020-08-14,59,False
2020-08-15,44,False
2020-08-16,41,False
2020-08-17,82,False
2020-08-18,63,False
2020-08-19,69,False
2020-08-20,66,False
2020-08-21,63,False
2020-08-22,67,False
2020-08-23,76,False
2020-08-24,90,False
2020-08-25,76,False
2020-08-26,77,False
2020-08-27,56,False
2020-08-28,49,False
2020-08-29,61,False
2020-08-30,61,False
2020-08-31,76,False
2020-09-01,85,False
2020-09-02,93,False
2020-09-03,72,False
2020-09-04,96,False
2020-09-05,44,False
2020-09-06,84,False
2020-09-07,100,False
2020-09-08,56,False
2020-09-09,81,False
2020-09-10,74,False
2020-09-11,67,False
2020-09-12,71,False
2020-09-13,55,False
2020-09-14,80,False
2020-09-15,74,False
2020-09-16,63,False
2020-09-17,69,False
2020-09-18,55,False
2020-09-19,73,False
2020-09-20,97,False
2020-09-21,67,False
2020-09-22,77,False
2020-09-23,90,False
2020-09-24,57,False
2020-09-25,72,False
2020-09-26,62,False
