date,Suivi colis,isPartial
2023-06-25,29,False
2023-06-26,67,False
2023-06-27,70,False
2023-06-28,65,False
2023-06-29,64,False
2023-06-30,53,False
2023-07-01,46,False
2023-07-02,24,False
2023-07-03,68,False
2023-07-04,75,False
2023-07-05,71,False
2023-07-06,78,False
2023-07-07,76,False
2023-07-08,55,False
2023-07-09,34,False
2023-07-10,73,False
2023-07-11,86,False
2023-07-12,99,False
2023-07-13,80,False
2023-07-14,45,False
2023-07-15,54,False
2023-07-16,32,False
2023-07-17,88,False
2023-07-18,97,False
2023-07-19,100,False
2023-07-20,89,False
2023-07-21,79,False
2023-07-22,61,False
2023-07-23,31,False
2023-07-24,70,False
2023-07-25,72,False
2023-07-26,69,False
2023-07-27,75,False
2023-07-28,67,False
2023-07-29,54,False
2023-07-30,24,False
2023-07-31,65,False
2023-08-01,75,False
