date,Service de livraison,isPartial
2017-10-01,0,False
2017-10-02,0,False
2017-10-03,0,False
2017-10-04,25,False
2017-10-05,0,False
2017-10-06,42,False
2017-10-07,0,False
2017-10-08,0,False
2017-10-09,27,False
2017-10-10,41,False
2017-10-11,0,False
2017-10-12,0,False
2017-10-13,0,False
2017-10-14,19,False
2017-10-15,0,False
2017-10-16,0,False
2017-10-17,0,False
2017-10-18,15,False
2017-10-19,19,False
2017-10-20,0,False
2017-10-21,27,False
2017-10-22,0,False
2017-10-23,0,False
2017-10-24,29,False
2017-10-25,0,False
2017-10-26,76,False
2017-10-27,33,False
2017-10-28,0,False
2017-10-29,0,False
2017-10-30,35,False
2017-10-31,0,False
2017-11-01,0,False
2017-11-02,0,False
2017-11-03,27,False
2017-11-04,25,False
2017-11-05,0,False
2017-11-06,21,False
2017-11-07,33,False
2017-11-08,35,False
2017-11-09,18,False
2017-11-10,54,False
2017-11-11,46,False
2017-11-12,25,False
2017-11-13,14,False
2017-11-14,23,False
2017-11-15,62,False
2017-11-16,0,False
2017-11-17,0,False
2017-11-18,0,False
2017-11-19,0,False
2017-11-20,0,False
2017-11-21,0,False
2017-11-22,38,False
2017-11-23,0,False
2017-11-24,25,False
2017-11-25,0,False
2017-11-26,0,False
2017-11-27,18,False
2017-11-28,33,False
2017-11-29,0,False
2017-11-30,44,False
2017-12-01,0,False
2017-12-02,0,False
2017-12-03,61,False
2017-12-04,28,False
2017-12-05,20,False
2017-12-06,28,False
2017-12-07,36,False
2017-12-08,23,False
2017-12-09,34,False
2017-12-10,0,False
2017-12-11,43,False
2017-12-12,15,False
2017-12-13,21,False
2017-12-14,0,False
2017-12-15,30,False
2017-12-16,100,False
2017-12-17,0,False
2017-12-18,71,False
2017-12-19,18,False
2017-12-20,25,False
2017-12-21,0,False
2017-12-22,0,False
2017-12-23,26,False
2017-12-24,0,False
2017-12-25,0,False
2017-12-26,33,False
2017-12-27,0,False
2017-12-28,15,False
2017-12-29,69,False
2017-12-30,0,False
