date,Délai livraison,isPartial
2017-04-02,37,False
2017-04-03,27,False
2017-04-04,62,False
2017-04-05,50,False
2017-04-06,79,False
2017-04-07,0,False
2017-04-08,60,False
2017-04-09,74,False
2017-04-10,94,False
2017-04-11,56,False
2017-04-12,91,False
2017-04-13,28,False
2017-04-14,66,False
2017-04-15,43,False
2017-04-16,23,False
2017-04-17,42,False
2017-04-18,67,False
2017-04-19,35,False
2017-04-20,43,False
2017-04-21,25,False
2017-04-22,25,False
2017-04-23,47,False
2017-04-24,43,False
2017-04-25,36,False
2017-04-26,50,False
2017-04-27,26,False
2017-04-28,20,False
2017-04-29,66,False
2017-04-30,0,False
2017-05-01,28,False
2017-05-02,62,False
2017-05-03,19,False
2017-05-04,32,False
2017-05-05,45,False
2017-05-06,38,False
2017-05-07,23,False
2017-05-08,38,False
2017-05-09,25,False
2017-05-10,91,False
2017-05-11,51,False
2017-05-12,33,False
2017-05-13,0,False
2017-05-14,0,False
2017-05-15,39,False
2017-05-16,43,False
2017-05-17,56,False
2017-05-18,0,False
2017-05-19,50,False
2017-05-20,0,False
2017-05-21,0,False
2017-05-22,43,False
2017-05-23,32,False
2017-05-24,40,False
2017-05-25,41,False
2017-05-26,28,False
2017-05-27,20,False
2017-05-28,36,False
2017-05-29,69,False
2017-05-30,57,False
2017-05-31,34,False
2017-06-01,0,False
2017-06-02,0,False
2017-06-03,0,False
2017-06-04,31,False
2017-06-05,0,False
2017-06-06,0,False
2017-06-07,30,False
2017-06-08,23,False
2017-06-09,36,False
2017-06-10,39,False
2017-06-11,0,False
2017-06-12,53,False
2017-06-13,35,False
2017-06-14,0,False
2017-06-15,50,False
2017-06-16,91,False
2017-06-17,92,False
2017-06-18,47,False
2017-06-19,63,False
2017-06-20,65,False
2017-06-21,35,False
2017-06-22,49,False
2017-06-23,54,False
2017-06-24,20,False
2017-06-25,29,False
2017-06-26,23,False
2017-06-27,100,False
2017-06-28,61,False
2017-06-29,70,False
2017-06-30,56,False
2017-07-01,0,False
