date,Envoi colis,isPartial
2019-03-31,44,False
2019-04-01,79,False
2019-04-02,69,False
2019-04-03,44,False
2019-04-04,53,False
2019-04-05,56,False
2019-04-06,53,False
2019-04-07,65,False
2019-04-08,87,False
2019-04-09,62,False
2019-04-10,61,False
2019-04-11,73,False
2019-04-12,50,False
2019-04-13,44,False
2019-04-14,56,False
2019-04-15,70,False
2019-04-16,27,False
2019-04-17,96,False
2019-04-18,57,False
2019-04-19,53,False
2019-04-20,36,False
2019-04-21,25,False
2019-04-22,53,False
2019-04-23,61,False
2019-04-24,52,False
2019-04-25,73,False
2019-04-26,52,False
2019-04-27,53,False
2019-04-28,59,False
2019-04-29,70,False
2019-04-30,62,False
2019-05-01,55,False
2019-05-02,63,False
2019-05-03,42,False
2019-05-04,55,False
2019-05-05,88,False
2019-05-06,58,False
2019-05-07,49,False
2019-05-08,37,False
2019-05-09,80,False
2019-05-10,73,False
2019-05-11,50,False
2019-05-12,72,False
2019-05-13,64,False
2019-05-14,73,False
2019-05-15,100,False
2019-05-16,41,False
2019-05-17,40,False
2019-05-18,39,False
2019-05-19,46,False
2019-05-20,70,False
2019-05-21,89,False
2019-05-22,50,False
2019-05-23,61,False
2019-05-24,54,False
2019-05-25,58,False
2019-05-26,46,False
2019-05-27,44,False
2019-05-28,73,False
2019-05-29,58,False
2019-05-30,38,False
2019-05-31,9,False
2019-06-01,35,False
2019-06-02,53,False
2019-06-03,69,False
2019-06-04,61,False
2019-06-05,60,False
2019-06-06,71,False
2019-06-07,46,False
2019-06-08,46,False
2019-06-09,25,False
2019-06-10,72,False
2019-06-11,65,False
2019-06-12,70,False
2019-06-13,43,False
2019-06-14,36,False
2019-06-15,49,False
2019-06-16,40,False
2019-06-17,64,False
2019-06-18,66,False
2019-06-19,93,False
2019-06-20,58,False
2019-06-21,41,False
2019-06-22,51,False
2019-06-23,39,False
2019-06-24,80,False
2019-06-25,68,False
2019-06-26,53,False
2019-06-27,38,False
2019-06-28,50,False
2019-06-29,34,False
