date,Livraison domicile,isPartial
2021-12-26,56,False
2021-12-27,70,False
2021-12-28,61,False
2021-12-29,65,False
2021-12-30,76,False
2021-12-31,71,False
2022-01-01,71,False
2022-01-02,89,False
2022-01-03,81,False
2022-01-04,88,False
2022-01-05,79,False
2022-01-06,56,False
2022-01-07,76,False
2022-01-08,84,False
2022-01-09,58,False
2022-01-10,64,False
2022-01-11,66,False
2022-01-12,62,False
2022-01-13,57,False
2022-01-14,59,False
2022-01-15,51,False
2022-01-16,63,False
2022-01-17,56,False
2022-01-18,64,False
2022-01-19,45,False
2022-01-20,61,False
2022-01-21,73,False
2022-01-22,55,False
2022-01-23,65,False
2022-01-24,65,False
2022-01-25,61,False
2022-01-26,54,False
2022-01-27,73,False
2022-01-28,69,False
2022-01-29,66,False
2022-01-30,57,False
2022-01-31,60,False
2022-02-01,68,False
2022-02-02,62,False
2022-02-03,57,False
2022-02-04,69,False
2022-02-05,80,False
2022-02-06,69,False
2022-02-07,61,False
2022-02-08,63,False
2022-02-09,75,False
2022-02-10,68,False
2022-02-11,69,False
2022-02-12,98,False
2022-02-13,85,False
2022-02-14,100,False
2022-02-15,52,False
2022-02-16,59,False
2022-02-17,65,False
2022-02-18,44,False
2022-02-19,68,False
2022-02-20,69,False
2022-02-21,65,False
2022-02-22,65,False
2022-02-23,57,False
2022-02-24,55,False
2022-02-25,68,False
2022-02-26,64,False
2022-02-27,55,False
2022-02-28,78,False
2022-03-01,70,False
2022-03-02,63,False
2022-03-03,66,False
2022-03-04,70,False
2022-03-05,88,False
2022-03-06,59,False
2022-03-07,57,False
2022-03-08,62,False
2022-03-09,65,False
2022-03-10,61,False
2022-03-11,56,False
2022-03-12,60,False
2022-03-13,63,False
2022-03-14,56,False
2022-03-15,50,False
2022-03-16,65,False
2022-03-17,55,False
2022-03-18,63,False
2022-03-19,51,False
2022-03-20,52,False
2022-03-21,45,False
2022-03-22,46,False
2022-03-23,61,False
2022-03-24,58,False
2022-03-25,58,False
2022-03-26,63,False
