date,Tarif colis,isPartial
2018-07-01,26,False
2018-07-02,27,False
2018-07-03,58,False
2018-07-04,44,False
2018-07-05,56,False
2018-07-06,31,False
2018-07-07,46,False
2018-07-08,21,False
2018-07-09,66,False
2018-07-10,46,False
2018-07-11,66,False
2018-07-12,46,False
2018-07-13,27,False
2018-07-14,59,False
2018-07-15,51,False
2018-07-16,39,False
2018-07-17,41,False
2018-07-18,46,False
2018-07-19,41,False
2018-07-20,25,False
2018-07-21,37,False
2018-07-22,59,False
2018-07-23,39,False
2018-07-24,48,False
2018-07-25,31,False
2018-07-26,32,False
2018-07-27,47,False
2018-07-28,53,False
2018-07-29,46,False
2018-07-30,20,False
2018-07-31,43,False
2018-08-01,56,False
2018-08-02,59,False
2018-08-03,40,False
2018-08-04,50,False
2018-08-05,45,False
2018-08-06,38,False
2018-08-07,46,False
2018-08-08,56,False
2018-08-09,62,False
2018-08-10,43,False
2018-08-11,70,False
2018-08-12,60,False
2018-08-13,67,False
2018-08-14,62,False
2018-08-15,39,False
2018-08-16,50,False
2018-08-17,54,False
2018-08-18,33,False
2018-08-19,58,False
2018-08-20,84,False
2018-08-21,70,False
2018-08-22,80,False
2018-08-23,57,False
2018-08-24,41,False
2018-08-25,36,False
2018-08-26,42,False
2018-08-27,82,False
2018-08-28,61,False
2018-08-29,69,False
2018-08-30,59,False
2018-08-31,57,False
2018-09-01,44,False
2018-09-02,66,False
2018-09-03,51,False
2018-09-04,16,False
2018-09-05,65,False
2018-09-06,51,False
2018-09-07,83,False
2018-09-08,26,False
2018-09-09,88,False
2018-09-10,85,False
2018-09-11,100,False
2018-09-12,74,False
2018-09-13,43,False
2018-09-14,49,False
2018-09-15,50,False
2018-09-16,60,False
2018-09-17,59,False
2018-09-18,68,False
2018-09-19,56,False
2018-09-20,66,False
2018-09-21,45,False
2018-09-22,47,False
2018-09-23,38,False
2018-09-24,76,False
2018-09-25,74,False
2018-09-26,55,False
2018-09-27,62,False
2018-09-28,0,False
2018-09-29,56,False
