date,Livraison express,isPartial
2023-03-26,48,False
2023-03-27,62,False
2023-03-28,32,False
2023-03-29,0,False
2023-03-30,64,False
2023-03-31,23,False
2023-04-01,55,False
2023-04-02,26,False
2023-04-03,26,False
2023-04-04,49,False
2023-04-05,58,False
2023-04-06,27,False
2023-04-07,68,False
2023-04-08,42,False
2023-04-09,63,False
2023-04-10,81,False
2023-04-11,50,False
2023-04-12,41,False
2023-04-13,29,False
2023-04-14,53,False
2023-04-15,22,False
2023-04-16,47,False
2023-04-17,54,False
2023-04-18,80,False
2023-04-19,47,False
2023-04-20,46,False
2023-04-21,64,False
2023-04-22,46,False
2023-04-23,23,False
2023-04-24,55,False
2023-04-25,28,False
2023-04-26,45,False
2023-04-27,54,False
2023-04-28,34,False
2023-04-29,49,False
2023-04-30,35,False
2023-05-01,18,False
2023-05-02,63,False
2023-05-03,12,False
2023-05-04,47,False
2023-05-05,38,False
2023-05-06,21,False
2023-05-07,51,False
2023-05-08,49,False
2023-05-09,21,False
2023-05-10,53,False
2023-05-11,33,False
2023-05-12,52,False
2023-05-13,16,False
2023-05-14,25,False
2023-05-15,44,False
2023-05-16,63,False
2023-05-17,27,False
2023-05-18,19,False
2023-05-19,34,False
2023-05-20,0,False
2023-05-21,23,False
2023-05-22,36,False
2023-05-23,47,False
2023-05-24,57,False
2023-05-25,65,False
2023-05-26,28,False
2023-05-27,34,False
2023-05-28,33,False
2023-05-29,38,False
2023-05-30,42,False
2023-05-31,86,False
2023-06-01,29,False
2023-06-02,46,False
2023-06-03,40,False
2023-06-04,59,False
2023-06-05,29,False
2023-06-06,25,False
2023-06-07,100,False
2023-06-08,74,False
2023-06-09,61,False
2023-06-10,79,False
2023-06-11,0,False
2023-06-12,71,False
2023-06-13,52,False
2023-06-14,29,False
2023-06-15,33,False
2023-06-16,69,False
2023-06-17,60,False
2023-06-18,29,False
2023-06-19,80,False
2023-06-20,39,False
2023-06-21,47,False
2023-06-22,30,False
2023-06-23,77,False
2023-06-24,43,False
