date,Tarif colis,isPartial
2020-03-29,33,False
2020-03-30,42,False
2020-03-31,35,False
2020-04-01,32,False
2020-04-02,32,False
2020-04-03,40,False
2020-04-04,33,False
2020-04-05,20,False
2020-04-06,58,False
2020-04-07,69,False
2020-04-08,41,False
2020-04-09,65,False
2020-04-10,34,False
2020-04-11,58,False
2020-04-12,49,False
2020-04-13,74,False
2020-04-14,81,False
2020-04-15,70,False
2020-04-16,57,False
2020-04-17,68,False
2020-04-18,69,False
2020-04-19,68,False
2020-04-20,57,False
2020-04-21,66,False
2020-04-22,59,False
2020-04-23,66,False
2020-04-24,84,False
2020-04-25,58,False
2020-04-26,75,False
2020-04-27,83,False
2020-04-28,74,False
2020-04-29,80,False
2020-04-30,76,False
2020-05-01,38,False
2020-05-02,42,False
2020-05-03,93,False
2020-05-04,75,False
2020-05-05,71,False
2020-05-06,65,False
2020-05-07,84,False
2020-05-08,91,False
2020-05-09,96,False
2020-05-10,39,False
2020-05-11,94,False
2020-05-12,79,False
2020-05-13,100,False
2020-05-14,76,False
2020-05-15,61,False
2020-05-16,37,False
2020-05-17,86,False
2020-05-18,61,False
2020-05-19,78,False
2020-05-20,85,False
2020-05-21,67,False
2020-05-22,81,False
2020-05-23,53,False
2020-05-24,58,False
2020-05-25,91,False
2020-05-26,71,False
2020-05-27,43,False
2020-05-28,83,False
2020-05-29,81,False
2020-05-30,35,False
2020-05-31,60,False
2020-06-01,47,False
2020-06-02,85,False
2020-06-03,55,False
2020-06-04,50,False
2020-06-05,69,False
2020-06-06,65,False
2020-06-07,42,False
2020-06-08,88,False
2020-06-09,83,False
2020-06-10,85,False
2020-06-11,86,False
2020-06-12,75,False
2020-06-13,53,False
2020-06-14,60,False
2020-06-15,75,False
2020-06-16,52,False
2020-06-17,54,False
2020-06-18,67,False
2020-06-19,38,False
2020-06-20,10,False
2020-06-21,59,False
2020-06-22,47,False
2020-06-23,72,False
2020-06-24,50,False
2020-06-25,87,False
2020-06-26,45,False
2020-06-27,45,False
