date,Livraison,isPartial
2019-09-29,71,False
2019-09-30,64,False
2019-10-01,100,False
2019-10-02,64,False
2019-10-03,68,False
2019-10-04,72,False
2019-10-05,75,False
2019-10-06,70,False
2019-10-07,63,False
2019-10-08,66,False
2019-10-09,69,False
2019-10-10,58,False
2019-10-11,67,False
2019-10-12,59,False
2019-10-13,65,False
2019-10-14,56,False
2019-10-15,64,False
2019-10-16,63,False
2019-10-17,56,False
2019-10-18,67,False
2019-10-19,68,False
2019-10-20,69,False
2019-10-21,66,False
2019-10-22,60,False
2019-10-23,67,False
2019-10-24,59,False
2019-10-25,59,False
2019-10-26,63,False
2019-10-27,67,False
2019-10-28,65,False
2019-10-29,66,False
2019-10-30,64,False
2019-10-31,69,False
2019-11-01,70,False
2019-11-02,66,False
2019-11-03,65,False
2019-11-04,66,False
2019-11-05,71,False
2019-11-06,64,False
2019-11-07,66,False
2019-11-08,72,False
2019-11-09,72,False
2019-11-10,71,False
2019-11-11,72,False
2019-11-12,64,False
2019-11-13,62,False
2019-11-14,65,False
2019-11-15,74,False
2019-11-16,72,False
2019-11-17,71,False
2019-11-18,67,False
2019-11-19,69,False
2019-11-20,66,False
2019-11-21,57,False
2019-11-22,64,False
2019-11-23,73,False
2019-11-24,67,False
2019-11-25,61,False
2019-11-26,65,False
2019-11-27,69,False
2019-11-28,69,False
2019-11-29,81,False
2019-11-30,79,False
2019-12-01,78,False
2019-12-02,80,False
2019-12-03,78,False
2019-12-04,77,False
2019-12-05,78,False
2019-12-06,86,False
2019-12-07,89,False
2019-12-08,79,False
2019-12-09,76,False
2019-12-10,75,False
2019-12-11,76,False
2019-12-12,81,False
2019-12-13,79,False
2019-12-14,82,False
2019-12-15,77,False
2019-12-16,81,False
2019-12-17,80,False
2019-12-18,73,False
2019-12-19,80,False
2019-12-20,77,False
2019-12-21,85,False
2019-12-22,77,False
2019-12-23,71,False
2019-12-24,53,False
2019-12-25,59,False
2019-12-26,74,False
2019-12-27,74,False
2019-12-28,63,False
