date,Envoi colis,isPartial
2017-07-02,80,False
2017-07-03,56,False
2017-07-04,74,False
2017-07-05,61,False
2017-07-06,46,False
2017-07-07,45,False
2017-07-08,39,False
2017-07-09,56,False
2017-07-10,85,False
2017-07-11,43,False
2017-07-12,47,False
2017-07-13,73,False
2017-07-14,57,False
2017-07-15,43,False
2017-07-16,73,False
2017-07-17,86,False
2017-07-18,60,False
2017-07-19,30,False
2017-07-20,45,False
2017-07-21,53,False
2017-07-22,77,False
2017-07-23,64,False
2017-07-24,88,False
2017-07-25,73,False
2017-07-26,85,False
2017-07-27,45,False
2017-07-28,47,False
2017-07-29,73,False
2017-07-30,94,False
2017-07-31,72,False
2017-08-01,43,False
2017-08-02,97,False
2017-08-03,80,False
2017-08-04,32,False
2017-08-05,46,False
2017-08-06,62,False
2017-08-07,54,False
2017-08-08,72,False
2017-08-09,92,False
2017-08-10,87,False
2017-08-11,48,False
2017-08-12,55,False
2017-08-13,42,False
2017-08-14,72,False
2017-08-15,39,False
2017-08-16,62,False
2017-08-17,81,False
2017-08-18,62,False
2017-08-19,61,False
2017-08-20,70,False
2017-08-21,51,False
2017-08-22,71,False
2017-08-23,34,False
2017-08-24,43,False
2017-08-25,54,False
2017-08-26,53,False
2017-08-27,34,False
2017-08-28,50,False
2017-08-29,86,False
2017-08-30,53,False
2017-08-31,80,False
2017-09-01,35,False
2017-09-02,59,False
2017-09-03,53,False
2017-09-04,57,False
2017-09-05,66,False
2017-09-06,44,False
2017-09-07,100,False
2017-09-08,56,False
2017-09-09,38,False
2017-09-10,74,False
2017-09-11,90,False
2017-09-12,79,False
2017-09-13,76,False
2017-09-14,38,False
2017-09-15,51,False
2017-09-16,26,False
2017-09-17,52,False
2017-09-18,72,False
2017-09-19,53,False
2017-09-20,73,False
2017-09-21,78,False
2017-09-22,84,False
2017-09-23,61,False
2017-09-24,41,False
2017-09-25,84,False
2017-09-26,69,False
2017-09-27,64,False
2017-09-28,60,False
2017-09-29,57,False
2017-09-30,28,False
