date,Livraison express,isPartial
2017-01-01,13,False
2017-01-02,10,False
2017-01-03,0,False
2017-01-04,38,False
2017-01-05,26,False
2017-01-06,25,False
2017-01-07,32,False
2017-01-08,39,False
2017-01-09,18,False
2017-01-10,28,False
2017-01-11,22,False
2017-01-12,29,False
2017-01-13,41,False
2017-01-14,18,False
2017-01-15,53,False
2017-01-16,18,False
2017-01-17,34,False
2017-01-18,34,False
2017-01-19,23,False
2017-01-20,26,False
2017-01-21,36,False
2017-01-22,0,False
2017-01-23,0,False
2017-01-24,10,False
2017-01-25,17,False
2017-01-26,57,False
2017-01-27,35,False
2017-01-28,23,False
2017-01-29,0,False
2017-01-30,19,False
2017-01-31,32,False
2017-02-01,34,False
2017-02-02,51,False
2017-02-03,30,False
2017-02-04,27,False
2017-02-05,17,False
2017-02-06,0,False
2017-02-07,31,False
2017-02-08,71,False
2017-02-09,14,False
2017-02-10,28,False
2017-02-11,26,False
2017-02-12,17,False
2017-02-13,36,False
2017-02-14,42,False
2017-02-15,33,False
2017-02-16,31,False
2017-02-17,31,False
2017-02-18,26,False
2017-02-19,0,False
2017-02-20,38,False
2017-02-21,31,False
2017-02-22,28,False
2017-02-23,43,False
2017-02-24,34,False
2017-02-25,31,False
2017-02-26,37,False
2017-02-27,20,False
2017-02-28,13,False
2017-03-01,29,False
2017-03-02,43,False
2017-03-03,0,False
2017-03-04,35,False
2017-03-05,89,False
2017-03-06,32,False
2017-03-07,19,False
2017-03-08,15,False
2017-03-09,25,False
2017-03-10,34,False
2017-03-11,0,False
2017-03-12,0,False
2017-03-13,22,False
2017-03-14,37,False
2017-03-15,45,False
2017-03-16,100,False
2017-03-17,29,False
2017-03-18,17,False
2017-03-19,27,False
2017-03-20,21,False
2017-03-21,41,False
2017-03-22,37,False
2017-03-23,21,False
2017-03-24,33,False
2017-03-25,37,False
2017-03-26,27,False
2017-03-27,19,False
2017-03-28,34,False
2017-03-29,41,False
2017-03-30,39,False
2017-03-31,30,False
2017-04-01,59,False
