date,Point relais,isPartial
2017-10-01,43,False
2017-10-02,55,False
2017-10-03,53,False
2017-10-04,63,False
2017-10-05,56,False
2017-10-06,68,False
2017-10-07,58,False
2017-10-08,29,False
2017-10-09,68,False
2017-10-10,61,False
2017-10-11,76,False
2017-10-12,66,False
2017-10-13,69,False
2017-10-14,55,False
2017-10-15,38,False
2017-10-16,52,False
2017-10-17,68,False
2017-10-18,60,False
2017-10-19,49,False
2017-10-20,53,False
2017-10-21,59,False
2017-10-22,34,False
2017-10-23,51,False
2017-10-24,52,False
2017-10-25,60,False
2017-10-26,52,False
2017-10-27,62,False
2017-10-28,38,False
2017-10-29,45,False
2017-10-30,57,False
2017-10-31,47,False
2017-11-01,37,False
2017-11-02,55,False
2017-11-03,53,False
2017-11-04,37,False
2017-11-05,31,False
2017-11-06,59,False
2017-11-07,69,False
2017-11-08,65,False
2017-11-09,70,False
2017-11-10,67,False
2017-11-11,50,False
2017-11-12,28,False
2017-11-13,80,False
2017-11-14,75,False
2017-11-15,69,False
2017-11-16,63,False
2017-11-17,67,False
2017-11-18,72,False
2017-11-19,38,False
2017-11-20,59,False
2017-11-21,66,False
2017-11-22,71,False
2017-11-23,74,False
2017-11-24,69,False
2017-11-25,69,False
2017-11-26,54,False
2017-11-27,70,False
2017-11-28,65,False
2017-11-29,66,False
2017-11-30,77,False
2017-12-01,68,False
2017-12-02,72,False
2017-12-03,43,False
2017-12-04,70,False
2017-12-05,68,False
2017-12-06,82,False
2017-12-07,80,False
2017-12-08,91,False
2017-12-09,69,False
2017-12-10,51,False
2017-12-11,80,False
2017-12-12,88,False
2017-12-13,91,False
2017-12-14,79,False
2017-12-15,76,False
2017-12-16,73,False
2017-12-17,52,False
2017-12-18,86,False
2017-12-19,100,False
2017-12-20,79,False
2017-12-21,90,False
2017-12-22,81,False
2017-12-23,67,False
2017-12-24,24,False
2017-12-25,24,False
2017-12-26,65,False
2017-12-27,73,False
2017-12-28,82,False
2017-12-29,63,False
2017-12-30,61,False
