date,Suivi colis,isPartial
2017-10-01,18,False
2017-10-02,51,False
2017-10-03,53,False
2017-10-04,63,False
2017-10-05,63,False
2017-10-06,63,False
2017-10-07,40,False
2017-10-08,14,False
2017-10-09,40,False
2017-10-10,39,False
2017-10-11,43,False
2017-10-12,41,False
2017-10-13,42,False
2017-10-14,22,False
2017-10-15,12,False
2017-10-16,37,False
2017-10-17,40,False
2017-10-18,34,False
2017-10-19,40,False
2017-10-20,36,False
2017-10-21,23,False
2017-10-22,10,False
2017-10-23,36,False
2017-10-24,33,False
2017-10-25,37,False
2017-10-26,43,False
2017-10-27,30,False
2017-10-28,24,False
2017-10-29,12,False
2017-10-30,37,False
2017-10-31,30,False
2017-11-01,16,False
2017-11-02,40,False
2017-11-03,42,False
2017-11-04,25,False
2017-11-05,13,False
2017-11-06,38,False
2017-11-07,40,False
2017-11-08,43,False
2017-11-09,43,False
2017-11-10,44,False
2017-11-11,14,False
2017-11-12,15,False
2017-11-13,49,False
2017-11-14,53,False
2017-11-15,48,False
2017-11-16,49,False
2017-11-17,51,False
2017-11-18,28,False
2017-11-19,9,False
2017-11-20,38,False
2017-11-21,42,False
2017-11-22,47,False
2017-11-23,48,False
2017-11-24,35,False
2017-11-25,23,False
2017-11-26,16,False
2017-11-27,44,False
2017-11-28,60,False
2017-11-29,54,False
2017-11-30,58,False
2017-12-01,52,False
2017-12-02,41,False
2017-12-03,17,False
2017-12-04,52,False
2017-12-05,56,False
2017-12-06,60,False
2017-12-07,62,False
2017-12-08,56,False
2017-12-09,39,False
2017-12-10,20,False
2017-12-11,70,False
2017-12-12,66,False
2017-12-13,74,False
2017-12-14,76,False
2017-12-15,72,False
2017-12-16,56,False
2017-12-17,29,False
2017-12-18,81,False
2017-12-19,96,False
2017-12-20,87,False
2017-12-21,100,False
2017-12-22,94,False
2017-12-23,68,False
2017-12-24,15,False
2017-12-25,16,False
2017-12-26,42,False
2017-12-27,49,False
2017-12-28,48,False
2017-12-29,57,False
2017-12-30,28,False
