date,Livraison,isPartial
2017-12-31,56,False
2018-01-01,88,False
2018-01-02,71,False
2018-01-03,64,False
2018-01-04,67,False
2018-01-05,69,False
2018-01-06,72,False
2018-01-07,58,False
2018-01-08,61,False
2018-01-09,55,False
2018-01-10,63,False
2018-01-11,69,False
2018-01-12,64,False
2018-01-13,81,False
2018-01-14,69,False
2018-01-15,66,False
2018-01-16,61,False
2018-01-17,61,False
2018-01-18,62,False
2018-01-19,70,False
2018-01-20,74,False
2018-01-21,71,False
2018-01-22,62,False
2018-01-23,55,False
2018-01-24,62,False
2018-01-25,56,False
2018-01-26,65,False
2018-01-27,72,False
2018-01-28,75,False
2018-01-29,66,False
2018-01-30,62,False
2018-01-31,63,False
2018-02-01,65,False
2018-02-02,70,False
2018-02-03,76,False
2018-02-04,77,False
2018-02-05,70,False
2018-02-06,67,False
2018-02-07,68,False
2018-02-08,71,False
2018-02-09,79,False
2018-02-10,84,False
2018-02-11,83,False
2018-02-12,82,False
2018-02-13,89,False
2018-02-14,100,False
2018-02-15,63,False
2018-02-16,72,False
2018-02-17,72,False
2018-02-18,71,False
2018-02-19,59,False
2018-02-20,58,False
2018-02-21,59,False
2018-02-22,57,False
2018-02-23,66,False
2018-02-24,64,False
2018-02-25,72,False
2018-02-26,64,False
2018-02-27,66,False
2018-02-28,71,False
2018-03-01,75,False
2018-03-02,77,False
2018-03-03,85,False
2018-03-04,84,False
2018-03-05,62,False
2018-03-06,66,False
2018-03-07,69,False
2018-03-08,65,False
2018-03-09,64,False
2018-03-10,73,False
2018-03-11,66,False
2018-03-12,55,False
2018-03-13,55,False
2018-03-14,53,False
2018-03-15,53,False
2018-03-16,54,False
2018-03-17,72,False
2018-03-18,67,False
2018-03-19,51,False
2018-03-20,58,False
2018-03-21,55,False
2018-03-22,57,False
2018-03-23,56,False
2018-03-24,61,False
2018-03-25,59,False
2018-03-26,60,False
2018-03-27,65,False
2018-03-28,56,False
2018-03-29,56,False
2018-03-30,67,False
2018-03-31,72,False
