date,Délai livraison,isPartial
2023-03-26,0,False
2023-03-27,29,False
2023-03-28,51,False
2023-03-29,97,False
2023-03-30,35,False
2023-03-31,39,False
2023-04-01,61,False
2023-04-02,19,False
2023-04-03,58,False
2023-04-04,57,False
2023-04-05,60,False
2023-04-06,24,False
2023-04-07,71,False
2023-04-08,32,False
2023-04-09,41,False
2023-04-10,40,False
2023-04-11,0,False
2023-04-12,82,False
2023-04-13,57,False
2023-04-14,66,False
2023-04-15,49,False
2023-04-16,35,False
2023-04-17,46,False
2023-04-18,98,False
2023-04-19,53,False
2023-04-20,0,False
2023-04-21,38,False
2023-04-22,72,False
2023-04-23,16,False
2023-04-24,92,False
2023-04-25,51,False
2023-04-26,79,False
2023-04-27,54,False
2023-04-28,41,False
2023-04-29,27,False
2023-04-30,31,False
2023-05-01,45,False
2023-05-02,32,False
2023-05-03,88,False
2023-05-04,100,False
2023-05-05,0,False
2023-05-06,0,False
2023-05-07,0,False
2023-05-08,37,False
2023-05-09,60,False
2023-05-10,54,False
2023-05-11,86,False
2023-05-12,23,False
2023-05-13,14,False
2023-05-14,82,False
2023-05-15,47,False
2023-05-16,53,False
2023-05-17,45,False
2023-05-18,61,False
2023-05-19,54,False
2023-05-20,52,False
2023-05-21,20,False
2023-05-22,53,False
2023-05-23,0,False
2023-05-24,0,False
2023-05-25,62,False
2023-05-26,57,False
2023-05-27,72,False
2023-05-28,68,False
2023-05-29,40,False
2023-05-30,64,False
2023-05-31,74,False
2023-06-01,26,False
2023-06-02,49,False
2023-06-03,41,False
2023-06-04,0,False
2023-06-05,72,False
2023-06-06,95,False
2023-06-07,55,False
2023-06-08,82,False
2023-06-09,42,False
2023-06-10,61,False
2023-06-11,35,False
2023-06-12,82,False
2023-06-13,62,False
2023-06-14,23,False
2023-06-15,70,False
2023-06-16,74,False
2023-06-17,0,False
2023-06-18,50,False
2023-06-19,52,False
2023-06-20,13,False
2023-06-21,42,False
2023-06-22,64,False
2023-06-23,41,False
2023-06-24,25,False
