date,Service de livraison,isPartial
2023-03-26,0,False
2023-03-27,0,False
2023-03-28,0,False
2023-03-29,18,False
2023-03-30,0,False
2023-03-31,17,False
2023-04-01,26,False
2023-04-02,40,False
2023-04-03,19,False
2023-04-04,0,False
2023-04-05,32,False
2023-04-06,98,False
2023-04-07,25,False
2023-04-08,0,False
2023-04-09,49,False
2023-04-10,40,False
2023-04-11,60,False
2023-04-12,0,False
2023-04-13,0,False
2023-04-14,32,False
2023-04-15,35,False
2023-04-16,39,False
2023-04-17,33,False
2023-04-18,42,False
2023-04-19,0,False
2023-04-20,20,False
2023-04-21,51,False
2023-04-22,26,False
2023-04-23,22,False
2023-04-24,23,False
2023-04-25,49,False
2023-04-26,41,False
2023-04-27,49,False
2023-04-28,82,False
2023-04-29,27,False
2023-04-30,38,False
2023-05-01,57,False
2023-05-02,32,False
2023-05-03,0,False
2023-05-04,18,False
2023-05-05,0,False
2023-05-06,0,False
2023-05-07,0,False
2023-05-08,56,False
2023-05-09,47,False
2023-05-10,0,False
2023-05-11,27,False
2023-05-12,17,False
2023-05-13,0,False
2023-05-14,0,False
2023-05-15,0,False
2023-05-16,37,False
2023-05-17,22,False
2023-05-18,0,False
2023-05-19,0,False
2023-05-20,0,False
2023-05-21,35,False
2023-05-22,0,False
2023-05-23,32,False
2023-05-24,27,False
2023-05-25,0,False
2023-05-26,0,False
2023-05-27,0,False
2023-05-28,0,False
2023-05-29,62,False
2023-05-30,57,False
2023-05-31,68,False
2023-06-01,19,False
2023-06-02,0,False
2023-06-03,74,False
2023-06-04,0,False
2023-06-05,31,False
2023-06-06,28,False
2023-06-07,61,False
2023-06-08,38,False
2023-06-09,0,False
2023-06-10,100,False
2023-06-11,0,False
2023-06-12,0,False
2023-06-13,33,False
2023-06-14,35,False
2023-06-15,0,False
2023-06-16,0,False
2023-06-17,0,False
2023-06-18,24,False
2023-06-19,0,False
2023-06-20,0,False
2023-06-21,30,False
2023-06-22,0,False
2023-06-23,24,False
2023-06-24,0,False
