date,Expédition colis,isPartial
2017-07-02,0,False
2017-07-03,0,False
2017-07-04,0,False
2017-07-05,0,False
2017-07-06,0,False
2017-07-07,0,False
2017-07-08,56,False
2017-07-09,23,False
2017-07-10,0,False
2017-07-11,0,False
2017-07-12,22,False
2017-07-13,0,False
2017-07-14,0,False
2017-07-15,0,False
2017-07-16,0,False
2017-07-17,0,False
2017-07-18,0,False
2017-07-19,19,False
2017-07-20,0,False
2017-07-21,0,False
2017-07-22,64,False
2017-07-23,26,False
2017-07-24,0,False
2017-07-25,0,False
2017-07-26,0,False
2017-07-27,0,False
2017-07-28,42,False
2017-07-29,0,False
2017-07-30,0,False
2017-07-31,0,False
2017-08-01,0,False
2017-08-02,0,False
2017-08-03,0,False
2017-08-04,0,False
2017-08-05,0,False
2017-08-06,29,False
2017-08-07,0,False
2017-08-08,18,False
2017-08-09,0,False
2017-08-10,100,False
2017-08-11,21,False
2017-08-12,0,False
2017-08-13,21,False
2017-08-14,0,False
2017-08-15,0,False
2017-08-16,0,False
2017-08-17,45,False
2017-08-18,0,False
2017-08-19,0,False
2017-08-20,0,False
2017-08-21,29,False
2017-08-22,0,False
2017-08-23,0,False
2017-08-24,0,False
2017-08-25,0,False
2017-08-26,0,False
2017-08-27,0,False
2017-08-28,0,False
2017-08-29,35,False
2017-08-30,24,False
2017-08-31,0,False
2017-09-01,0,False
2017-09-02,0,False
2017-09-03,0,False
2017-09-04,0,False
2017-09-05,0,False
2017-09-06,0,False
2017-09-07,0,False
2017-09-08,0,False
2017-09-09,57,False
2017-09-10,20,False
2017-09-11,39,False
2017-09-12,47,False
2017-09-13,0,False
2017-09-14,0,False
2017-09-15,0,False
2017-09-16,0,False
2017-09-17,0,False
2017-09-18,0,False
2017-09-19,0,False
2017-09-20,0,False
2017-09-21,0,False
2017-09-22,23,False
2017-09-23,0,False
2017-09-24,0,False
2017-09-25,0,False
2017-09-26,0,False
2017-09-27,46,False
2017-09-28,26,False
2017-09-29,0,False
2017-09-30,0,False
