date,Délai livraison,isPartial
2018-04-01,32,False
2018-04-02,34,False
2018-04-03,38,False
2018-04-04,49,False
2018-04-05,39,False
2018-04-06,34,False
2018-04-07,31,False
2018-04-08,56,False
2018-04-09,71,False
2018-04-10,36,False
2018-04-11,28,False
2018-04-12,37,False
2018-04-13,55,False
2018-04-14,0,False
2018-04-15,36,False
2018-04-16,65,False
2018-04-17,57,False
2018-04-18,64,False
2018-04-19,33,False
2018-04-20,30,False
2018-04-21,0,False
2018-04-22,35,False
2018-04-23,41,False
2018-04-24,58,False
2018-04-25,0,False
2018-04-26,30,False
2018-04-27,31,False
2018-04-28,0,False
2018-04-29,46,False
2018-04-30,0,False
2018-05-01,36,False
2018-05-02,23,False
2018-05-03,31,False
2018-05-04,59,False
2018-05-05,18,False
2018-05-06,0,False
2018-05-07,45,False
2018-05-08,28,False
2018-05-09,34,False
2018-05-10,18,False
2018-05-11,21,False
2018-05-12,14,False
2018-05-13,31,False
2018-05-14,44,False
2018-05-15,100,False
2018-05-16,29,False
2018-05-17,39,False
2018-05-18,25,False
2018-05-19,27,False
2018-05-20,0,False
2018-05-21,68,False
2018-05-22,19,False
2018-05-23,29,False
2018-05-24,23,False
2018-05-25,21,False
2018-05-26,25,False
2018-05-27,35,False
2018-05-28,71,False
2018-05-29,23,False
2018-05-30,23,False
2018-05-31,27,False
2018-06-01,47,False
2018-06-02,28,False
2018-06-03,37,False
2018-06-04,0,False
2018-06-05,24,False
2018-06-06,55,False
2018-06-07,29,False
2018-06-08,38,False
2018-06-09,16,False
2018-06-10,15,False
2018-06-11,47,False
2018-06-12,38,False
2018-06-13,62,False
2018-06-14,46,False
2018-06-15,35,False
2018-06-16,0,False
2018-06-17,0,False
2018-06-18,52,False
2018-06-19,33,False
2018-06-20,55,False
2018-06-21,20,False
2018-06-22,0,False
2018-06-23,19,False
2018-06-24,19,False
2018-06-25,25,False
2018-06-26,30,False
2018-06-27,41,False
2018-06-28,43,False
2018-06-29,0,False
2018-06-30,24,False
