date,colis,isPartial
2018-04-01,26,False
2018-04-02,37,False
2018-04-03,68,False
2018-04-04,71,False
2018-04-05,87,False
2018-04-06,77,False
2018-04-07,61,False
2018-04-08,35,False
2018-04-09,70,False
2018-04-10,73,False
2018-04-11,78,False
2018-04-12,79,False
2018-04-13,80,False
2018-04-14,55,False
2018-04-15,33,False
2018-04-16,82,False
2018-04-17,79,False
2018-04-18,82,False
2018-04-19,78,False
2018-04-20,74,False
2018-04-21,54,False
2018-04-22,34,False
2018-04-23,63,False
2018-04-24,73,False
2018-04-25,71,False
2018-04-26,67,False
2018-04-27,62,False
2018-04-28,54,False
2018-04-29,32,False
2018-04-30,63,False
2018-05-01,41,False
2018-05-02,81,False
2018-05-03,82,False
2018-05-04,85,False
2018-05-05,69,False
2018-05-06,38,False
2018-05-07,72,False
2018-05-08,47,False
2018-05-09,82,False
2018-05-10,51,False
2018-05-11,89,False
2018-05-12,74,False
2018-05-13,37,False
2018-05-14,92,False
2018-05-15,84,False
2018-05-16,92,False
2018-05-17,90,False
2018-05-18,82,False
2018-05-19,67,False
2018-05-20,38,False
2018-05-21,48,False
2018-05-22,77,False
2018-05-23,79,False
2018-05-24,82,False
2018-05-25,83,False
2018-05-26,61,False
2018-05-27,34,False
2018-05-28,68,False
2018-05-29,81,False
2018-05-30,74,False
2018-05-31,78,False
2018-06-01,67,False
2018-06-02,61,False
2018-06-03,33,False
2018-06-04,70,False
2018-06-05,76,False
2018-06-06,86,False
2018-06-07,78,False
2018-06-08,82,False
2018-06-09,57,False
2018-06-10,39,False
2018-06-11,76,False
2018-06-12,96,False
2018-06-13,100,False
2018-06-14,82,False
2018-06-15,80,False
2018-06-16,53,False
2018-06-17,37,False
2018-06-18,73,False
2018-06-19,74,False
2018-06-20,77,False
2018-06-21,67,False
2018-06-22,68,False
2018-06-23,56,False
2018-06-24,37,False
2018-06-25,68,False
2018-06-26,69,False
2018-06-27,69,False
2018-06-28,67,False
2018-06-29,69,False
2018-06-30,52,False
