date,Point relais,isPartial
2022-06-26,31,False
2022-06-27,70,False
2022-06-28,65,False
2022-06-29,66,False
2022-06-30,63,False
2022-07-01,63,False
2022-07-02,69,False
2022-07-03,36,False
2022-07-04,71,False
2022-07-05,69,False
2022-07-06,75,False
2022-07-07,64,False
2022-07-08,71,False
2022-07-09,71,False
2022-07-10,34,False
2022-07-11,75,False
2022-07-12,80,False
2022-07-13,74,False
2022-07-14,39,False
2022-07-15,72,False
2022-07-16,76,False
2022-07-17,31,False
2022-07-18,74,False
2022-07-19,74,False
2022-07-20,69,False
2022-07-21,77,False
2022-07-22,69,False
2022-07-23,64,False
2022-07-24,35,False
2022-07-25,79,False
2022-07-26,76,False
2022-07-27,67,False
2022-07-28,71,False
2022-07-29,72,False
2022-07-30,62,False
2022-07-31,39,False
2022-08-01,83,False
2022-08-02,91,False
2022-08-03,80,False
2022-08-04,86,False
2022-08-05,81,False
2022-08-06,65,False
2022-08-07,35,False
2022-08-08,100,False
2022-08-09,93,False
2022-08-10,83,False
2022-08-11,84,False
2022-08-12,78,False
2022-08-13,58,False
2022-08-14,33,False
2022-08-15,45,False
2022-08-16,98,False
2022-08-17,98,False
2022-08-18,80,False
2022-08-19,94,False
2022-08-20,77,False
2022-08-21,38,False
2022-08-22,94,False
2022-08-23,83,False
2022-08-24,83,False
2022-08-25,78,False
2022-08-26,86,False
2022-08-27,68,False
2022-08-28,44,False
2022-08-29,91,False
2022-08-30,76,False
2022-08-31,78,False
2022-09-01,70,False
2022-09-02,70,False
2022-09-03,83,False
2022-09-04,36,False
2022-09-05,87,False
2022-09-06,76,False
2022-09-07,73,False
2022-09-08,68,False
2022-09-09,72,False
2022-09-10,78,False
2022-09-11,45,False
2022-09-12,86,False
2022-09-13,83,False
2022-09-14,74,False
2022-09-15,66,False
2022-09-16,72,False
2022-09-17,73,False
2022-09-18,48,False
2022-09-19,90,False
2022-09-20,85,False
2022-09-21,85,False
2022-09-22,73,False
2022-09-23,72,False
2022-09-24,73,False
