date,Livraison domicile,isPartial
2018-09-30,66,False
2018-10-01,61,False
2018-10-02,66,False
2018-10-03,53,False
2018-10-04,52,False
2018-10-05,66,False
2018-10-06,67,False
2018-10-07,58,False
2018-10-08,55,False
2018-10-09,56,False
2018-10-10,60,False
2018-10-11,62,False
2018-10-12,62,False
2018-10-13,70,False
2018-10-14,74,False
2018-10-15,44,False
2018-10-16,50,False
2018-10-17,45,False
2018-10-18,27,False
2018-10-19,53,False
2018-10-20,46,False
2018-10-21,55,False
2018-10-22,44,False
2018-10-23,56,False
2018-10-24,35,False
2018-10-25,46,False
2018-10-26,67,False
2018-10-27,53,False
2018-10-28,100,False
2018-10-29,62,False
2018-10-30,36,False
2018-10-31,59,False
2018-11-01,61,False
2018-11-02,46,False
2018-11-03,50,False
2018-11-04,70,False
2018-11-05,54,False
2018-11-06,55,False
2018-11-07,37,False
2018-11-08,42,False
2018-11-09,57,False
2018-11-10,71,False
2018-11-11,65,False
2018-11-12,31,False
2018-11-13,53,False
2018-11-14,50,False
2018-11-15,56,False
2018-11-16,53,False
2018-11-17,56,False
2018-11-18,69,False
2018-11-19,37,False
2018-11-20,47,False
2018-11-21,46,False
2018-11-22,45,False
2018-11-23,57,False
2018-11-24,34,False
2018-11-25,63,False
2018-11-26,39,False
2018-11-27,36,False
2018-11-28,45,False
2018-11-29,60,False
2018-11-30,65,False
2018-12-01,40,False
2018-12-02,66,False
2018-12-03,65,False
2018-12-04,37,False
2018-12-05,51,False
2018-12-06,52,False
2018-12-07,54,False
2018-12-08,64,False
2018-12-09,68,False
2018-12-10,59,False
2018-12-11,48,False
2018-12-12,40,False
2018-12-13,64,False
2018-12-14,72,False
2018-12-15,68,False
2018-12-16,64,False
2018-12-17,40,False
2018-12-18,38,False
2018-12-19,45,False
2018-12-20,34,False
2018-12-21,49,False
2018-12-22,46,False
2018-12-23,43,False
2018-12-24,31,False
2018-12-25,39,False
2018-12-26,45,False
2018-12-27,51,False
2018-12-28,61,False
2018-12-29,46,False
