date,Tarif colis,isPartial
2019-06-30,75,False
2019-07-01,56,False
2019-07-02,40,False
2019-07-03,50,False
2019-07-04,50,False
2019-07-05,17,False
2019-07-06,51,False
2019-07-07,55,False
2019-07-08,60,False
2019-07-09,36,False
2019-07-10,65,False
2019-07-11,65,False
2019-07-12,43,False
2019-07-13,34,False
2019-07-14,69,False
2019-07-15,64,False
2019-07-16,58,False
2019-07-17,53,False
2019-07-18,59,False
2019-07-19,49,False
2019-07-20,48,False
2019-07-21,75,False
2019-07-22,20,False
2019-07-23,62,False
2019-07-24,70,False
2019-07-25,80,False
2019-07-26,21,False
2019-07-27,49,False
2019-07-28,42,False
2019-07-29,60,False
2019-07-30,40,False
2019-07-31,77,False
2019-08-01,61,False
2019-08-02,40,False
2019-08-03,47,False
2019-08-04,23,False
2019-08-05,48,False
2019-08-06,70,False
2019-08-07,60,False
2019-08-08,53,False
2019-08-09,53,False
2019-08-10,63,False
2019-08-11,14,False
2019-08-12,97,False
2019-08-13,70,False
2019-08-14,63,False
2019-08-15,40,False
2019-08-16,47,False
2019-08-17,60,False
2019-08-18,85,False
2019-08-19,44,False
2019-08-20,100,False
2019-08-21,59,False
2019-08-22,60,False
2019-08-23,88,False
2019-08-24,42,False
2019-08-25,40,False
2019-08-26,67,False
2019-08-27,37,False
2019-08-28,63,False
2019-08-29,85,False
2019-08-30,69,False
2019-08-31,73,False
2019-09-01,55,False
2019-09-02,73,False
2019-09-03,90,False
2019-09-04,45,False
2019-09-05,99,False
2019-09-06,57,False
2019-09-07,61,False
2019-09-08,60,False
2019-09-09,91,False
2019-09-10,18,False
2019-09-11,90,False
2019-09-12,35,False
2019-09-13,40,False
2019-09-14,35,False
2019-09-15,57,False
2019-09-16,81,False
2019-09-17,79,False
2019-09-18,72,False
2019-09-19,68,False
2019-09-20,56,False
2019-09-21,39,False
2019-09-22,70,False
2019-09-23,60,False
2019-09-24,72,False
2019-09-25,52,False
2019-09-26,60,False
2019-09-27,75,False
2019-09-28,49,False
