date,Tarif colis,isPartial
2020-06-28,86,False
2020-06-29,66,False
2020-06-30,61,False
2020-07-01,55,False
2020-07-02,61,False
2020-07-03,52,False
2020-07-04,50,False
2020-07-05,59,False
2020-07-06,86,False
2020-07-07,63,False
2020-07-08,74,False
2020-07-09,54,False
2020-07-10,57,False
2020-07-11,50,False
2020-07-12,67,False
2020-07-13,48,False
2020-07-14,43,False
2020-07-15,59,False
2020-07-16,57,False
2020-07-17,55,False
2020-07-18,56,False
2020-07-19,13,False
2020-07-20,100,False
2020-07-21,75,False
2020-07-22,73,False
2020-07-23,18,False
2020-07-24,28,False
2020-07-25,46,False
2020-07-26,58,False
2020-07-27,72,False
2020-07-28,65,False
2020-07-29,55,False
2020-07-30,42,False
2020-07-31,51,False
2020-08-01,46,False
2020-08-02,50,False
2020-08-03,43,False
2020-08-04,56,False
2020-08-05,45,False
2020-08-06,60,False
2020-08-07,69,False
2020-08-08,33,False
2020-08-09,56,False
2020-08-10,49,False
2020-08-11,50,False
2020-08-12,62,False
2020-08-13,28,False
2020-08-14,42,False
2020-08-15,70,False
2020-08-16,35,False
2020-08-17,43,False
2020-08-18,35,False
2020-08-19,45,False
2020-08-20,59,False
2020-08-21,47,False
2020-08-22,45,False
2020-08-23,67,False
2020-08-24,56,False
2020-08-25,48,False
2020-08-26,68,False
2020-08-27,37,False
2020-08-28,70,False
2020-08-29,53,False
2020-08-30,62,False
2020-08-31,76,False
2020-09-01,74,False
2020-09-02,78,False
2020-09-03,78,False
2020-09-04,54,False
2020-09-05,49,False
2020-09-06,69,False
2020-09-07,56,False
2020-09-08,53,False
2020-09-09,64,False
2020-09-10,41,False
2020-09-11,58,False
2020-09-12,24,False
2020-09-13,62,False
2020-09-14,62,False
2020-09-15,76,False
2020-09-16,20,False
2020-09-17,61,False
2020-09-18,37,False
2020-09-19,48,False
2020-09-20,86,False
2020-09-21,66,False
2020-09-22,71,False
2020-09-23,29,False
2020-09-24,35,False
2020-09-25,57,False
2020-09-26,53,False
