date,Livraison domicile,isPartial
2023-06-25,67,False
2023-06-26,77,False
2023-06-27,68,False
2023-06-28,49,False
2023-06-29,77,False
2023-06-30,69,False
2023-07-01,69,False
2023-07-02,70,False
2023-07-03,83,False
2023-07-04,80,False
2023-07-05,79,False
2023-07-06,100,False
2023-07-07,74,False
2023-07-08,59,False
2023-07-09,74,False
2023-07-10,79,False
2023-07-11,55,False
2023-07-12,70,False
2023-07-13,64,False
2023-07-14,58,False
2023-07-15,73,False
2023-07-16,71,False
2023-07-17,82,False
2023-07-18,84,False
2023-07-19,76,False
2023-07-20,87,False
2023-07-21,63,False
2023-07-22,78,False
2023-07-23,68,False
2023-07-24,48,False
2023-07-25,60,False
2023-07-26,86,False
2023-07-27,74,False
2023-07-28,75,False
2023-07-29,80,False
2023-07-30,66,False
2023-07-31,78,False
2023-08-01,87,False
