date,Livraison domicile,isPartial
2022-12-25,47,False
2022-12-26,61,False
2022-12-27,72,False
2022-12-28,73,False
2022-12-29,60,False
2022-12-30,73,False
2022-12-31,47,False
2023-01-01,61,False
2023-01-02,67,False
2023-01-03,73,False
2023-01-04,67,False
2023-01-05,84,False
2023-01-06,80,False
2023-01-07,76,False
2023-01-08,82,False
2023-01-09,74,False
2023-01-10,77,False
2023-01-11,68,False
2023-01-12,68,False
2023-01-13,76,False
2023-01-14,83,False
2023-01-15,69,False
2023-01-16,69,False
2023-01-17,64,False
2023-01-18,64,False
2023-01-19,71,False
2023-01-20,63,False
2023-01-21,58,False
2023-01-22,68,False
2023-01-23,62,False
2023-01-24,68,False
2023-01-25,65,False
2023-01-26,66,False
2023-01-27,75,False
2023-01-28,76,False
2023-01-29,67,False
2023-01-30,75,False
2023-01-31,83,False
2023-02-01,67,False
2023-02-02,68,False
2023-02-03,71,False
2023-02-04,85,False
2023-02-05,71,False
2023-02-06,86,False
2023-02-07,69,False
2023-02-08,76,False
2023-02-09,64,False
2023-02-10,80,False
2023-02-11,72,False
2023-02-12,80,False
2023-02-13,100,False
2023-02-14,89,False
2023-02-15,86,False
2023-02-16,64,False
2023-02-17,71,False
2023-02-18,75,False
2023-02-19,72,False
2023-02-20,76,False
2023-02-21,60,False
2023-02-22,67,False
2023-02-23,63,False
2023-02-24,60,False
2023-02-25,61,False
2023-02-26,65,False
2023-02-27,65,False
2023-02-28,79,False
2023-03-01,80,False
2023-03-02,99,False
2023-03-03,84,False
2023-03-04,81,False
2023-03-05,87,False
2023-03-06,72,False
2023-03-07,70,False
2023-03-08,85,False
2023-03-09,67,False
2023-03-10,90,False
2023-03-11,78,False
2023-03-12,81,False
2023-03-13,63,False
2023-03-14,70,False
2023-03-15,63,False
2023-03-16,62,False
2023-03-17,65,False
2023-03-18,76,False
2023-03-19,67,False
2023-03-20,50,False
2023-03-21,67,False
2023-03-22,74,False
2023-03-23,56,False
2023-03-24,65,False
2023-03-25,52,False
