date,Envoi colis,isPartial
2021-03-28,60,False
2021-03-29,57,False
2021-03-30,57,False
2021-03-31,91,False
2021-04-01,67,False
2021-04-02,80,False
2021-04-03,47,False
2021-04-04,41,False
2021-04-05,63,False
2021-04-06,68,False
2021-04-07,74,False
2021-04-08,49,False
2021-04-09,66,False
2021-04-10,40,False
2021-04-11,61,False
2021-04-12,82,False
2021-04-13,92,False
2021-04-14,67,False
2021-04-15,72,False
2021-04-16,69,False
2021-04-17,77,False
2021-04-18,62,False
2021-04-19,100,False
2021-04-20,90,False
2021-04-21,79,False
2021-04-22,57,False
2021-04-23,74,False
2021-04-24,43,False
2021-04-25,53,False
2021-04-26,83,False
2021-04-27,75,False
2021-04-28,52,False
2021-04-29,59,False
2021-04-30,52,False
2021-05-01,28,False
2021-05-02,58,False
2021-05-03,64,False
2021-05-04,66,False
2021-05-05,47,False
2021-05-06,60,False
2021-05-07,61,False
2021-05-08,39,False
2021-05-09,68,False
2021-05-10,66,False
2021-05-11,60,False
2021-05-12,43,False
2021-05-13,53,False
2021-05-14,39,False
2021-05-15,40,False
2021-05-16,50,False
2021-05-17,46,False
2021-05-18,54,False
2021-05-19,73,False
2021-05-20,42,False
2021-05-21,36,False
2021-05-22,45,False
2021-05-23,32,False
2021-05-24,38,False
2021-05-25,83,False
2021-05-26,67,False
2021-05-27,43,False
2021-05-28,41,False
2021-05-29,42,False
2021-05-30,40,False
2021-05-31,54,False
2021-06-01,66,False
2021-06-02,70,False
2021-06-03,28,False
2021-06-04,71,False
2021-06-05,47,False
2021-06-06,42,False
2021-06-07,41,False
2021-06-08,35,False
2021-06-09,45,False
2021-06-10,65,False
2021-06-11,39,False
2021-06-12,33,False
2021-06-13,32,False
2021-06-14,51,False
2021-06-15,70,False
2021-06-16,48,False
2021-06-17,55,False
2021-06-18,33,False
2021-06-19,37,False
2021-06-20,34,False
2021-06-21,62,False
2021-06-22,56,False
2021-06-23,30,False
2021-06-24,46,False
2021-06-25,39,False
2021-06-26,29,False
