date,Tarif colis,isPartial
2019-09-29,37,False
2019-09-30,58,False
2019-10-01,80,False
2019-10-02,51,False
2019-10-03,41,False
2019-10-04,55,False
2019-10-05,61,False
2019-10-06,53,False
2019-10-07,73,False
2019-10-08,68,False
2019-10-09,76,False
2019-10-10,53,False
2019-10-11,42,False
2019-10-12,44,False
2019-10-13,70,False
2019-10-14,69,False
2019-10-15,73,False
2019-10-16,52,False
2019-10-17,35,False
2019-10-18,62,False
2019-10-19,59,False
2019-10-20,56,False
2019-10-21,77,False
2019-10-22,61,False
2019-10-23,45,False
2019-10-24,41,False
2019-10-25,69,False
2019-10-26,47,False
2019-10-27,56,False
2019-10-28,27,False
2019-10-29,58,False
2019-10-30,18,False
2019-10-31,43,False
2019-11-01,36,False
2019-11-02,47,False
2019-11-03,60,False
2019-11-04,68,False
2019-11-05,46,False
2019-11-06,70,False
2019-11-07,81,False
2019-11-08,60,False
2019-11-09,56,False
2019-11-10,24,False
2019-11-11,74,False
2019-11-12,71,False
2019-11-13,73,False
2019-11-14,71,False
2019-11-15,68,False
2019-11-16,49,False
2019-11-17,69,False
2019-11-18,91,False
2019-11-19,74,False
2019-11-20,47,False
2019-11-21,67,False
2019-11-22,67,False
2019-11-23,51,False
2019-11-24,64,False
2019-11-25,53,False
2019-11-26,44,False
2019-11-27,66,False
2019-11-28,49,False
2019-11-29,14,False
2019-11-30,64,False
2019-12-01,50,False
2019-12-02,66,False
2019-12-03,76,False
2019-12-04,63,False
2019-12-05,38,False
2019-12-06,64,False
2019-12-07,56,False
2019-12-08,41,False
2019-12-09,95,False
2019-12-10,64,False
2019-12-11,67,False
2019-12-12,75,False
2019-12-13,65,False
2019-12-14,64,False
2019-12-15,66,False
2019-12-16,76,False
2019-12-17,79,False
2019-12-18,81,False
2019-12-19,76,False
2019-12-20,50,False
2019-12-21,44,False
2019-12-22,41,False
2019-12-23,41,False
2019-12-24,38,False
2019-12-25,9,False
2019-12-26,55,False
2019-12-27,100,False
2019-12-28,40,False
