date,Service de livraison,isPartial
2022-03-27,25,False
2022-03-28,55,False
2022-03-29,22,False
2022-03-30,55,False
2022-03-31,14,False
2022-04-01,30,False
2022-04-02,18,False
2022-04-03,36,False
2022-04-04,50,False
2022-04-05,38,False
2022-04-06,19,False
2022-04-07,74,False
2022-04-08,24,False
2022-04-09,18,False
2022-04-10,12,False
2022-04-11,56,False
2022-04-12,48,False
2022-04-13,38,False
2022-04-14,36,False
2022-04-15,22,False
2022-04-16,0,False
2022-04-17,0,False
2022-04-18,37,False
2022-04-19,33,False
2022-04-20,28,False
2022-04-21,18,False
2022-04-22,0,False
2022-04-23,35,False
2022-04-24,84,False
2022-04-25,29,False
2022-04-26,27,False
2022-04-27,24,False
2022-04-28,22,False
2022-04-29,47,False
2022-04-30,0,False
2022-05-01,42,False
2022-05-02,0,False
2022-05-03,0,False
2022-05-04,60,False
2022-05-05,28,False
2022-05-06,55,False
2022-05-07,25,False
2022-05-08,30,False
2022-05-09,0,False
2022-05-10,46,False
2022-05-11,31,False
2022-05-12,69,False
2022-05-13,0,False
2022-05-14,0,False
2022-05-15,0,False
2022-05-16,59,False
2022-05-17,35,False
2022-05-18,15,False
2022-05-19,27,False
2022-05-20,18,False
2022-05-21,0,False
2022-05-22,0,False
2022-05-23,49,False
2022-05-24,0,False
2022-05-25,19,False
2022-05-26,0,False
2022-05-27,26,False
2022-05-28,0,False
2022-05-29,0,False
2022-05-30,18,False
2022-05-31,0,False
2022-06-01,47,False
2022-06-02,46,False
2022-06-03,24,False
2022-06-04,21,False
2022-06-05,36,False
2022-06-06,17,False
2022-06-07,87,False
2022-06-08,0,False
2022-06-09,32,False
2022-06-10,20,False
2022-06-11,38,False
2022-06-12,35,False
2022-06-13,31,False
2022-06-14,35,False
2022-06-15,41,False
2022-06-16,100,False
2022-06-17,32,False
2022-06-18,60,False
2022-06-19,58,False
2022-06-20,21,False
2022-06-21,39,False
2022-06-22,21,False
2022-06-23,42,False
2022-06-24,27,False
2022-06-25,29,False
