date,Expédition colis,isPartial
2023-06-25,0,False
2023-06-26,0,False
2023-06-27,0,False
2023-06-28,0,False
2023-06-29,0,False
2023-06-30,0,False
2023-07-01,0,False
2023-07-02,0,False
2023-07-03,51,False
2023-07-04,0,False
2023-07-05,0,False
2023-07-06,0,False
2023-07-07,70,False
2023-07-08,35,False
2023-07-09,37,False
2023-07-10,36,False
2023-07-11,0,False
2023-07-12,28,False
2023-07-13,39,False
2023-07-14,87,False
2023-07-15,41,False
2023-07-16,31,False
2023-07-17,0,False
2023-07-18,0,False
2023-07-19,0,False
2023-07-20,65,False
2023-07-21,89,False
2023-07-22,0,False
2023-07-23,0,False
2023-07-24,0,False
2023-07-25,0,False
2023-07-26,30,False
2023-07-27,55,False
2023-07-28,0,False
2023-07-29,0,False
2023-07-30,0,False
2023-07-31,0,False
2023-08-01,100,False
