date,Livraison,isPartial
2020-06-28,80,False
2020-06-29,85,False
2020-06-30,85,False
2020-07-01,85,False
2020-07-02,83,False
2020-07-03,87,False
2020-07-04,90,False
2020-07-05,87,False
2020-07-06,83,False
2020-07-07,79,False
2020-07-08,85,False
2020-07-09,82,False
2020-07-10,86,False
2020-07-11,91,False
2020-07-12,93,False
2020-07-13,91,False
2020-07-14,83,False
2020-07-15,85,False
2020-07-16,83,False
2020-07-17,84,False
2020-07-18,91,False
2020-07-19,100,False
2020-07-20,91,False
2020-07-21,87,False
2020-07-22,85,False
2020-07-23,88,False
2020-07-24,87,False
2020-07-25,92,False
2020-07-26,99,False
2020-07-27,92,False
2020-07-28,58,False
2020-07-29,59,False
2020-07-30,56,False
2020-07-31,57,False
2020-08-01,57,False
2020-08-02,57,False
2020-08-03,60,False
2020-08-04,60,False
2020-08-05,62,False
2020-08-06,65,False
2020-08-07,61,False
2020-08-08,64,False
2020-08-09,60,False
2020-08-10,73,False
2020-08-11,60,False
2020-08-12,56,False
2020-08-13,60,False
2020-08-14,58,False
2020-08-15,58,False
2020-08-16,59,False
2020-08-17,56,False
2020-08-18,57,False
2020-08-19,56,False
2020-08-20,54,False
2020-08-21,57,False
2020-08-22,60,False
2020-08-23,60,False
2020-08-24,55,False
2020-08-25,55,False
2020-08-26,54,False
2020-08-27,58,False
2020-08-28,59,False
2020-08-29,60,False
2020-08-30,61,False
2020-08-31,54,False
2020-09-01,55,False
2020-09-02,56,False
2020-09-03,54,False
2020-09-04,62,False
2020-09-05,60,False
2020-09-06,65,False
2020-09-07,53,False
2020-09-08,53,False
2020-09-09,54,False
2020-09-10,51,False
2020-09-11,58,False
2020-09-12,57,False
2020-09-13,58,False
2020-09-14,52,False
2020-09-15,56,False
2020-09-16,51,False
2020-09-17,53,False
2020-09-18,51,False
2020-09-19,55,False
2020-09-20,51,False
2020-09-21,48,False
2020-09-22,49,False
2020-09-23,51,False
2020-09-24,52,False
2020-09-25,58,False
2020-09-26,55,False
