date,colis,isPartial
2017-07-02,31,False
2017-07-03,65,False
2017-07-04,71,False
2017-07-05,73,False
2017-07-06,78,False
2017-07-07,75,False
2017-07-08,60,False
2017-07-09,58,False
2017-07-10,86,False
2017-07-11,85,False
2017-07-12,83,False
2017-07-13,81,False
2017-07-14,43,False
2017-07-15,61,False
2017-07-16,35,False
2017-07-17,78,False
2017-07-18,97,False
2017-07-19,100,False
2017-07-20,97,False
2017-07-21,82,False
2017-07-22,58,False
2017-07-23,37,False
2017-07-24,72,False
2017-07-25,75,False
2017-07-26,82,False
2017-07-27,78,False
2017-07-28,72,False
2017-07-29,62,False
2017-07-30,34,False
2017-07-31,74,False
2017-08-01,81,False
2017-08-02,85,False
2017-08-03,80,False
2017-08-04,75,False
2017-08-05,51,False
2017-08-06,32,False
2017-08-07,70,False
2017-08-08,91,False
2017-08-09,82,False
2017-08-10,88,False
2017-08-11,75,False
2017-08-12,54,False
2017-08-13,34,False
2017-08-14,61,False
2017-08-15,41,False
2017-08-16,74,False
2017-08-17,78,False
2017-08-18,70,False
2017-08-19,56,False
2017-08-20,31,False
2017-08-21,63,False
2017-08-22,74,False
2017-08-23,71,False
2017-08-24,70,False
2017-08-25,61,False
2017-08-26,50,False
2017-08-27,30,False
2017-08-28,53,False
2017-08-29,64,False
2017-08-30,64,False
2017-08-31,60,False
2017-09-01,64,False
2017-09-02,49,False
2017-09-03,34,False
2017-09-04,62,False
2017-09-05,73,False
2017-09-06,68,False
2017-09-07,78,False
2017-09-08,74,False
2017-09-09,54,False
2017-09-10,32,False
2017-09-11,67,False
2017-09-12,70,False
2017-09-13,82,False
2017-09-14,71,False
2017-09-15,67,False
2017-09-16,61,False
2017-09-17,33,False
2017-09-18,67,False
2017-09-19,74,False
2017-09-20,80,False
2017-09-21,77,False
2017-09-22,69,False
2017-09-23,52,False
2017-09-24,30,False
2017-09-25,74,False
2017-09-26,69,False
2017-09-27,68,False
2017-09-28,71,False
2017-09-29,74,False
2017-09-30,47,False
