date,Livraison express,isPartial
2020-09-27,39,False
2020-09-28,29,False
2020-09-29,29,False
2020-09-30,40,False
2020-10-01,45,False
2020-10-02,70,False
2020-10-03,28,False
2020-10-04,12,False
2020-10-05,30,False
2020-10-06,20,False
2020-10-07,44,False
2020-10-08,38,False
2020-10-09,26,False
2020-10-10,36,False
2020-10-11,22,False
2020-10-12,0,False
2020-10-13,55,False
2020-10-14,35,False
2020-10-15,33,False
2020-10-16,30,False
2020-10-17,41,False
2020-10-18,21,False
2020-10-19,77,False
2020-10-20,10,False
2020-10-21,35,False
2020-10-22,51,False
2020-10-23,48,False
2020-10-24,35,False
2020-10-25,23,False
2020-10-26,35,False
2020-10-27,39,False
2020-10-28,43,False
2020-10-29,36,False
2020-10-30,50,False
2020-10-31,20,False
2020-11-01,0,False
2020-11-02,37,False
2020-11-03,34,False
2020-11-04,56,False
2020-11-05,48,False
2020-11-06,50,False
2020-11-07,67,False
2020-11-08,59,False
2020-11-09,34,False
2020-11-10,81,False
2020-11-11,54,False
2020-11-12,67,False
2020-11-13,34,False
2020-11-14,22,False
2020-11-15,17,False
2020-11-16,38,False
2020-11-17,31,False
2020-11-18,37,False
2020-11-19,38,False
2020-11-20,60,False
2020-11-21,43,False
2020-11-22,19,False
2020-11-23,68,False
2020-11-24,41,False
2020-11-25,38,False
2020-11-26,41,False
2020-11-27,49,False
2020-11-28,11,False
2020-11-29,24,False
2020-11-30,40,False
2020-12-01,33,False
2020-12-02,54,False
2020-12-03,32,False
2020-12-04,40,False
2020-12-05,55,False
2020-12-06,44,False
2020-12-07,36,False
2020-12-08,45,False
2020-12-09,34,False
2020-12-10,33,False
2020-12-11,51,False
2020-12-12,29,False
2020-12-13,50,False
2020-12-14,69,False
2020-12-15,51,False
2020-12-16,74,False
2020-12-17,49,False
2020-12-18,68,False
2020-12-19,89,False
2020-12-20,55,False
2020-12-21,100,False
2020-12-22,92,False
2020-12-23,55,False
2020-12-24,30,False
2020-12-25,24,False
2020-12-26,44,False
