date,Livraison domicile,isPartial
2018-07-01,54,False
2018-07-02,47,False
2018-07-03,54,False
2018-07-04,52,False
2018-07-05,54,False
2018-07-06,46,False
2018-07-07,71,False
2018-07-08,77,False
2018-07-09,61,False
2018-07-10,59,False
2018-07-11,54,False
2018-07-12,63,False
2018-07-13,59,False
2018-07-14,65,False
2018-07-15,83,False
2018-07-16,68,False
2018-07-17,56,False
2018-07-18,61,False
2018-07-19,60,False
2018-07-20,46,False
2018-07-21,63,False
2018-07-22,78,False
2018-07-23,74,False
2018-07-24,50,False
2018-07-25,53,False
2018-07-26,58,False
2018-07-27,72,False
2018-07-28,73,False
2018-07-29,98,False
2018-07-30,69,False
2018-07-31,73,False
2018-08-01,66,False
2018-08-02,68,False
2018-08-03,59,False
2018-08-04,51,False
2018-08-05,89,False
2018-08-06,70,False
2018-08-07,57,False
2018-08-08,78,False
2018-08-09,66,False
2018-08-10,58,False
2018-08-11,77,False
2018-08-12,85,False
2018-08-13,61,False
2018-08-14,70,False
2018-08-15,94,False
2018-08-16,58,False
2018-08-17,64,False
2018-08-18,70,False
2018-08-19,90,False
2018-08-20,69,False
2018-08-21,62,False
2018-08-22,84,False
2018-08-23,69,False
2018-08-24,100,False
2018-08-25,84,False
2018-08-26,91,False
2018-08-27,52,False
2018-08-28,67,False
2018-08-29,65,False
2018-08-30,71,False
2018-08-31,87,False
2018-09-01,89,False
2018-09-02,86,False
2018-09-03,85,False
2018-09-04,81,False
2018-09-05,73,False
2018-09-06,65,False
2018-09-07,82,False
2018-09-08,94,False
2018-09-09,85,False
2018-09-10,72,False
2018-09-11,82,False
2018-09-12,62,False
2018-09-13,58,False
2018-09-14,68,False
2018-09-15,99,False
2018-09-16,77,False
2018-09-17,67,False
2018-09-18,65,False
2018-09-19,57,False
2018-09-20,77,False
2018-09-21,86,False
2018-09-22,90,False
2018-09-23,85,False
2018-09-24,62,False
2018-09-25,65,False
2018-09-26,67,False
2018-09-27,75,False
2018-09-28,64,False
2018-09-29,79,False
