date,colis,isPartial
2019-09-29,25,False
2019-09-30,41,False
2019-10-01,48,False
2019-10-02,42,False
2019-10-03,49,False
2019-10-04,43,False
2019-10-05,33,False
2019-10-06,25,False
2019-10-07,49,False
2019-10-08,51,False
2019-10-09,55,False
2019-10-10,49,False
2019-10-11,49,False
2019-10-12,37,False
2019-10-13,27,False
2019-10-14,43,False
2019-10-15,49,False
2019-10-16,50,False
2019-10-17,53,False
2019-10-18,49,False
2019-10-19,35,False
2019-10-20,23,False
2019-10-21,47,False
2019-10-22,47,False
2019-10-23,50,False
2019-10-24,52,False
2019-10-25,44,False
2019-10-26,37,False
2019-10-27,25,False
2019-10-28,48,False
2019-10-29,47,False
2019-10-30,49,False
2019-10-31,43,False
2019-11-01,27,False
2019-11-02,30,False
2019-11-03,27,False
2019-11-04,48,False
2019-11-05,53,False
2019-11-06,57,False
2019-11-07,59,False
2019-11-08,57,False
2019-11-09,46,False
2019-11-10,24,False
2019-11-11,32,False
2019-11-12,57,False
2019-11-13,58,False
2019-11-14,59,False
2019-11-15,58,False
2019-11-16,44,False
2019-11-17,28,False
2019-11-18,57,False
2019-11-19,61,False
2019-11-20,58,False
2019-11-21,60,False
2019-11-22,50,False
2019-11-23,44,False
2019-11-24,25,False
2019-11-25,51,False
2019-11-26,54,False
2019-11-27,57,False
2019-11-28,57,False
2019-11-29,54,False
2019-11-30,46,False
2019-12-01,28,False
2019-12-02,63,False
2019-12-03,64,False
2019-12-04,69,False
2019-12-05,70,False
2019-12-06,66,False
2019-12-07,59,False
2019-12-08,35,False
2019-12-09,72,False
2019-12-10,78,False
2019-12-11,80,False
2019-12-12,88,False
2019-12-13,76,False
2019-12-14,68,False
2019-12-15,43,False
2019-12-16,86,False
2019-12-17,92,False
2019-12-18,98,False
2019-12-19,100,False
2019-12-20,91,False
2019-12-21,77,False
2019-12-22,45,False
2019-12-23,83,False
2019-12-24,72,False
2019-12-25,35,False
2019-12-26,67,False
2019-12-27,73,False
2019-12-28,56,False
