date,Suivi colis,isPartial
2017-01-01,13,False
2017-01-02,30,False
2017-01-03,31,False
2017-01-04,31,False
2017-01-05,33,False
2017-01-06,35,False
2017-01-07,20,False
2017-01-08,15,False
2017-01-09,36,False
2017-01-10,36,False
2017-01-11,32,False
2017-01-12,45,False
2017-01-13,43,False
2017-01-14,32,False
2017-01-15,16,False
2017-01-16,44,False
2017-01-17,60,False
2017-01-18,60,False
2017-01-19,52,False
2017-01-20,55,False
2017-01-21,34,False
2017-01-22,14,False
2017-01-23,40,False
2017-01-24,56,False
2017-01-25,50,False
2017-01-26,44,False
2017-01-27,52,False
2017-01-28,35,False
2017-01-29,14,False
2017-01-30,42,False
2017-01-31,61,False
2017-02-01,73,False
2017-02-02,82,False
2017-02-03,83,False
2017-02-04,58,False
2017-02-05,20,False
2017-02-06,67,False
2017-02-07,83,False
2017-02-08,86,False
2017-02-09,93,False
2017-02-10,90,False
2017-02-11,54,False
2017-02-12,26,False
2017-02-13,73,False
2017-02-14,74,False
2017-02-15,100,False
2017-02-16,83,False
2017-02-17,52,False
2017-02-18,37,False
2017-02-19,15,False
2017-02-20,45,False
2017-02-21,50,False
2017-02-22,61,False
2017-02-23,54,False
2017-02-24,58,False
2017-02-25,40,False
2017-02-26,15,False
2017-02-27,40,False
2017-02-28,48,False
2017-03-01,50,False
2017-03-02,56,False
2017-03-03,51,False
2017-03-04,33,False
2017-03-05,15,False
2017-03-06,38,False
2017-03-07,56,False
2017-03-08,55,False
2017-03-09,58,False
2017-03-10,56,False
2017-03-11,38,False
2017-03-12,17,False
2017-03-13,48,False
2017-03-14,52,False
2017-03-15,64,False
2017-03-16,59,False
2017-03-17,53,False
2017-03-18,36,False
2017-03-19,14,False
2017-03-20,41,False
2017-03-21,55,False
2017-03-22,61,False
2017-03-23,52,False
2017-03-24,44,False
2017-03-25,32,False
2017-03-26,16,False
2017-03-27,45,False
2017-03-28,56,False
2017-03-29,54,False
2017-03-30,49,False
2017-03-31,34,False
2017-04-01,20,False
