date,colis,isPartial
2023-03-26,40,False
2023-03-27,70,False
2023-03-28,71,False
2023-03-29,75,False
2023-03-30,70,False
2023-03-31,74,False
2023-04-01,70,False
2023-04-02,62,False
2023-04-03,79,False
2023-04-04,86,False
2023-04-05,86,False
2023-04-06,82,False
2023-04-07,81,False
2023-04-08,70,False
2023-04-09,38,False
2023-04-10,53,False
2023-04-11,87,False
2023-04-12,89,False
2023-04-13,82,False
2023-04-14,81,False
2023-04-15,78,False
2023-04-16,45,False
2023-04-17,83,False
2023-04-18,86,False
2023-04-19,91,False
2023-04-20,84,False
2023-04-21,76,False
2023-04-22,66,False
2023-04-23,41,False
2023-04-24,82,False
2023-04-25,84,False
2023-04-26,82,False
2023-04-27,79,False
2023-04-28,72,False
2023-04-29,57,False
2023-04-30,33,False
2023-05-01,41,False
2023-05-02,83,False
2023-05-03,89,False
2023-05-04,85,False
2023-05-05,84,False
2023-05-06,72,False
2023-05-07,39,False
2023-05-08,56,False
2023-05-09,84,False
2023-05-10,93,False
2023-05-11,93,False
2023-05-12,94,False
2023-05-13,72,False
2023-05-14,44,False
2023-05-15,87,False
2023-05-16,97,False
2023-05-17,94,False
2023-05-18,63,False
2023-05-19,95,False
2023-05-20,77,False
2023-05-21,46,False
2023-05-22,87,False
2023-05-23,92,False
2023-05-24,90,False
2023-05-25,79,False
2023-05-26,79,False
2023-05-27,68,False
2023-05-28,34,False
2023-05-29,55,False
2023-05-30,85,False
2023-05-31,89,False
2023-06-01,84,False
2023-06-02,88,False
2023-06-03,73,False
2023-06-04,47,False
2023-06-05,91,False
2023-06-06,91,False
2023-06-07,91,False
2023-06-08,94,False
2023-06-09,84,False
2023-06-10,76,False
2023-06-11,44,False
2023-06-12,86,False
2023-06-13,96,False
2023-06-14,100,False
2023-06-15,94,False
2023-06-16,90,False
2023-06-17,72,False
2023-06-18,46,False
2023-06-19,82,False
2023-06-20,82,False
2023-06-21,80,False
2023-06-22,82,False
2023-06-23,77,False
2023-06-24,64,False
