date,Retard livraison,isPartial
2017-01-01,29,False
2017-01-02,52,False
2017-01-03,40,False
2017-01-04,95,False
2017-01-05,33,False
2017-01-06,0,False
2017-01-07,19,False
2017-01-08,0,False
2017-01-09,30,False
2017-01-10,53,False
2017-01-11,49,False
2017-01-12,54,False
2017-01-13,0,False
2017-01-14,33,False
2017-01-15,41,False
2017-01-16,0,False
2017-01-17,0,False
2017-01-18,37,False
2017-01-19,0,False
2017-01-20,36,False
2017-01-21,0,False
2017-01-22,0,False
2017-01-23,37,False
2017-01-24,20,False
2017-01-25,45,False
2017-01-26,40,False
2017-01-27,34,False
2017-01-28,49,False
2017-01-29,0,False
2017-01-30,100,False
2017-01-31,45,False
2017-02-01,35,False
2017-02-02,20,False
2017-02-03,61,False
2017-02-04,91,False
2017-02-05,0,False
2017-02-06,56,False
2017-02-07,51,False
2017-02-08,39,False
2017-02-09,0,False
2017-02-10,0,False
2017-02-11,0,False
2017-02-12,26,False
2017-02-13,18,False
2017-02-14,18,False
2017-02-15,18,False
2017-02-16,42,False
2017-02-17,48,False
2017-02-18,0,False
2017-02-19,38,False
2017-02-20,0,False
2017-02-21,21,False
2017-02-22,25,False
2017-02-23,0,False
2017-02-24,0,False
2017-02-25,0,False
2017-02-26,0,False
2017-02-27,0,False
2017-02-28,67,False
2017-03-01,36,False
2017-03-02,16,False
2017-03-03,45,False
2017-03-04,0,False
2017-03-05,0,False
2017-03-06,48,False
2017-03-07,0,False
2017-03-08,62,False
2017-03-09,0,False
2017-03-10,99,False
2017-03-11,0,False
2017-03-12,0,False
2017-03-13,20,False
2017-03-14,0,False
2017-03-15,45,False
2017-03-16,63,False
2017-03-17,23,False
2017-03-18,22,False
2017-03-19,68,False
2017-03-20,0,False
2017-03-21,26,False
2017-03-22,0,False
2017-03-23,0,False
2017-03-24,45,False
2017-03-25,24,False
2017-03-26,42,False
2017-03-27,0,False
2017-03-28,49,False
2017-03-29,0,False
2017-03-30,0,False
2017-03-31,86,False
2017-04-01,36,False
