date,Livraison domicile,isPartial
2022-03-27,58,False
2022-03-28,53,False
2022-03-29,52,False
2022-03-30,77,False
2022-03-31,83,False
2022-04-01,87,False
2022-04-02,100,False
2022-04-03,76,False
2022-04-04,70,False
2022-04-05,68,False
2022-04-06,71,False
2022-04-07,56,False
2022-04-08,63,False
2022-04-09,82,False
2022-04-10,48,False
2022-04-11,59,False
2022-04-12,61,False
2022-04-13,65,False
2022-04-14,57,False
2022-04-15,62,False
2022-04-16,73,False
2022-04-17,44,False
2022-04-18,67,False
2022-04-19,59,False
2022-04-20,66,False
2022-04-21,59,False
2022-04-22,51,False
2022-04-23,72,False
2022-04-24,49,False
2022-04-25,65,False
2022-04-26,55,False
2022-04-27,62,False
2022-04-28,64,False
2022-04-29,61,False
2022-04-30,71,False
2022-05-01,63,False
2022-05-02,63,False
2022-05-03,57,False
2022-05-04,54,False
2022-05-05,81,False
2022-05-06,47,False
2022-05-07,67,False
2022-05-08,63,False
2022-05-09,48,False
2022-05-10,59,False
2022-05-11,57,False
2022-05-12,63,False
2022-05-13,63,False
2022-05-14,55,False
2022-05-15,54,False
2022-05-16,43,False
2022-05-17,60,False
2022-05-18,52,False
2022-05-19,49,False
2022-05-20,58,False
2022-05-21,54,False
2022-05-22,50,False
2022-05-23,57,False
2022-05-24,65,False
2022-05-25,58,False
2022-05-26,78,False
2022-05-27,86,False
2022-05-28,82,False
2022-05-29,68,False
2022-05-30,61,False
2022-05-31,58,False
2022-06-01,56,False
2022-06-02,58,False
2022-06-03,57,False
2022-06-04,69,False
2022-06-05,67,False
2022-06-06,55,False
2022-06-07,76,False
2022-06-08,50,False
2022-06-09,59,False
2022-06-10,67,False
2022-06-11,55,False
2022-06-12,41,False
2022-06-13,62,False
2022-06-14,54,False
2022-06-15,63,False
2022-06-16,59,False
2022-06-17,54,False
2022-06-18,67,False
2022-06-19,56,False
2022-06-20,54,False
2022-06-21,49,False
2022-06-22,59,False
2022-06-23,56,False
2022-06-24,63,False
2022-06-25,68,False
