date,Livraison,isPartial
2023-03-26,55,False
2023-03-27,57,False
2023-03-28,63,False
2023-03-29,64,False
2023-03-30,62,False
2023-03-31,67,False
2023-04-01,65,False
2023-04-02,63,False
2023-04-03,67,False
2023-04-04,71,False
2023-04-05,73,False
2023-04-06,72,False
2023-04-07,71,False
2023-04-08,62,False
2023-04-09,59,False
2023-04-10,59,False
2023-04-11,66,False
2023-04-12,71,False
2023-04-13,69,False
2023-04-14,71,False
2023-04-15,63,False
2023-04-16,63,False
2023-04-17,65,False
2023-04-18,65,False
2023-04-19,69,False
2023-04-20,63,False
2023-04-21,67,False
2023-04-22,62,False
2023-04-23,62,False
2023-04-24,67,False
2023-04-25,66,False
2023-04-26,68,False
2023-04-27,68,False
2023-04-28,69,False
2023-04-29,60,False
2023-04-30,61,False
2023-05-01,58,False
2023-05-02,66,False
2023-05-03,64,False
2023-05-04,72,False
2023-05-05,68,False
2023-05-06,66,False
2023-05-07,61,False
2023-05-08,57,False
2023-05-09,69,False
2023-05-10,69,False
2023-05-11,67,False
2023-05-12,73,False
2023-05-13,55,False
2023-05-14,58,False
2023-05-15,65,False
2023-05-16,62,False
2023-05-17,64,False
2023-05-18,66,False
2023-05-19,63,False
2023-05-20,59,False
2023-05-21,55,False
2023-05-22,69,False
2023-05-23,71,False
2023-05-24,65,False
2023-05-25,65,False
2023-05-26,56,False
2023-05-27,59,False
2023-05-28,57,False
2023-05-29,63,False
2023-05-30,73,False
2023-05-31,84,False
2023-06-01,80,False
2023-06-02,85,False
2023-06-03,100,False
2023-06-04,81,False
2023-06-05,67,False
2023-06-06,71,False
2023-06-07,69,False
2023-06-08,66,False
2023-06-09,68,False
2023-06-10,59,False
2023-06-11,56,False
2023-06-12,69,False
2023-06-13,71,False
2023-06-14,72,False
2023-06-15,68,False
2023-06-16,66,False
2023-06-17,64,False
2023-06-18,55,False
2023-06-19,66,False
2023-06-20,62,False
2023-06-21,59,False
2023-06-22,63,False
2023-06-23,59,False
2023-06-24,56,False
