date,Livraison,isPartial
2022-03-27,76,False
2022-03-28,77,False
2022-03-29,74,False
2022-03-30,84,False
2022-03-31,87,False
2022-04-01,94,False
2022-04-02,86,False
2022-04-03,86,False
2022-04-04,84,False
2022-04-05,81,False
2022-04-06,83,False
2022-04-07,78,False
2022-04-08,88,False
2022-04-09,84,False
2022-04-10,66,False
2022-04-11,74,False
2022-04-12,76,False
2022-04-13,83,False
2022-04-14,77,False
2022-04-15,79,False
2022-04-16,79,False
2022-04-17,69,False
2022-04-18,74,False
2022-04-19,76,False
2022-04-20,80,False
2022-04-21,75,False
2022-04-22,72,False
2022-04-23,77,False
2022-04-24,60,False
2022-04-25,74,False
2022-04-26,80,False
2022-04-27,78,False
2022-04-28,77,False
2022-04-29,84,False
2022-04-30,79,False
2022-05-01,75,False
2022-05-02,76,False
2022-05-03,81,False
2022-05-04,77,False
2022-05-05,87,False
2022-05-06,78,False
2022-05-07,80,False
2022-05-08,80,False
2022-05-09,82,False
2022-05-10,77,False
2022-05-11,74,False
2022-05-12,75,False
2022-05-13,83,False
2022-05-14,68,False
2022-05-15,64,False
2022-05-16,72,False
2022-05-17,73,False
2022-05-18,78,False
2022-05-19,73,False
2022-05-20,78,False
2022-05-21,73,False
2022-05-22,71,False
2022-05-23,71,False
2022-05-24,79,False
2022-05-25,84,False
2022-05-26,90,False
2022-05-27,100,False
2022-05-28,100,False
2022-05-29,95,False
2022-05-30,75,False
2022-05-31,74,False
2022-06-01,77,False
2022-06-02,72,False
2022-06-03,72,False
2022-06-04,74,False
2022-06-05,77,False
2022-06-06,72,False
2022-06-07,72,False
2022-06-08,76,False
2022-06-09,76,False
2022-06-10,76,False
2022-06-11,70,False
2022-06-12,69,False
2022-06-13,73,False
2022-06-14,79,False
2022-06-15,76,False
2022-06-16,76,False
2022-06-17,81,False
2022-06-18,78,False
2022-06-19,67,False
2022-06-20,71,False
2022-06-21,69,False
2022-06-22,76,False
2022-06-23,82,False
2022-06-24,73,False
2022-06-25,80,False
