date,Point relais,isPartial
2018-09-30,24,False
2018-10-01,53,False
2018-10-02,75,False
2018-10-03,74,False
2018-10-04,50,False
2018-10-05,60,False
2018-10-06,58,False
2018-10-07,30,False
2018-10-08,61,False
2018-10-09,68,False
2018-10-10,65,False
2018-10-11,61,False
2018-10-12,66,False
2018-10-13,48,False
2018-10-14,26,False
2018-10-15,57,False
2018-10-16,69,False
2018-10-17,65,False
2018-10-18,56,False
2018-10-19,57,False
2018-10-20,53,False
2018-10-21,36,False
2018-10-22,62,False
2018-10-23,53,False
2018-10-24,66,False
2018-10-25,54,False
2018-10-26,56,False
2018-10-27,47,False
2018-10-28,27,False
2018-10-29,58,False
2018-10-30,56,False
2018-10-31,65,False
2018-11-01,31,False
2018-11-02,68,False
2018-11-03,67,False
2018-11-04,49,False
2018-11-05,63,False
2018-11-06,61,False
2018-11-07,65,False
2018-11-08,59,False
2018-11-09,71,False
2018-11-10,70,False
2018-11-11,38,False
2018-11-12,68,False
2018-11-13,59,False
2018-11-14,74,False
2018-11-15,67,False
2018-11-16,60,False
2018-11-17,50,False
2018-11-18,23,False
2018-11-19,56,False
2018-11-20,59,False
2018-11-21,63,False
2018-11-22,70,False
2018-11-23,69,False
2018-11-24,67,False
2018-11-25,33,False
2018-11-26,72,False
2018-11-27,64,False
2018-11-28,88,False
2018-11-29,72,False
2018-11-30,73,False
2018-12-01,60,False
2018-12-02,29,False
2018-12-03,80,False
2018-12-04,80,False
2018-12-05,76,False
2018-12-06,65,False
2018-12-07,77,False
2018-12-08,80,False
2018-12-09,56,False
2018-12-10,72,False
2018-12-11,81,False
2018-12-12,73,False
2018-12-13,85,False
2018-12-14,100,False
2018-12-15,75,False
2018-12-16,32,False
2018-12-17,75,False
2018-12-18,86,False
2018-12-19,76,False
2018-12-20,84,False
2018-12-21,81,False
2018-12-22,76,False
2018-12-23,35,False
2018-12-24,64,False
2018-12-25,33,False
2018-12-26,68,False
2018-12-27,59,False
2018-12-28,73,False
2018-12-29,62,False
