date,Livraison express,isPartial
2017-04-02,0,False
2017-04-03,0,False
2017-04-04,48,False
2017-04-05,29,False
2017-04-06,19,False
2017-04-07,0,False
2017-04-08,51,False
2017-04-09,42,False
2017-04-10,46,False
2017-04-11,22,False
2017-04-12,55,False
2017-04-13,84,False
2017-04-14,37,False
2017-04-15,51,False
2017-04-16,73,False
2017-04-17,28,False
2017-04-18,0,False
2017-04-19,0,False
2017-04-20,55,False
2017-04-21,29,False
2017-04-22,73,False
2017-04-23,49,False
2017-04-24,33,False
2017-04-25,48,False
2017-04-26,51,False
2017-04-27,31,False
2017-04-28,90,False
2017-04-29,59,False
2017-04-30,47,False
2017-05-01,62,False
2017-05-02,55,False
2017-05-03,58,False
2017-05-04,67,False
2017-05-05,55,False
2017-05-06,89,False
2017-05-07,92,False
2017-05-08,36,False
2017-05-09,58,False
2017-05-10,41,False
2017-05-11,56,False
2017-05-12,61,False
2017-05-13,0,False
2017-05-14,60,False
2017-05-15,33,False
2017-05-16,62,False
2017-05-17,48,False
2017-05-18,32,False
2017-05-19,96,False
2017-05-20,0,False
2017-05-21,41,False
2017-05-22,27,False
2017-05-23,59,False
2017-05-24,17,False
2017-05-25,80,False
2017-05-26,54,False
2017-05-27,29,False
2017-05-28,76,False
2017-05-29,77,False
2017-05-30,99,False
2017-05-31,73,False
2017-06-01,56,False
2017-06-02,66,False
2017-06-03,50,False
2017-06-04,0,False
2017-06-05,70,False
2017-06-06,0,False
2017-06-07,25,False
2017-06-08,0,False
2017-06-09,67,False
2017-06-10,67,False
2017-06-11,53,False
2017-06-12,25,False
2017-06-13,68,False
2017-06-14,54,False
2017-06-15,62,False
2017-06-16,58,False
2017-06-17,100,False
2017-06-18,44,False
2017-06-19,45,False
2017-06-20,77,False
2017-06-21,93,False
2017-06-22,77,False
2017-06-23,0,False
2017-06-24,22,False
2017-06-25,36,False
2017-06-26,56,False
2017-06-27,39,False
2017-06-28,67,False
2017-06-29,65,False
2017-06-30,51,False
2017-07-01,50,False
