date,colis,isPartial
2017-04-02,37,False
2017-04-03,76,False
2017-04-04,79,False
2017-04-05,86,False
2017-04-06,89,False
2017-04-07,95,False
2017-04-08,64,False
2017-04-09,34,False
2017-04-10,78,False
2017-04-11,85,False
2017-04-12,88,False
2017-04-13,89,False
2017-04-14,84,False
2017-04-15,64,False
2017-04-16,31,False
2017-04-17,40,False
2017-04-18,79,False
2017-04-19,85,False
2017-04-20,92,False
2017-04-21,86,False
2017-04-22,54,False
2017-04-23,33,False
2017-04-24,70,False
2017-04-25,74,False
2017-04-26,76,False
2017-04-27,75,False
2017-04-28,74,False
2017-04-29,54,False
2017-04-30,27,False
2017-05-01,37,False
2017-05-02,75,False
2017-05-03,79,False
2017-05-04,83,False
2017-05-05,84,False
2017-05-06,66,False
2017-05-07,31,False
2017-05-08,42,False
2017-05-09,86,False
2017-05-10,90,False
2017-05-11,93,False
2017-05-12,100,False
2017-05-13,79,False
2017-05-14,41,False
2017-05-15,83,False
2017-05-16,87,False
2017-05-17,87,False
2017-05-18,85,False
2017-05-19,85,False
2017-05-20,68,False
2017-05-21,37,False
2017-05-22,80,False
2017-05-23,89,False
2017-05-24,88,False
2017-05-25,45,False
2017-05-26,83,False
2017-05-27,61,False
2017-05-28,33,False
2017-05-29,79,False
2017-05-30,85,False
2017-05-31,78,False
2017-06-01,80,False
2017-06-02,80,False
2017-06-03,55,False
2017-06-04,30,False
2017-06-05,48,False
2017-06-06,82,False
2017-06-07,83,False
2017-06-08,88,False
2017-06-09,93,False
2017-06-10,73,False
2017-06-11,36,False
2017-06-12,82,False
2017-06-13,86,False
2017-06-14,88,False
2017-06-15,88,False
2017-06-16,88,False
2017-06-17,70,False
2017-06-18,35,False
2017-06-19,73,False
2017-06-20,80,False
2017-06-21,85,False
2017-06-22,95,False
2017-06-23,89,False
2017-06-24,60,False
2017-06-25,45,False
2017-06-26,80,False
2017-06-27,89,False
2017-06-28,91,False
2017-06-29,92,False
2017-06-30,96,False
2017-07-01,69,False
