date,Livraison domicile,isPartial
2023-03-26,39,False
2023-03-27,51,False
2023-03-28,52,False
2023-03-29,55,False
2023-03-30,63,False
2023-03-31,64,False
2023-04-01,61,False
2023-04-02,61,False
2023-04-03,61,False
2023-04-04,80,False
2023-04-05,68,False
2023-04-06,56,False
2023-04-07,62,False
2023-04-08,72,False
2023-04-09,55,False
2023-04-10,49,False
2023-04-11,61,False
2023-04-12,47,False
2023-04-13,56,False
2023-04-14,57,False
2023-04-15,56,False
2023-04-16,61,False
2023-04-17,54,False
2023-04-18,48,False
2023-04-19,55,False
2023-04-20,56,False
2023-04-21,66,False
2023-04-22,60,False
2023-04-23,62,False
2023-04-24,68,False
2023-04-25,56,False
2023-04-26,54,False
2023-04-27,59,False
2023-04-28,52,False
2023-04-29,57,False
2023-04-30,74,False
2023-05-01,61,False
2023-05-02,64,False
2023-05-03,63,False
2023-05-04,62,False
2023-05-05,62,False
2023-05-06,62,False
2023-05-07,59,False
2023-05-08,71,False
2023-05-09,60,False
2023-05-10,54,False
2023-05-11,44,False
2023-05-12,59,False
2023-05-13,54,False
2023-05-14,43,False
2023-05-15,52,False
2023-05-16,52,False
2023-05-17,49,False
2023-05-18,64,False
2023-05-19,56,False
2023-05-20,42,False
2023-05-21,67,False
2023-05-22,72,False
2023-05-23,70,False
2023-05-24,47,False
2023-05-25,49,False
2023-05-26,48,False
2023-05-27,54,False
2023-05-28,57,False
2023-05-29,55,False
2023-05-30,73,False
2023-05-31,52,False
2023-06-01,65,False
2023-06-02,70,False
2023-06-03,100,False
2023-06-04,75,False
2023-06-05,61,False
2023-06-06,55,False
2023-06-07,58,False
2023-06-08,41,False
2023-06-09,39,False
2023-06-10,52,False
2023-06-11,47,False
2023-06-12,55,False
2023-06-13,57,False
2023-06-14,59,False
2023-06-15,58,False
2023-06-16,62,False
2023-06-17,65,False
2023-06-18,75,False
2023-06-19,67,False
2023-06-20,58,False
2023-06-21,51,False
2023-06-22,44,False
2023-06-23,75,False
2023-06-24,68,False
