date,Envoi colis,isPartial
2020-09-27,33,False
2020-09-28,43,False
2020-09-29,52,False
2020-09-30,41,False
2020-10-01,46,False
2020-10-02,51,False
2020-10-03,61,False
2020-10-04,41,False
2020-10-05,43,False
2020-10-06,50,False
2020-10-07,56,False
2020-10-08,56,False
2020-10-09,49,False
2020-10-10,39,False
2020-10-11,41,False
2020-10-12,56,False
2020-10-13,51,False
2020-10-14,56,False
2020-10-15,54,False
2020-10-16,50,False
2020-10-17,34,False
2020-10-18,48,False
2020-10-19,59,False
2020-10-20,46,False
2020-10-21,42,False
2020-10-22,34,False
2020-10-23,57,False
2020-10-24,31,False
2020-10-25,49,False
2020-10-26,51,False
2020-10-27,54,False
2020-10-28,72,False
2020-10-29,63,False
2020-10-30,51,False
2020-10-31,40,False
2020-11-01,59,False
2020-11-02,59,False
2020-11-03,65,False
2020-11-04,63,False
2020-11-05,51,False
2020-11-06,58,False
2020-11-07,61,False
2020-11-08,39,False
2020-11-09,57,False
2020-11-10,50,False
2020-11-11,58,False
2020-11-12,80,False
2020-11-13,74,False
2020-11-14,60,False
2020-11-15,59,False
2020-11-16,56,False
2020-11-17,74,False
2020-11-18,79,False
2020-11-19,75,False
2020-11-20,70,False
2020-11-21,48,False
2020-11-22,63,False
2020-11-23,63,False
2020-11-24,66,False
2020-11-25,52,False
2020-11-26,61,False
2020-11-27,63,False
2020-11-28,56,False
2020-11-29,59,False
2020-11-30,69,False
2020-12-01,52,False
2020-12-02,65,False
2020-12-03,60,False
2020-12-04,68,False
2020-12-05,87,False
2020-12-06,60,False
2020-12-07,81,False
2020-12-08,84,False
2020-12-09,73,False
2020-12-10,81,False
2020-12-11,59,False
2020-12-12,54,False
2020-12-13,75,False
2020-12-14,98,False
2020-12-15,100,False
2020-12-16,88,False
2020-12-17,83,False
2020-12-18,89,False
2020-12-19,77,False
2020-12-20,66,False
2020-12-21,91,False
2020-12-22,74,False
2020-12-23,47,False
2020-12-24,48,False
2020-12-25,32,False
2020-12-26,60,False
