date,Suivi colis,isPartial
2019-06-30,23,False
2019-07-01,62,False
2019-07-02,75,False
2019-07-03,94,False
2019-07-04,79,False
2019-07-05,89,False
2019-07-06,58,False
2019-07-07,31,False
2019-07-08,86,False
2019-07-09,92,False
2019-07-10,87,False
2019-07-11,89,False
2019-07-12,72,False
2019-07-13,54,False
2019-07-14,33,False
2019-07-15,89,False
2019-07-16,79,False
2019-07-17,88,False
2019-07-18,84,False
2019-07-19,80,False
2019-07-20,53,False
2019-07-21,36,False
2019-07-22,81,False
2019-07-23,72,False
2019-07-24,82,False
2019-07-25,70,False
2019-07-26,64,False
2019-07-27,39,False
2019-07-28,24,False
2019-07-29,61,False
2019-07-30,85,False
2019-07-31,92,False
2019-08-01,96,False
2019-08-02,66,False
2019-08-03,56,False
2019-08-04,20,False
2019-08-05,67,False
2019-08-06,80,False
2019-08-07,87,False
2019-08-08,81,False
2019-08-09,81,False
2019-08-10,57,False
2019-08-11,30,False
2019-08-12,80,False
2019-08-13,89,False
2019-08-14,62,False
2019-08-15,51,False
2019-08-16,74,False
2019-08-17,54,False
2019-08-18,33,False
2019-08-19,93,False
2019-08-20,86,False
2019-08-21,93,False
2019-08-22,89,False
2019-08-23,75,False
2019-08-24,58,False
2019-08-25,20,False
2019-08-26,73,False
2019-08-27,86,False
2019-08-28,97,False
2019-08-29,81,False
2019-08-30,74,False
2019-08-31,52,False
2019-09-01,25,False
2019-09-02,61,False
2019-09-03,72,False
2019-09-04,86,False
2019-09-05,78,False
2019-09-06,84,False
2019-09-07,56,False
2019-09-08,28,False
2019-09-09,79,False
2019-09-10,78,False
2019-09-11,95,False
2019-09-12,72,False
2019-09-13,73,False
2019-09-14,57,False
2019-09-15,27,False
2019-09-16,78,False
2019-09-17,73,False
2019-09-18,89,False
2019-09-19,76,False
2019-09-20,67,False
2019-09-21,48,False
2019-09-22,25,False
2019-09-23,59,False
2019-09-24,67,False
2019-09-25,77,False
2019-09-26,87,False
2019-09-27,100,False
2019-09-28,58,False
