date,Envoi colis,isPartial
2018-12-30,57,False
2018-12-31,28,False
2019-01-01,57,False
2019-01-02,65,False
2019-01-03,58,False
2019-01-04,50,False
2019-01-05,67,False
2019-01-06,76,False
2019-01-07,66,False
2019-01-08,63,False
2019-01-09,61,False
2019-01-10,55,False
2019-01-11,60,False
2019-01-12,62,False
2019-01-13,68,False
2019-01-14,69,False
2019-01-15,83,False
2019-01-16,60,False
2019-01-17,87,False
2019-01-18,66,False
2019-01-19,49,False
2019-01-20,61,False
2019-01-21,69,False
2019-01-22,71,False
2019-01-23,54,False
2019-01-24,59,False
2019-01-25,78,False
2019-01-26,58,False
2019-01-27,58,False
2019-01-28,79,False
2019-01-29,70,False
2019-01-30,56,False
2019-01-31,54,False
2019-02-01,50,False
2019-02-02,44,False
2019-02-03,50,False
2019-02-04,66,False
2019-02-05,90,False
2019-02-06,58,False
2019-02-07,62,False
2019-02-08,64,False
2019-02-09,46,False
2019-02-10,49,False
2019-02-11,76,False
2019-02-12,80,False
2019-02-13,68,False
2019-02-14,38,False
2019-02-15,48,False
2019-02-16,51,False
2019-02-17,80,False
2019-02-18,68,False
2019-02-19,60,False
2019-02-20,58,False
2019-02-21,73,False
2019-02-22,54,False
2019-02-23,47,False
2019-02-24,42,False
2019-02-25,40,False
2019-02-26,81,False
2019-02-27,44,False
2019-02-28,63,False
2019-03-01,84,False
2019-03-02,44,False
2019-03-03,42,False
2019-03-04,100,False
2019-03-05,55,False
2019-03-06,73,False
2019-03-07,64,False
2019-03-08,61,False
2019-03-09,50,False
2019-03-10,53,False
2019-03-11,58,False
2019-03-12,90,False
2019-03-13,27,False
2019-03-14,81,False
2019-03-15,39,False
2019-03-16,43,False
2019-03-17,68,False
2019-03-18,81,False
2019-03-19,51,False
2019-03-20,49,False
2019-03-21,61,False
2019-03-22,44,False
2019-03-23,39,False
2019-03-24,56,False
2019-03-25,76,False
2019-03-26,41,False
2019-03-27,56,False
2019-03-28,26,False
2019-03-29,62,False
2019-03-30,42,False
