date,Livraison,Suivi colis,Expédition colis,Tarif colis,Envoi colis,Livraison express,Livraison domicile,Délai livraison,Retard livraison,Service de livraison,Point relais,colis
2017-04-11,65,69,0,26,52,22,67,56,55,44,71,85
2017-04-12,64,76,0,73,35,55,58,91,72,0,74,88
2017-04-13,59,70,26,21,79,84,61,28,0,20,73,89
2017-04-14,67,69,0,53,53,37,54,66,0,27,58,84
2017-04-15,67,44,0,71,53,51,78,43,27,0,60,64
2017-04-16,65,17,0,42,46,73,83,23,0,0,12,31
2017-04-17,65,25,0,58,37,28,47,42,0,0,56,40
2017-04-18,57,58,20,100,69,0,52,67,25,37,64,79
2017-04-19,63,79,0,96,58,0,57,35,33,62,59,85
2017-04-20,66,78,0,58,84,55,60,43,69,63,63,92
2017-04-21,68,62,0,52,78,29,56,25,25,0,82,86
2017-04-22,67,32,0,57,40,73,83,25,28,35,56,54
2017-04-23,61,10,0,24,37,49,70,47,24,0,28,33
2017-04-24,55,51,60,43,68,33,29,43,36,0,56,70
2017-04-25,58,59,0,55,47,48,51,36,43,19,68,74
2017-04-26,62,57,24,68,66,51,58,50,31,35,71,76
2017-04-27,66,52,0,37,49,31,59,26,30,0,54,75
2017-04-28,72,55,0,70,32,90,85,20,46,0,57,74
2017-04-29,74,33,0,98,56,59,89,66,0,35,50,54
2017-04-30,89,12,27,91,23,47,83,0,0,0,33,27
2017-05-01,78,11,0,99,51,62,75,28,0,15,41,37
2017-05-02,62,47,22,63,62,55,56,62,0,0,61,75
2017-05-03,64,50,30,74,96,58,69,19,24,29,78,79
2017-05-04,60,64,0,88,57,67,68,32,0,20,75,83
2017-05-05,71,60,0,81,73,55,66,45,52,33,68,84
2017-05-06,72,36,0,61,0,89,86,38,27,0,66,66
2017-05-07,71,16,21,12,40,92,57,23,0,100,28,31
2017-05-08,71,21,30,36,75,36,95,38,0,33,34,42
2017-05-09,66,62,0,68,85,58,58,25,36,15,85,86
2017-05-10,68,72,21,87,82,41,62,91,61,16,89,90
2017-05-11,65,69,0,48,70,56,54,51,49,0,68,93
2017-05-12,71,88,0,58,74,61,81,33,38,0,100,100
2017-05-13,74,40,47,49,31,0,87,0,0,0,79,79
2017-05-14,67,16,0,90,53,60,86,0,0,27,41,41
2017-05-15,60,66,0,60,47,33,50,39,32,30,68,83
2017-05-16,65,62,0,54,91,62,65,43,43,0,81,87
2017-05-17,60,64,58,73,80,48,59,56,26,0,67,87
2017-05-18,69,64,0,36,62,32,70,0,0,0,67,85
2017-05-19,69,65,0,65,46,96,69,50,27,0,96,85
2017-05-20,75,43,22,45,78,0,56,0,44,0,77,68
2017-05-21,72,24,24,38,57,41,67,0,0,0,43,37
2017-05-22,67,59,50,62,41,27,53,43,0,0,75,80
2017-05-23,70,74,43,77,76,59,74,32,0,0,71,89
2017-05-24,72,68,0,47,56,17,60,40,29,0,78,88
2017-05-25,88,28,0,13,48,80,79,41,48,0,33,45
2017-05-26,100,67,0,63,41,54,86,28,100,38,61,83
2017-05-27,90,42,0,83,39,29,100,20,0,0,44,61
2017-05-28,84,11,0,77,46,76,83,36,0,30,38,33
2017-05-29,63,60,0,55,74,77,50,69,48,19,59,79
2017-05-30,66,63,0,94,47,99,50,57,33,0,63,85
2017-05-31,64,59,0,79,37,73,46,34,31,46,66,78
2017-06-01,63,63,54,90,45,56,54,0,28,0,52,80
2017-06-02,70,67,24,26,49,66,72,0,0,16,65,80
2017-06-03,75,36,43,53,41,50,78,0,41,0,54,55
2017-06-04,73,14,0,24,26,0,56,31,42,0,44,30
2017-06-05,68,26,0,45,54,70,65,0,0,0,50,48
2017-06-06,63,66,0,70,100,0,46,0,62,25,75,82
2017-06-07,64,64,0,58,89,25,65,30,42,14,76,83
2017-06-08,64,69,0,90,61,0,50,23,22,0,76,88
2017-06-09,72,75,0,67,64,67,55,36,81,23,79,93
2017-06-10,70,61,0,31,61,67,59,39,0,0,62,73
2017-06-11,62,27,0,38,25,53,56,0,0,22,40,36
2017-06-12,66,69,0,48,71,25,49,53,49,0,61,82
2017-06-13,69,64,21,27,80,68,65,35,39,37,83,86
2017-06-14,62,77,0,77,68,54,54,0,37,21,58,88
2017-06-15,65,70,0,57,39,62,45,50,0,0,86,88
2017-06-16,75,71,77,66,52,58,69,91,0,16,94,88
2017-06-17,75,50,35,40,55,100,73,92,32,0,81,70
2017-06-18,70,16,27,36,53,44,45,47,0,33,40,35
2017-06-19,60,57,0,92,65,45,58,63,0,0,75,73
2017-06-20,70,65,0,33,58,77,74,65,31,41,52,80
2017-06-21,68,62,0,66,48,93,78,35,0,21,78,85
2017-06-22,72,95,0,66,59,77,71,49,20,47,61,95
2017-06-23,74,84,39,73,67,0,60,54,37,26,83,89
2017-06-24,69,39,0,39,38,22,56,20,89,0,51,60
2017-06-25,87,34,100,56,53,36,98,29,28,18,48,45
2017-06-26,76,71,0,99,94,56,62,23,75,24,65,80
2017-06-27,63,85,0,69,92,39,65,100,31,21,48,89
2017-06-28,72,85,85,63,63,67,58,61,27,0,83,91
2017-06-29,73,93,28,64,46,65,55,70,0,39,67,92
2017-06-30,72,100,0,58,60,51,63,56,47,54,87,96
2017-07-01,77,55,21,43,64,50,71,0,64,33,76,69
2017-07-02,78,15,0,95,80,53,60,49,45,18,44,31
2017-07-03,71,52,0,58,56,56,52,97,55,42,68,65
2017-07-04,68,58,0,51,74,44,51,61,0,29,64,71
2017-07-05,69,62,0,29,61,29,56,100,39,24,73,73
2017-07-06,72,65,0,41,46,64,52,0,30,100,76,78
2017-07-07,72,62,0,57,45,69,50,42,30,0,77,75
2017-07-08,85,50,56,42,39,32,81,47,0,29,82,60
2017-07-09,100,20,23,47,56,58,100,51,0,0,43,58
2017-07-10,81,57,0,67,85,55,55,74,62,14,79,86
2017-07-11,70,64,0,51,43,72,59,59,0,50,100,85
2017-07-12,78,66,22,63,47,51,69,32,0,0,86,83
2017-07-13,75,58,0,23,73,67,59,26,65,0,88,81
2017-07-14,76,22,0,66,57,66,56,40,73,42,48,43
2017-07-15,74,42,0,0,43,47,66,60,55,0,55,61
2017-07-16,78,18,0,41,73,47,82,0,32,22,39,35
2017-07-17,70,58,0,54,86,29,48,52,0,0,81,78
2017-07-18,71,78,0,35,60,83,59,61,0,34,82,97
