numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20210601000000;101690;-60;6;130;1.700000;287.850000;282.850000;72;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;100830;mq;mq;-590;mq;mq;mq;mq;284.650000;mq;mq;2.400000;5.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20210601000000;101740;-40;6;50;2.800000;289.150000;281.650000;61;31270;0;mq;mq;mq;0;mq;mq;mq;mq;101180;mq;mq;-560;mq;mq;mq;mq;286.750000;mq;mq;3.700000;3.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20210601000000;101480;-90;6;90;4.800000;285.550000;282.150000;80;12000;1;0;mq;0;0;mq;30;20;10;101370;mq;mq;-760;mq;mq;mq;mq;mq;mq;mq;6.100000;7.100000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20210601000000;101550;-40;8;110;2.400000;287.050000;281.450000;69;55520;0;mq;mq;mq;0;mq;mq;mq;mq;100750;mq;mq;-670;mq;mq;mq;mq;286.350000;mq;mq;2.900000;3.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20210601000000;101650;-60;7;80;3.100000;284.550000;279.450000;71;58790;0;mq;mq;mq;0;mq;mq;mq;mq;99820;mq;mq;-570;mq;mq;mq;mq;287.350000;mq;mq;3.500000;4.100000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20210601000000;101710;-60;8;20;0.700000;279.050000;277.850000;92;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100540;mq;mq;-490;mq;mq;mq;mq;280.250000;mq;mq;1.000000;1.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20210601000000;101370;-90;6;40;2.200000;285.050000;283.150000;88;10080;0;mq;mq;mq;0;mq;mq;mq;mq;100190;mq;mq;-760;mq;mq;mq;mq;278.650000;mq;mq;2.600000;2.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20210601000000;101370;-100;6;90;2.900000;287.050000;284.050000;82;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100680;mq;mq;-780;mq;mq;mq;mq;mq;mq;mq;4.200000;4.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20210601000000;101360;-50;8;90;2.300000;289.450000;281.650000;60;32800;0;mq;mq;mq;0;mq;mq;mq;mq;100920;mq;mq;-700;mq;mq;mq;mq;287.450000;mq;mq;3.400000;4.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20210601000000;101530;-60;8;360;2.700000;285.450000;280.750000;73;20000;0;mq;mq;mq;0;mq;mq;mq;mq;99790;mq;mq;-600;mq;mq;mq;mq;288.650000;mq;mq;3.800000;3.900000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20210601000000;101590;-70;6;50;1.100000;287.450000;278.250000;54;25000;2;0;0;0;0;mq;30;20;10;100510;mq;mq;-530;mq;mq;mq;mq;mq;mq;mq;2.000000;4.600000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
