numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20210501000000;101550;-10;8;270;0.500000;277.750000;276.550000;92;10510;0;mq;mq;mq;mq;mq;mq;mq;mq;100660;mq;mq;100;mq;mq;mq;mq;275.350000;mq;mq;0.800000;0.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20210501000000;101540;10;0;40;1.200000;277.250000;274.950000;85;11030;0;mq;mq;mq;0;mq;mq;mq;mq;100960;mq;mq;160;mq;mq;mq;mq;272.350000;mq;mq;1.600000;2.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20210501000000;101580;10;1;120;0.600000;276.950000;271.750000;69;12000;2;0;mq;0;0;mq;30;20;10;101470;mq;mq;140;mq;mq;mq;mq;mq;mq;mq;0.900000;1.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20210501000000;101580;-10;8;310;1.100000;275.250000;273.950000;91;10660;0;mq;mq;mq;0;mq;mq;mq;mq;100740;mq;mq;110;mq;mq;mq;mq;277.850000;mq;mq;1.500000;1.600000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20210501000000;101540;0;0;30;2.500000;278.050000;274.150000;76;15640;0;mq;mq;100;8;1250;mq;mq;mq;99670;mq;mq;110;mq;mq;mq;mq;278.650000;mq;mq;3.500000;4.100000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;1350;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20210501000000;101460;10;0;0;0.000000;279.850000;274.750000;70;20000;0;mq;mq;100;8;3360;mq;mq;mq;100300;mq;mq;100;mq;mq;mq;mq;277.650000;mq;mq;1.000000;3.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;3360;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20210501000000;101670;10;0;10;1.800000;274.550000;272.650000;87;8990;0;mq;mq;mq;0;mq;mq;mq;mq;100440;mq;mq;160;mq;mq;mq;mq;266.750000;mq;mq;2.000000;2.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20210501000000;101610;0;0;280;0.800000;280.250000;275.150000;70;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100900;mq;mq;140;mq;mq;mq;mq;mq;mq;mq;2.000000;2.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20210501000000;101530;20;1;340;2.400000;279.850000;276.250000;78;14900;0;mq;mq;100;8;3000;mq;mq;mq;101070;mq;mq;140;mq;mq;mq;mq;281.150000;mq;mq;3.200000;3.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;3000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20210501000000;101510;-10;0;10;1.300000;277.050000;274.750000;85;15350;0;mq;mq;75;6;2520;mq;mq;mq;99720;mq;mq;120;mq;mq;mq;mq;282.750000;mq;mq;2.000000;3.000000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;6;mq;2520;6;mq;4320;mq;mq;mq;mq;mq;mq;
07149;20210501000000;101460;0;4;50;1.900000;282.250000;274.850000;60;17820;3;2;2;90;7;1750;38;mq;mq;100370;mq;mq;90;mq;mq;mq;mq;mq;mq;mq;2.700000;4.400000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;8;1500;7;6;2300;mq;mq;mq;mq;mq;mq;
07168;20210501000000;101420;10;3;110;2.100000;281.850000;274.550000;60;20000;0;mq;mq;100;8;2250;mq;mq;mq;99990;mq;mq;80;mq;mq;mq;mq;279.850000;mq;mq;3.200000;3.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;2460;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07181;20210501000000;101480;-60;8;180;1.600000;276.350000;275.350000;93;7680;0;mq;mq;mq;0;mq;mq;mq;mq;97300;mq;mq;90;mq;mq;mq;mq;269.550000;mq;mq;2.000000;2.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07190;20210501000000;101480;-20;8;0;0.000000;278.750000;277.750000;93;4880;10;mq;mq;90;7;3000;mq;mq;mq;99630;mq;mq;180;mq;mq;mq;mq;279.650000;mq;mq;0.000000;1.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;3.400000;mq;mq;mq;mq;2;mq;3000;7;mq;5820;7;mq;6660;mq;mq;mq;
07207;20210501000000;101500;20;1;30;6.500000;281.950000;276.350000;68;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100970;mq;mq;170;mq;mq;mq;mq;mq;mq;mq;8.800000;9.100000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20210501000000;101380;-10;8;360;3.000000;279.950000;276.050000;76;22080;0;mq;mq;mq;0;mq;mq;mq;mq;101060;mq;mq;150;mq;mq;mq;mq;277.350000;mq;mq;5.800000;6.400000;-10;mq;0.000000;mq;mq;0.000000;0.800000;0.800000;0.800000;0.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
