numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20210701000000;101830;0;0;260;2.000000;286.950000;286.950000;100;5690;0;mq;mq;mq;mq;mq;mq;mq;mq;100970;mq;mq;320;mq;mq;mq;mq;286.950000;mq;mq;2.800000;3.100000;-10;1;mq;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;1.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20210701000000;101760;10;0;260;2.800000;286.250000;285.150000;93;9820;0;mq;mq;100;5;150;mq;mq;mq;101190;mq;mq;380;mq;mq;mq;mq;288.350000;mq;mq;4.000000;4.000000;-10;2;mq;mq;mq;0.200000;0.200000;0.400000;1.800000;8.300000;mq;mq;mq;mq;1;mq;150;3;mq;600;5;mq;1050;mq;mq;mq;
07020;20210701000000;101850;-40;8;210;5.200000;288.250000;287.250000;94;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101740;mq;mq;160;mq;mq;mq;mq;mq;mq;mq;6.900000;7.100000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20210701000000;101920;-30;8;220;4.200000;285.750000;285.150000;96;9830;0;mq;mq;mq;0;mq;mq;mq;mq;101110;mq;mq;230;mq;mq;mq;mq;289.650000;mq;mq;4.900000;4.900000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20210701000000;101910;-10;8;300;0.600000;285.150000;283.850000;92;8890;0;mq;mq;100;8;3480;mq;mq;mq;100080;mq;mq;320;mq;mq;mq;mq;289.650000;mq;mq;1.000000;1.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;0.600000;mq;mq;mq;mq;8;mq;3480;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20210701000000;101790;10;0;270;1.900000;286.750000;285.450000;92;20000;0;mq;mq;100;8;450;mq;mq;mq;100650;mq;mq;430;mq;mq;mq;mq;287.450000;mq;mq;3.000000;3.000000;-10;mq;mq;mq;mq;0.000000;0.000000;-0.100000;0.400000;13.700000;mq;mq;mq;mq;5;mq;540;8;mq;1170;mq;mq;mq;mq;mq;mq;
07110;20210701000000;102030;0;0;340;1.800000;287.450000;286.350000;93;5720;0;mq;mq;100;8;150;mq;mq;mq;100860;mq;mq;180;mq;mq;mq;mq;287.350000;mq;mq;3.200000;4.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;8;mq;150;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20210701000000;101980;10;0;230;4.100000;286.950000;286.650000;98;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101280;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;6.200000;-10;mq;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20210701000000;101980;50;0;350;1.800000;286.950000;286.350000;96;170;44;mq;mq;mq;0;mq;mq;mq;mq;101530;mq;mq;210;mq;mq;mq;mq;287.850000;mq;mq;2.200000;2.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20210701000000;101960;30;1;20;0.800000;286.350000;284.550000;89;13310;0;mq;mq;mq;0;mq;mq;mq;mq;100220;mq;mq;300;mq;mq;mq;mq;290.650000;mq;mq;1.300000;3.700000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;-0.100000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20210701000000;101880;10;0;310;2.500000;288.250000;285.550000;84;15000;3;2;2;90;4;450;35;23;10;100810;mq;mq;390;mq;mq;mq;mq;mq;mq;mq;3.900000;4.500000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;3.000000;mq;mq;mq;mq;1;6;450;2;6;600;4;6;1000;4;3;3600;
07168;20210701000000;101840;10;0;250;3.200000;287.850000;285.550000;86;20000;0;mq;mq;100;8;800;mq;mq;mq;100430;mq;mq;340;mq;mq;mq;mq;284.750000;mq;mq;4.400000;4.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;-0.100000;4.400000;mq;mq;mq;mq;8;mq;900;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07181;20210701000000;101760;10;0;270;2.300000;285.750000;285.250000;97;16830;0;mq;mq;100;8;450;mq;mq;mq;97710;mq;mq;290;mq;mq;mq;mq;286.850000;mq;mq;3.300000;4.200000;-10;mq;mq;mq;mq;0.000000;1.800000;4.000000;7.100000;10.700000;mq;mq;mq;mq;2;mq;420;7;mq;750;8;mq;1500;mq;mq;mq;
07190;20210701000000;101720;20;1;180;2.300000;286.450000;285.550000;94;27890;60;mq;mq;100;1;800;mq;mq;mq;99920;mq;mq;280;mq;mq;mq;mq;286.650000;mq;mq;4.100000;4.700000;-10;2;0.000000;mq;mq;0.400000;0.600000;1.600000;7.700000;10.100000;mq;mq;mq;mq;1;mq;840;8;mq;1920;mq;8;mq;mq;mq;mq;
07207;20210701000000;101970;-10;8;290;2.300000;289.250000;287.950000;92;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101460;mq;mq;180;mq;mq;mq;mq;mq;mq;mq;3.700000;5.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20210701000000;101960;30;2;290;0.500000;287.750000;287.150000;96;17180;0;mq;mq;90;7;800;mq;mq;mq;101650;mq;mq;240;mq;mq;mq;mq;284.350000;mq;mq;0.900000;2.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;7;mq;900;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07240;20210701000000;101930;30;1;350;1.000000;286.850000;286.250000;96;19540;0;mq;mq;mq;mq;mq;mq;mq;mq;100590;mq;mq;270;mq;mq;mq;mq;290.650000;mq;mq;1.700000;1.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07255;20210701000000;101930;10;3;50;0.700000;286.250000;285.950000;98;500;45;mq;mq;mq;mq;mq;mq;mq;mq;99950;mq;mq;260;mq;mq;mq;mq;285.850000;mq;mq;1.500000;1.600000;-10;mq;0.000000;mq;mq;0.000000;0.200000;0.200000;0.200000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07280;20210701000000;101880;0;5;220;0.600000;286.950000;286.350000;96;38150;0;mq;mq;100;8;1750;mq;mq;mq;99270;mq;mq;220;mq;mq;mq;mq;286.350000;mq;mq;1.400000;2.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;1620;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07299;20210701000000;101810;10;0;180;1.400000;287.150000;285.050000;87;31960;0;mq;mq;100;5;1250;mq;mq;mq;98590;mq;mq;200;mq;mq;mq;mq;288.450000;mq;mq;2.100000;3.200000;-10;1;0.000000;mq;mq;0.000000;-0.100000;-0.100000;2.000000;2.200000;mq;mq;mq;mq;5;mq;1170;7;mq;1560;7;mq;1980;mq;mq;mq;
