date,t_mean_mean,t_min_mean,t_max_mean,u_mean_mean,pres_mean_mean,etat_sol_max_mean,rr3_sum_mean,t_mean_std,t_min_std,t_max_std,u_mean_std,pres_mean_std,etat_sol_max_std,rr3_sum_std
2017-01-01,1.9047619047619047,-0.7833333333333071,5.326190476190499,88.38690476190476,100219.43452380953,2.0238095238095237,0.06190476190476191,4.258818820612827,4.362306207403887,5.153926257259892,13.011217297074248,2457.458411589844,1.3522897517137413,0.38505772829942353
2017-01-02,2.9214285714285717,0.9857142857143082,5.461904761904782,89.60416666666667,100204.40476190476,1.8571428571428572,0.8523809523809525,3.9290373496282167,4.0968501540413955,4.622582552440042,10.843113354357559,2526.242981279623,1.0017406453556186,2.170898217523763
2017-01-03,1.8214285714285714,-0.3857142857142624,4.623809523809548,83.57142857142857,100524.28571428571,1.8095238095238095,0.028571428571428574,3.583943577673099,3.2501085481738765,4.653810897025465,13.190505606431845,2574.7663750112374,2.062890409324425,0.2606611802150066
2017-01-04,2.2714285714285714,-1.099999999999974,6.164285714285734,81.05654761904762,100344.40476190476,1.9523809523809523,0.20238095238095238,3.4785254595621837,3.9158838518862398,3.8733499352955922,13.968556871883482,2538.20612604049,2.357679522196441,0.5731760446537559
2017-01-05,2.95,0.3214285714285985,5.935714285714314,76.30059523809524,100672.5,1.6428571428571428,0.054761904761904755,2.7566549188216167,3.2965270501445176,2.936384156811962,14.845085710732743,2620.74828438787,2.0579581233909163,0.21662869317908584
2017-01-06,-0.22142857142857145,-2.952380952380932,3.352380952380974,72.64157142857142,101265.05952380953,1.6428571428571428,0.009523809523809525,3.615382833305331,3.8141097542138613,3.651410559064519,14.732224826835628,2623.495270701831,1.8717596855786511,0.057634355478959155
2017-01-07,0.11666666666666667,-3.8214285714285485,4.711904761904786,71.15873809523809,101170.02976190476,1.5,0.023809523809523808,4.099429863194641,4.732272991439236,4.03884808384359,17.08632981763637,2571.42430945878,1.928603690528967,0.20578170272251486
2017-01-08,3.9380952380952383,1.114285714285739,7.014285714285738,84.0952380952381,100921.96428571429,1.7857142857142858,0.21666666666666665,3.6323715548742666,4.447173474958709,3.8779911463295584,13.918118825805637,2570.934855695484,2.5522416190929036,0.5400617248673217
2017-01-09,4.847619047619047,2.6857142857143077,7.414285714285734,86.35714285714286,100456.01190476191,1.5476190476190477,0.9261904761904761,3.291766379941953,3.593528833521711,3.380111949984066,11.411128347986281,2461.9943494419476,0.6325473452782668,1.501228687638899
2017-01-10,5.485714285714286,3.68095238095241,7.419047619047647,85.98511904761905,99300.0,2.4047619047619047,3.9952380952380957,3.0359288712844146,3.2613956383536484,2.882684901542238,8.364377244768376,2489.859357253422,2.566762445985821,4.215531814434966
2017-01-11,6.535714285714286,3.904761904761933,9.49523809523812,86.62202380952381,99673.51190476191,2.0952380952380953,0.5952380952380952,3.1009692763653223,3.6267268304772537,2.726558840857778,8.302194836124972,2445.007750344581,2.5260547066428276,0.899580493274065
2017-01-12,7.430952380952381,4.861904761904782,9.8761904761905,83.24957142857143,99343.54590476191,1.7142857142857142,3.7976190476190474,2.344322471703852,2.818315738249458,2.811805211638918,7.367316356696755,2390.8559521704765,0.8050364114084403,3.879872269411122
2017-01-13,4.661904761904762,2.621428571428595,7.35714285714288,72.49702380952381,99162.44047619047,1.880952380952381,3.1357142857142852,2.7503394363421263,2.581220708973188,2.921588513550242,10.355329137019481,2525.6636255485937,1.7970488131104034,3.8386240820384545
2017-01-14,3.5023809523809524,1.2666666666666895,5.921428571428591,74.31845238095238,99898.89880952382,1.8571428571428572,0.6023809523809524,2.776424099118311,2.8255512448721145,3.190652178480416,12.819995647429677,2557.468650750527,1.4578873550688634,1.07260523850908
2017-01-15,3.566666666666667,1.7095238095238314,5.542857142857162,81.22916666666667,100132.05357142857,2.7142857142857144,2.5095238095238095,3.3943041721401648,3.6068910688217475,3.5088141876543366,17.36026346169175,2551.4886977613687,3.14127296152616,3.4537932150883046
2017-01-16,3.554761904761905,0.942857142857165,5.840476190476215,79.99107142857143,100102.97619047618,2.142857142857143,1.9214285714285713,3.9165192598351535,4.025658125691719,3.892773763345365,17.29550362884126,2620.9076106737425,2.1019320795161183,6.329664411952995
2017-01-17,-0.08809523809523807,-2.2309523809523575,2.352380952380974,69.32680952380953,100522.87840476191,1.9047619047619047,0.007142857142857143,3.085781901225035,2.7144139281411843,3.6125957221000613,14.83858623572438,2765.0657302025397,2.1618592247835307,0.1350570920702312
2017-01-18,-0.9261904761904761,-3.059523809523784,1.8880952380952614,66.4247380952381,100699.83419047619,1.3571428571428572,0.011904761904761899,3.5065137661361327,3.5345720770288382,3.8512083869207823,11.499808607229236,2711.7448245283094,1.4620638365067735,0.2500754822169488
2017-01-19,-1.068292682926829,-4.053658536585345,2.8756097560975826,69.2439024390244,100708.50609756098,1.3658536585365855,-0.012195121951219513,3.7485623260384937,4.1138241066540315,3.8831546767933975,9.969521961470564,2629.2465683441305,1.373974118405722,0.03312945782245396
2017-01-20,-0.5560975609756098,-4.319512195121927,4.770731707317096,72.7469512195122,100615.21341463414,1.3414634146341464,0.4926829268292683,3.883429462503974,4.278038073240764,4.194057933698523,9.97800267325886,2572.835739486308,1.3713087926787493,3.0594435967919424
2017-01-21,0.8560975609756096,-3.302439024390221,6.619512195121973,71.93685365853659,100316.6245609756,1.3414634146341464,0.07804878048780488,4.6236375712466815,4.7824412074210585,4.350472360111896,12.585147928333964,2515.7450517829475,1.3529552117043822,0.5645848895967511
