,Trafic TG1,Prévision globale
2018-07-25,27147.0,25066.384765625
2018-07-26,20205.0,19952.400390625
2018-07-27,19681.0,20699.619140625
2018-07-30,24893.0,27563.74609375
2018-07-31,22799.0,25554.87890625
2018-08-01,20704.0,21123.541015625
2018-08-02,19567.0,23499.017578125
2018-08-03,20460.0,22503.607421875
2018-08-06,23075.0,30331.658203125
2018-08-07,22287.0,23586.978515625
2018-08-08,20189.0,22371.287109375
2018-08-09,18415.0,20571.55078125
2018-08-10,20332.0,21711.16796875
2018-08-13,20634.0,22737.966796875
2018-08-14,5267.0,9480.765625
2018-08-15,12184.0,14769.92578125
2018-08-16,22665.0,21374.615234375
2018-08-17,16848.0,19676.70703125
2018-08-20,22384.0,26106.623046875
2018-08-21,21534.0,22836.65234375
2018-08-22,20062.0,22599.568359375
2018-08-23,17760.0,20979.880859375
2018-08-24,18600.0,21911.796875
2018-08-27,24585.0,29341.15625
2018-08-28,21561.0,24570.193359375
2018-08-29,20920.0,24390.103515625
2018-08-30,20509.0,23721.57421875
2018-08-31,18559.0,21265.916015625
2018-09-03,22394.0,25360.53125
2018-09-04,23931.0,26319.279296875
2018-09-05,26801.0,29398.251953125
2018-09-06,23538.0,27386.59375
2018-09-07,28214.0,30586.150390625
2018-09-10,24185.0,25670.40625
2018-09-11,27712.0,29331.150390625
2018-09-12,26535.0,27653.869140625
2018-09-13,31950.0,28355.82421875
2018-09-14,25332.0,27641.689453125
2018-09-17,30265.0,34488.40234375
2018-09-18,28951.0,29441.833984375
2018-09-19,28420.0,29840.91796875
2018-09-20,26089.0,27967.29296875
2018-09-21,25140.0,28279.470703125
2018-09-24,25493.0,28789.76171875
2018-09-25,26671.0,27071.115234375
2018-09-26,26185.0,27872.328125
2018-09-27,26667.0,26832.041015625
2018-09-28,23729.0,26469.279296875
2018-10-01,27165.0,29921.814453125
2018-10-02,27280.0,32804.40234375
2018-10-03,27721.0,28713.125
2018-10-04,25566.0,26645.533203125
2018-10-05,27798.0,26714.8515625
2018-10-08,30088.0,31674.15625
2018-10-09,31551.0,33684.25
2018-10-10,30437.0,32556.578125
2018-10-11,28695.0,29797.248046875
2018-10-12,28529.0,29164.80859375
2018-10-15,30721.0,31388.01953125
2018-10-16,32180.0,32293.109375
2018-10-17,23299.0,27481.55078125
2018-10-18,21182.0,26372.853515625
2018-10-19,24359.0,28486.255859375
2018-10-22,25914.0,30221.974609375
2018-10-23,26886.0,27635.42578125
2018-10-24,27464.0,28027.25
2018-10-25,24634.0,25094.23828125
2018-10-26,20501.0,21444.28515625
2018-10-29,26944.0,27537.87109375
2018-10-30,25239.0,26790.505859375
2018-10-31,8632.0,12694.75390625
2018-11-01,15849.0,16134.232421875
2018-11-02,24208.0,24072.958984375
2018-11-05,27156.0,29580.470703125
2018-11-06,23163.0,23840.2578125
2018-11-07,23711.0,27265.87109375
2018-11-08,29484.0,30985.08203125
2018-11-09,31272.0,35057.6015625
2018-11-12,39928.0,42475.96875
2018-11-13,29402.0,30813.744140625
2018-11-14,30115.0,32023.08203125
2018-11-15,27721.0,30421.615234375
2018-11-16,24025.0,28243.85546875
2018-11-19,27201.0,30959.7421875
2018-11-20,37451.0,37694.13671875
2018-11-21,31040.0,31551.0546875
2018-11-22,32068.0,31045.845703125
2018-11-23,31794.0,31071.7109375
2018-11-26,35457.0,36829.0390625
2018-11-27,41743.0,34598.328125
2018-11-28,41290.0,33459.8828125
2018-11-29,30142.0,30449.302734375
2018-11-30,34627.0,35101.92578125
2018-12-03,37600.0,39874.08203125
2018-12-04,44214.0,40148.21875
2018-12-05,37817.0,39540.9609375
2018-12-06,45332.0,40106.87109375
2018-12-07,41348.0,40500.1015625
2018-12-10,45298.0,37896.09765625
2018-12-11,47239.0,42268.125
2018-12-12,38828.0,39439.12109375
2018-12-13,46454.0,36048.46875
2018-12-14,35938.0,38066.625
2018-12-17,52230.0,41894.32421875
2018-12-18,37814.0,35617.56640625
2018-12-19,36476.0,32614.705078125
2018-12-20,31719.0,30057.1015625
2018-12-21,26619.0,27232.00390625
2018-12-24,2021.0,10152.2587890625
2018-12-25,12954.0,14526.470703125
2018-12-26,35609.0,29146.92578125
2018-12-27,27300.0,26398.556640625
2018-12-28,19372.0,22490.09375
2018-12-31,7222.0,12361.58203125
2019-01-01,6933.0,13929.220703125
2019-01-02,32159.0,28647.220703125
2019-01-03,26061.0,28439.19921875
2019-01-04,26029.0,28902.984375
2019-01-07,29706.0,29811.833984375
2019-01-08,31787.0,31711.806640625
2019-01-09,35502.0,32741.732421875
2019-01-10,26450.0,30107.72265625
2019-01-11,30550.0,33192.1484375
2019-01-14,29213.0,32939.54296875
2019-01-15,28100.0,29823.462890625
2019-01-16,27011.0,29820.978515625
2019-01-17,29923.0,30809.333984375
2019-01-18,27410.0,29126.365234375
2019-01-21,30829.0,32688.333984375
2019-01-22,28615.0,30689.9921875
2019-01-23,25020.0,25174.01171875
2019-01-24,26200.0,29032.625
2019-01-25,29360.0,28765.83984375
2019-01-28,28819.0,32430.27734375
2019-01-29,28929.0,32633.3515625
2019-01-30,26356.0,29801.0703125
2019-01-31,16750.0,25078.138671875
2019-02-01,27896.0,30385.27734375
2019-02-04,28086.0,30203.322265625
2019-02-05,29432.0,31331.8515625
2019-02-06,30956.0,33247.9296875
2019-02-07,29928.0,30443.0390625
2019-02-08,27963.0,29798.2578125
2019-02-11,29096.0,29328.078125
2019-02-12,33157.0,32305.724609375
2019-02-13,32495.0,31860.578125
2019-02-14,32866.0,31085.23828125
2019-02-15,27801.0,23101.640625
2019-02-18,29218.0,29029.771484375
2019-02-19,29131.0,28974.326171875
2019-02-20,27162.0,28685.05859375
2019-02-21,22639.0,25848.158203125
2019-02-22,23631.0,24410.810546875
2019-02-25,27439.0,27780.12890625
2019-02-26,24954.0,26193.380859375
2019-02-27,23569.0,25165.36328125
2019-02-28,24949.0,25014.5390625
