,Trafic TG1,Prévision globale
2018-07-25,27147.0,26084.41015625
2018-07-26,20205.0,18677.38671875
2018-07-27,19681.0,18616.322265625
2018-07-30,24893.0,24575.892578125
2018-07-31,22799.0,22038.951171875
2018-08-01,20704.0,20029.2734375
2018-08-02,19567.0,17181.162109375
2018-08-03,20460.0,19661.919921875
2018-08-06,23075.0,21923.1484375
2018-08-07,22287.0,22211.8515625
2018-08-08,20189.0,18598.705078125
2018-08-09,18415.0,16880.919921875
2018-08-10,20332.0,20287.81640625
2018-08-13,20634.0,21503.1875
2018-08-14,5267.0,7423.037109375
2018-08-15,12184.0,11626.88671875
2018-08-16,22665.0,22708.9609375
2018-08-17,16848.0,18328.748046875
2018-08-20,22384.0,22446.849609375
2018-08-21,21534.0,21206.5078125
2018-08-22,20062.0,19147.40234375
2018-08-23,17760.0,16777.978515625
2018-08-24,18600.0,20923.103515625
2018-08-27,24585.0,23945.6640625
2018-08-28,21561.0,20430.83203125
2018-08-29,20920.0,23314.654296875
2018-08-30,20509.0,19973.60546875
2018-08-31,18559.0,17911.177734375
2018-09-03,22394.0,21780.1953125
2018-09-04,23931.0,25806.01171875
2018-09-05,26801.0,26498.33984375
2018-09-06,23538.0,22974.85546875
2018-09-07,28214.0,26942.611328125
2018-09-10,24185.0,25765.291015625
2018-09-11,27712.0,29078.548828125
2018-09-12,26535.0,27209.380859375
2018-09-13,31950.0,31225.150390625
2018-09-14,25332.0,24887.681640625
2018-09-17,30265.0,29551.099609375
2018-09-18,28951.0,27785.185546875
2018-09-19,28420.0,28295.078125
2018-09-20,26089.0,25168.548828125
2018-09-21,25140.0,24601.974609375
2018-09-24,25493.0,24849.70703125
2018-09-25,26671.0,26342.78515625
2018-09-26,26185.0,26289.30859375
2018-09-27,26667.0,26145.248046875
2018-09-28,23729.0,23554.779296875
2018-10-01,27165.0,26351.400390625
2018-10-02,27280.0,25643.947265625
2018-10-03,27721.0,27420.865234375
2018-10-04,25566.0,24882.189453125
2018-10-05,27798.0,26894.5078125
2018-10-08,30088.0,29815.11328125
2018-10-09,31551.0,31104.892578125
2018-10-10,30437.0,31117.0078125
2018-10-11,28695.0,28101.453125
2018-10-12,28529.0,29752.703125
2018-10-15,30721.0,30887.34765625
2018-10-16,32180.0,31672.5625
2018-10-17,23299.0,24860.162109375
2018-10-18,21182.0,20661.251953125
2018-10-19,24359.0,23612.88671875
2018-10-22,25914.0,26038.431640625
2018-10-23,26886.0,28927.072265625
2018-10-24,27464.0,25853.625
2018-10-25,24634.0,25177.8203125
2018-10-26,20501.0,19710.66015625
2018-10-29,26944.0,26563.470703125
2018-10-30,25239.0,25077.96875
2018-10-31,8632.0,9989.7763671875
2018-11-01,15849.0,18390.123046875
2018-11-02,24208.0,23952.130859375
2018-11-05,27156.0,27132.392578125
2018-11-06,23163.0,22958.40625
2018-11-07,23711.0,23837.81640625
2018-11-08,29484.0,28793.6328125
2018-11-09,31272.0,30505.1328125
2018-11-12,39928.0,38224.48828125
2018-11-13,29402.0,29064.515625
2018-11-14,30115.0,30533.73046875
2018-11-15,27721.0,27754.009765625
2018-11-16,24025.0,24799.421875
2018-11-19,27201.0,27083.80859375
2018-11-20,37451.0,36248.55859375
2018-11-21,31040.0,31410.779296875
2018-11-22,32068.0,32206.7109375
2018-11-23,31794.0,30345.544921875
2018-11-26,35457.0,35163.65234375
2018-11-27,41743.0,38523.0078125
2018-11-28,41290.0,37746.48828125
2018-11-29,30142.0,29171.162109375
2018-11-30,34627.0,32605.59375
2018-12-03,37600.0,36483.52734375
2018-12-04,44214.0,37387.16015625
2018-12-05,37817.0,34599.02734375
2018-12-06,45332.0,42665.88671875
2018-12-07,41348.0,39691.05078125
2018-12-10,45298.0,41133.2109375
2018-12-11,47239.0,41925.2578125
2018-12-12,38828.0,35659.7890625
2018-12-13,46454.0,41318.85546875
2018-12-14,35938.0,34074.88671875
2018-12-17,52230.0,44813.1484375
2018-12-18,37814.0,34413.4921875
2018-12-19,36476.0,33577.08203125
2018-12-20,31719.0,30830.23046875
2018-12-21,26619.0,24868.0625
2018-12-24,2021.0,5898.08349609375
2018-12-25,12954.0,12967.9521484375
2018-12-26,35609.0,31884.20703125
2018-12-27,27300.0,26275.94921875
2018-12-28,19372.0,19886.2734375
2018-12-31,7222.0,12127.3310546875
2019-01-01,6933.0,7453.486328125
2019-01-02,32159.0,29537.828125
2019-01-03,26061.0,25434.798828125
2019-01-04,26029.0,25267.060546875
2019-01-07,29706.0,29787.384765625
2019-01-08,31787.0,28817.572265625
2019-01-09,35502.0,32928.96875
2019-01-10,26450.0,26285.974609375
2019-01-11,30550.0,29466.83203125
2019-01-14,29213.0,28983.134765625
2019-01-15,28100.0,25505.2578125
2019-01-16,27011.0,26926.236328125
2019-01-17,29923.0,27820.12890625
2019-01-18,27410.0,27100.30078125
2019-01-21,30829.0,29252.337890625
2019-01-22,28615.0,27870.99609375
2019-01-23,25020.0,22563.474609375
2019-01-24,26200.0,24915.72265625
2019-01-25,29360.0,27618.478515625
2019-01-28,28819.0,28341.439453125
2019-01-29,28929.0,27949.056640625
2019-01-30,26356.0,25845.40625
2019-01-31,16750.0,17199.310546875
2019-02-01,27896.0,27158.591796875
2019-02-04,28086.0,28752.326171875
2019-02-05,29432.0,27933.72265625
2019-02-06,30956.0,30945.94921875
2019-02-07,29928.0,29925.73828125
2019-02-08,27963.0,27832.62890625
2019-02-11,29096.0,28894.130859375
2019-02-12,33157.0,31788.3515625
